,date,open,high,low,close,volume,average,barCount
0,2023-10-06,173.89,177.99,173.18,177.49,40265915.0,176.16,191737
1,2023-10-09,176.84,179.05,175.8,178.99,31003303.0,177.722,138552
2,2023-10-10,178.1,179.72,177.95,178.39,31073817.0,178.738,154357
3,2023-10-11,178.2,179.85,177.6,179.8,32263909.0,178.765,154295
4,2023-10-12,180.07,182.34,179.04,180.71,42374800.0,180.995,201109
5,2023-10-13,181.39,181.93,178.14,178.85,34527171.0,179.502,160537
6,2023-10-16,176.75,179.08,176.51,178.72,38606920.0,178.084,179879
7,2023-10-17,176.68,178.42,174.8,177.15,43819636.0,176.823,196827
8,2023-10-18,175.57,177.58,175.11,175.84,38676161.0,176.453,182460
9,2023-10-19,176.0,177.84,175.19,175.46,38884579.0,176.423,188763
10,2023-10-20,175.37,175.42,172.64,172.88,42092639.0,173.943,197228
11,2023-10-23,170.97,174.01,169.99,173.0,40440044.0,172.315,186362
12,2023-10-24,173.0,173.67,171.45,173.44,31959415.0,172.626,163158
13,2023-10-25,171.92,173.06,170.65,171.1,37398079.0,171.611,192352
14,2023-10-26,170.43,171.38,165.67,166.89,49518707.0,167.68,263085
15,2023-10-27,166.91,168.96,166.83,168.22,39346316.0,167.858,197501
16,2023-10-30,169.02,171.17,168.87,170.29,36579410.0,170.058,181517
17,2023-10-31,169.27,170.9,167.9,170.77,28971047.0,169.703,139594
18,2023-11-01,171.05,174.23,170.12,173.97,38224244.0,172.341,195799
19,2023-11-02,175.5,177.78,175.46,177.57,45544595.0,177.028,211572
20,2023-11-03,174.24,176.82,173.35,176.65,56096402.0,175.519,254841
21,2023-11-06,176.36,179.43,176.21,179.23,43332852.0,178.544,191155
22,2023-11-07,179.18,182.44,178.97,181.82,45868762.0,181.24,216825
23,2023-11-08,182.41,183.45,181.59,182.89,35294139.0,182.63,165177
24,2023-11-09,182.96,184.12,181.81,182.41,37027098.0,183.009,175229
25,2023-11-10,183.97,186.57,183.53,186.4,40797728.0,185.112,190560
26,2023-11-13,185.77,186.03,184.21,184.8,28575250.0,184.825,133788
27,2023-11-14,187.69,188.11,186.3,187.44,38263286.0,187.296,185778
28,2023-11-15,187.84,189.5,187.78,188.01,34135430.0,188.568,159765
29,2023-11-16,189.53,190.96,188.65,189.71,39381450.0,189.722,185945
30,2023-11-17,190.25,190.38,188.57,189.69,33252170.0,189.571,140629
31,2023-11-20,189.89,191.91,189.88,191.45,30197601.0,191.272,136983
32,2023-11-21,191.46,191.52,189.74,190.64,26024307.0,190.49,126392
33,2023-11-22,191.49,192.93,190.82,191.31,28997260.0,191.798,132876
34,2023-11-24,190.87,190.9,189.25,189.97,16869554.0,189.745,75503
35,2023-11-27,189.91,190.67,188.9,189.79,24406092.0,189.804,120934
36,2023-11-28,189.78,191.08,189.4,190.4,25974829.0,190.141,132049
37,2023-11-29,190.91,192.09,188.97,189.37,26023528.0,190.215,127653
38,2023-11-30,189.84,190.32,188.19,189.95,26306438.0,189.039,136641
39,2023-12-01,190.33,191.56,189.23,191.24,28330314.0,190.749,140236
40,2023-12-04,189.98,190.05,187.45,189.43,29219762.0,188.797,152674
41,2023-12-05,190.21,194.4,190.18,193.42,46523695.0,193.174,228941
42,2023-12-06,194.45,194.76,192.11,192.32,26334940.0,192.902,142055
43,2023-12-07,193.63,195.0,193.59,194.27,27981393.0,194.453,143727
44,2023-12-08,194.08,195.99,193.67,195.71,32380166.0,195.021,157520
45,2023-12-11,193.22,193.49,191.42,193.18,38429623.0,192.587,208211
46,2023-12-12,192.92,194.72,191.72,194.71,30138188.0,193.459,153308
47,2023-12-13,195.08,198.0,194.85,197.96,45361345.0,196.684,223583
48,2023-12-14,198.01,199.62,196.16,198.11,45256860.0,198.326,218257
49,2023-12-15,197.53,198.4,197.0,197.57,49384170.0,197.577,190638
50,2023-12-18,196.11,196.63,194.39,195.89,34182739.0,195.465,176467
51,2023-12-19,196.15,196.95,195.89,196.94,23052074.0,196.381,114648
52,2023-12-20,196.86,197.68,194.83,194.83,31457688.0,196.611,165096
53,2023-12-21,196.13,197.08,193.5,194.68,30799952.0,194.742,159763
54,2023-12-22,195.17,195.41,192.97,193.6,25585126.0,194.187,132176
55,2023-12-26,193.61,193.89,192.83,193.05,19653316.0,193.192,100087
56,2023-12-27,192.49,193.5,191.09,193.15,30849812.0,192.416,145211
57,2023-12-28,194.09,194.66,193.17,193.58,23169409.0,193.984,119951
58,2023-12-29,193.88,194.4,191.72,192.53,25228963.0,192.592,134121
59,2024-01-02,187.17,188.44,183.88,185.64,53279235.0,185.883,253315
60,2024-01-03,184.29,185.88,183.43,184.25,37312996.0,184.333,187475
61,2024-01-04,182.17,183.09,180.88,181.91,45414756.0,182.032,210112
62,2024-01-05,181.94,182.76,180.17,181.18,42239191.0,181.536,200498
63,2024-01-08,182.14,185.6,181.5,185.56,35168928.0,184.034,168607
64,2024-01-09,183.92,185.15,182.73,185.14,27547611.0,184.177,144351
65,2024-01-10,184.31,186.4,183.92,186.19,29786955.0,185.012,153012
66,2024-01-11,186.54,187.05,183.62,185.59,31492172.0,184.919,168334
67,2024-01-12,186.05,186.74,185.19,185.92,25045890.0,185.793,130367
68,2024-01-16,182.25,184.26,180.93,183.63,39911564.0,182.679,210579
69,2024-01-17,181.33,182.93,180.3,182.68,32890633.0,181.791,174869
70,2024-01-18,186.19,189.14,185.83,188.63,53267878.0,187.878,261716
71,2024-01-19,189.4,191.95,188.82,191.56,43745144.0,190.411,214154
72,2024-01-22,192.29,195.33,192.27,193.89,39435081.0,194.025,205861
73,2024-01-23,195.01,195.75,193.82,195.18,29546397.0,194.775,159280
74,2024-01-24,195.41,196.38,194.34,194.5,34128125.0,195.362,181985
75,2024-01-25,195.22,196.27,193.11,194.17,36888369.0,194.867,210351
76,2024-01-26,194.26,194.76,191.94,192.42,28758985.0,193.28,151888
77,2024-01-29,192.01,192.2,189.58,191.73,28291420.0,191.18,141996
78,2024-01-30,190.95,191.8,187.47,188.04,38485121.0,188.92,184325
79,2024-01-31,187.13,187.15,184.4,184.4,32401413.0,185.625,171513
80,2024-02-01,184.01,186.95,183.81,186.86,34693782.0,185.905,180650
81,2024-02-02,179.87,187.33,179.25,185.85,68467141.0,184.718,336404
82,2024-02-05,188.13,189.25,185.84,187.68,45029472.0,187.783,212948
83,2024-02-06,186.9,189.31,186.76,189.3,28955479.0,188.37,135877
84,2024-02-07,190.61,191.05,188.61,189.41,34027742.0,189.354,164824
85,2024-02-08,189.35,189.54,187.35,188.32,27107545.0,188.296,136322
86,2024-02-09,188.64,189.99,188.0,188.85,30605293.0,189.047,160010
87,2024-02-12,188.44,188.67,186.79,187.15,26279659.0,187.701,126126
88,2024-02-13,185.8,186.21,183.51,185.04,33179215.0,184.953,175280
89,2024-02-14,185.32,185.53,182.8,183.55,14472005.0,183.917,71316
