,date,open,high,low,close,volume,average,barCount
0,2023-10-06,52.22,53.41,51.78,51.99,1106730.0,52.412,7571
1,2023-10-09,51.56,51.87,50.14,51.36,1219552.0,51.036,8487
2,2023-10-10,51.74,52.84,51.56,52.09,1091345.0,52.049,7888
3,2023-10-11,52.27,52.59,50.92,51.26,863632.0,51.443,5840
4,2023-10-12,51.1,51.49,49.46,49.97,938739.0,50.07,6559
5,2023-10-13,49.9,50.79,49.28,50.75,847572.0,50.25,5435
6,2023-10-16,51.38,53.82,51.14,53.59,1308487.0,53.141,8314
7,2023-10-17,53.17,55.24,53.01,54.68,994293.0,54.664,6189
8,2023-10-18,54.32,54.5,53.22,53.24,751455.0,53.643,4708
9,2023-10-19,52.89,53.56,51.04,51.3,1037421.0,51.7,6557
10,2023-10-20,51.1,52.19,51.01,51.2,832219.0,51.558,5837
11,2023-10-23,50.67,50.83,48.23,48.45,1610722.0,49.042,10217
12,2023-10-24,48.7,49.8,47.99,48.25,1104291.0,48.676,6567
13,2023-10-25,48.01,49.87,47.73,49.84,1275953.0,49.092,7627
14,2023-10-26,49.99,51.34,49.61,51.03,1129802.0,50.868,7563
15,2023-10-27,50.99,51.27,49.71,49.9,756872.0,50.322,4606
16,2023-10-30,50.13,51.58,50.13,51.33,980895.0,50.993,6353
17,2023-10-31,51.47,52.73,50.92,52.03,772214.0,52.089,5502
18,2023-11-01,52.23,52.23,50.95,51.55,746225.0,51.551,4316
19,2023-11-02,52.09,53.2,51.76,52.94,701252.0,52.733,4798
20,2023-11-03,54.01,57.25,53.5,57.14,1701109.0,56.447,11041
21,2023-11-06,57.06,58.18,56.56,56.66,909965.0,57.171,6635
22,2023-11-07,56.43,58.84,56.02,58.38,927206.0,58.104,6203
23,2023-11-08,58.19,58.64,57.52,57.64,519295.0,57.926,3872
24,2023-11-09,57.77,57.88,55.88,56.14,780363.0,56.688,4782
25,2023-11-10,56.42,56.94,55.21,56.13,782043.0,56.049,5234
26,2023-11-13,55.66,56.64,55.52,55.94,912129.0,56.042,6367
27,2023-11-14,58.0,60.51,57.45,58.4,1668117.0,58.891,11121
28,2023-11-15,54.79,60.79,52.77,55.67,5918165.0,57.939,30180
29,2023-11-16,53.61,54.42,50.53,53.42,3715692.0,52.687,17940
30,2023-11-17,54.0,54.27,49.03,50.33,3757137.0,50.708,21894
31,2023-11-20,50.7,53.4,49.9,53.02,1457855.0,52.072,8310
32,2023-11-21,52.45,52.6,50.61,50.99,1086653.0,51.338,6731
33,2023-11-22,51.43,52.77,50.69,52.59,956523.0,52.03,6282
34,2023-11-24,52.33,53.34,52.12,53.08,575482.0,52.862,3135
35,2023-11-27,52.84,52.97,51.0,51.01,1212456.0,51.749,7222
36,2023-11-28,50.86,51.76,50.54,51.64,806333.0,51.167,5078
37,2023-11-29,51.9,53.13,50.81,51.58,970044.0,51.732,5830
38,2023-11-30,51.87,51.97,50.2,50.79,974085.0,50.694,5833
39,2023-12-01,50.99,54.09,50.64,54.09,1393696.0,52.885,7962
40,2023-12-04,54.12,56.0,53.81,55.63,1143256.0,55.357,7294
41,2023-12-05,55.4,55.42,52.32,53.16,905624.0,53.381,5489
42,2023-12-06,53.9,55.43,53.4,55.16,1075680.0,54.831,5583
43,2023-12-07,55.73,56.55,55.38,56.25,1462255.0,55.982,5784
44,2023-12-08,56.31,56.54,54.95,56.27,2878049.0,55.73,20686
45,2023-12-11,56.24,59.22,55.94,57.08,1913971.0,57.359,11178
46,2023-12-12,56.77,56.8,55.94,56.25,1080886.0,56.286,6896
47,2023-12-13,56.44,61.18,55.98,60.83,1259500.0,58.914,8184
48,2023-12-14,62.32,66.04,61.99,63.97,2246856.0,64.446,14428
49,2023-12-15,64.11,64.6,61.89,62.72,1061324.0,62.652,6890
50,2023-12-18,62.77,62.87,59.99,60.66,992138.0,60.785,6454
