,date,open,high,low,close,volume,average,barCount
0,2023-10-06,146.49,149.34,146.12,148.24,2086063.0,148.153,13967
1,2023-10-09,148.27,149.75,147.16,149.11,1332475.0,148.528,9148
2,2023-10-10,149.39,149.56,148.04,148.89,1679558.0,148.818,11389
3,2023-10-11,149.13,150.4,148.77,149.34,1664978.0,149.357,10605
4,2023-10-12,148.13,148.6,147.01,148.3,1996133.0,147.875,12803
5,2023-10-13,148.95,149.66,147.34,147.96,1822516.0,148.177,10574
6,2023-10-16,148.22,149.5,146.92,147.23,1799832.0,147.736,11955
7,2023-10-17,147.33,149.66,147.15,149.18,1957011.0,148.629,13594
8,2023-10-18,149.27,149.61,148.34,149.28,2331601.0,149.155,14519
9,2023-10-19,148.55,148.55,143.33,145.52,3302458.0,145.153,21676
10,2023-10-20,145.28,147.51,145.28,146.23,1878268.0,146.369,10668
11,2023-10-23,146.16,146.42,144.2,144.73,1595359.0,145.062,10249
12,2023-10-24,145.15,146.97,145.1,146.31,1523981.0,146.124,10523
13,2023-10-25,146.11,146.91,144.82,145.26,2139385.0,145.754,13033
14,2023-10-26,144.86,145.95,144.23,145.2,2547329.0,145.232,17737
15,2023-10-27,138.77,143.0,136.03,138.93,5229874.0,138.415,30498
16,2023-10-30,140.67,145.71,140.67,141.89,5428969.0,143.524,35970
17,2023-10-31,142.09,142.22,139.68,141.18,4043043.0,140.436,28268
18,2023-11-01,141.86,143.71,141.75,142.47,1965023.0,142.603,14001
19,2023-11-02,141.31,143.77,140.51,143.26,1839543.0,142.68,12693
20,2023-11-03,143.95,143.95,140.89,141.42,2684658.0,142.138,17514
21,2023-11-06,141.89,142.37,140.98,141.2,2249763.0,141.537,16156
22,2023-11-07,141.52,142.18,140.57,142.16,2119869.0,141.332,13364
23,2023-11-08,143.44,143.89,141.92,142.03,2204573.0,142.505,15865
24,2023-11-09,141.0,141.6,135.85,138.04,11217310.0,136.904,34030
25,2023-11-10,138.65,139.36,136.4,138.59,2181265.0,137.843,14112
26,2023-11-13,138.59,139.16,137.43,138.64,2158297.0,138.466,13442
27,2023-11-14,138.93,140.1,137.96,138.06,2354743.0,138.808,14813
28,2023-11-15,138.25,138.25,136.29,137.6,3767868.0,137.474,18369
29,2023-11-16,138.28,138.82,137.05,138.28,2796216.0,138.111,17603
30,2023-11-17,138.36,138.88,137.38,138.3,1923629.0,138.058,10297
31,2023-11-20,137.53,138.69,137.14,138.31,1809764.0,138.15,10086
32,2023-11-21,138.73,139.36,137.83,138.73,2649686.0,138.616,16092
33,2023-11-22,139.06,139.84,138.33,138.47,1772097.0,138.852,9960
34,2023-11-24,140.0,140.08,138.46,138.67,846412.0,138.92,5006
35,2023-11-27,138.7,139.38,137.79,139.09,2166198.0,138.544,13463
36,2023-11-28,139.05,139.66,137.92,138.08,2173477.0,138.738,13281
37,2023-11-29,138.02,139.09,137.65,138.5,2192742.0,138.493,13187
38,2023-11-30,138.01,142.7,138.01,142.39,4171564.0,141.419,27796
39,2023-12-01,142.54,144.1,142.28,143.41,2452845.0,143.12,15720
40,2023-12-04,143.41,145.49,143.27,144.15,2317044.0,144.483,14832
41,2023-12-05,144.11,145.09,142.66,144.57,2233776.0,144.234,14015
42,2023-12-06,144.79,147.07,144.73,146.38,2486582.0,146.132,16591
43,2023-12-07,147.64,148.38,145.2,147.97,3932618.0,147.425,25146
44,2023-12-08,148.07,150.07,148.0,149.28,3053993.0,149.488,17833
45,2023-12-11,150.67,152.71,150.64,151.24,3221197.0,151.395,18600
46,2023-12-12,151.73,153.59,150.16,153.24,2838110.0,152.802,18347
47,2023-12-13,152.98,154.77,152.73,154.3,2389372.0,153.845,15486
48,2023-12-14,154.36,155.16,152.75,154.88,4248609.0,154.159,26646
49,2023-12-15,154.74,155.89,153.11,154.04,4110663.0,154.041,17905
50,2023-12-18,153.0,154.36,151.75,153.42,2893615.0,153.622,17957
51,2023-12-19,153.59,154.48,152.45,153.6,2526099.0,153.779,17779
52,2023-12-20,153.99,154.21,151.54,151.69,2032790.0,153.02,12520
53,2023-12-21,152.05,152.92,151.29,152.59,1751948.0,152.18,10205
54,2023-12-22,153.29,155.46,153.08,154.94,1754796.0,154.872,11268
55,2023-12-26,154.25,155.28,154.13,154.62,1002682.0,154.643,5995
56,2023-12-27,154.05,154.97,153.72,154.88,1326068.0,154.521,8752
57,2023-12-28,155.25,155.63,154.54,154.75,1291727.0,155.009,8303
58,2023-12-29,154.54,155.21,154.41,154.97,1232417.0,154.824,7731
59,2024-01-02,154.9,160.14,154.77,159.82,3586501.0,159.083,21754
60,2024-01-03,160.59,161.75,159.84,160.46,2499877.0,160.672,14455
61,2024-01-04,160.31,162.29,159.43,161.46,3258131.0,161.465,20576
