,date,open,high,low,close,volume,average,barCount
0,2023-10-06,67.5,69.78,66.49,69.29,353002.0,68.345,2205
1,2023-10-09,69.2,71.32,68.7,71.17,210465.0,70.704,1734
2,2023-10-10,71.3,72.65,70.9,72.08,237043.0,72.051,1655
3,2023-10-11,72.02,72.25,71.16,72.13,206405.0,71.887,1582
4,2023-10-12,72.58,79.05,72.47,75.0,1432684.0,76.294,9321
5,2023-10-13,75.26,76.82,75.13,76.33,278557.0,76.111,2413
6,2023-10-16,76.64,78.54,76.64,77.98,242656.0,77.931,2059
7,2023-10-17,78.41,79.86,78.21,78.76,269061.0,78.923,2045
8,2023-10-18,78.62,79.12,77.35,77.49,236442.0,78.019,1636
9,2023-10-19,77.22,77.89,76.57,76.67,228760.0,77.104,1771
10,2023-10-20,76.66,77.14,74.84,75.06,380909.0,75.516,2823
11,2023-10-23,74.86,76.0,74.23,75.09,207901.0,75.418,1242
12,2023-10-24,74.52,76.22,73.91,75.02,259350.0,75.321,1846
13,2023-10-25,74.44,75.72,74.21,74.88,304520.0,74.827,2242
14,2023-10-26,74.44,74.99,71.66,71.66,507046.0,72.701,3002
15,2023-10-27,72.16,72.42,70.2,72.03,464575.0,71.904,1870
16,2023-10-30,72.88,73.13,71.6,72.81,321525.0,72.668,1607
17,2023-10-31,73.09,74.78,72.2,73.51,553283.0,73.169,2229
18,2023-11-01,73.22,74.24,72.38,73.47,305303.0,73.532,2603
19,2023-11-02,73.59,75.49,72.58,73.24,717512.0,73.127,3858
20,2023-11-03,75.14,77.26,69.8,72.24,1012256.0,72.857,5263
21,2023-11-06,72.01,74.04,71.87,73.51,440335.0,73.203,2825
22,2023-11-07,73.43,74.5,72.97,74.29,317041.0,73.832,1862
23,2023-11-08,74.44,74.5,73.44,73.7,375283.0,74.096,2320
24,2023-11-09,73.95,74.03,72.15,72.23,100803.0,72.84,842
25,2023-11-10,72.22,73.71,71.73,73.11,290206.0,73.061,1857
26,2023-11-13,73.27,73.33,72.13,72.84,214848.0,72.806,1169
27,2023-11-14,73.31,74.29,73.27,73.55,236258.0,73.649,1439
28,2023-11-15,73.5,75.43,73.47,74.92,498585.0,74.817,3060
29,2023-11-16,74.99,75.48,73.55,73.95,229555.0,74.525,1358
30,2023-11-17,73.97,74.84,72.47,72.71,284635.0,72.992,2233
31,2023-11-20,72.29,73.36,72.25,72.62,134892.0,72.639,1147
32,2023-11-21,72.38,73.65,72.38,72.6,225129.0,72.884,1540
33,2023-11-22,73.17,73.4,72.48,72.98,126761.0,72.84,935
34,2023-11-24,72.77,73.75,72.6,73.57,61530.0,73.426,513
35,2023-11-27,73.35,73.6,72.28,72.49,119376.0,72.684,963
36,2023-11-28,72.61,72.61,71.28,72.0,169979.0,71.839,1241
37,2023-11-29,72.14,72.88,71.61,71.92,159925.0,72.202,1299
38,2023-11-30,71.94,73.22,71.17,72.99,176292.0,72.901,1350
39,2023-12-01,72.72,74.59,72.25,73.86,139902.0,73.846,970
40,2023-12-04,73.86,75.1,73.86,74.75,180710.0,74.721,1033
41,2023-12-05,74.61,74.97,73.59,74.21,202306.0,74.163,987
42,2023-12-06,74.22,74.53,70.7,71.15,284240.0,71.572,2032
43,2023-12-07,70.62,72.14,70.14,71.98,378400.0,71.458,2097
44,2023-12-08,71.98,73.32,71.37,73.26,575516.0,72.295,2867
45,2023-12-11,73.79,74.98,71.52,74.96,394743.0,74.202,1747
46,2023-12-12,74.65,77.24,74.65,75.91,365250.0,76.202,2013
47,2023-12-13,75.69,78.98,75.69,78.96,342282.0,77.687,1808
48,2023-12-14,79.12,79.67,76.87,77.58,389300.0,77.896,2337
49,2023-12-15,77.62,78.71,75.38,75.43,275140.0,76.453,1517
50,2023-12-18,75.98,75.98,74.92,75.73,159487.0,75.459,1355
