,date,open,high,low,close,volume,average,barCount
0,2023-09-25,15.49,16.67,15.39,16.63,606285.0,16.396,3195
1,2023-09-26,16.5,17.13,16.35,16.74,604243.0,16.828,3225
2,2023-09-27,16.99,17.74,16.99,17.62,657180.0,17.382,3478
3,2023-09-28,17.83,18.48,17.7,18.27,652510.0,18.127,3502
4,2023-09-29,18.55,18.69,18.03,18.11,561667.0,18.261,2724
5,2023-10-02,18.22,18.74,18.18,18.62,541124.0,18.471,2991
6,2023-10-03,18.34,18.5,17.03,17.15,731270.0,17.651,3654
7,2023-10-04,17.24,18.17,17.15,18.0,699155.0,17.836,3459
8,2023-10-05,18.0,18.15,17.13,17.3,437164.0,17.512,2086
9,2023-10-06,17.03,18.8,16.89,18.61,849191.0,18.106,4409
10,2023-10-09,18.41,18.6,17.82,18.22,831949.0,18.232,4729
11,2023-10-10,18.37,19.89,18.29,19.68,1630847.0,19.409,7223
12,2023-10-11,20.14,20.87,19.72,20.07,1380519.0,20.246,6552
13,2023-10-12,20.09,20.48,19.39,19.8,897737.0,19.944,4483
14,2023-10-13,19.85,20.2,18.61,19.0,849235.0,19.09,4145
15,2023-10-16,18.96,19.51,18.21,18.63,684830.0,18.882,3519
16,2023-10-17,18.31,21.07,18.13,19.75,2164324.0,19.97,10181
17,2023-10-18,19.16,20.15,19.11,19.24,954135.0,19.614,4767
18,2023-10-19,19.33,19.65,17.29,17.48,1487399.0,18.11,6885
19,2023-10-20,17.36,18.27,17.21,17.86,1131710.0,17.912,4963
20,2023-10-23,17.72,18.41,17.05,18.09,1585080.0,17.753,7166
21,2023-10-24,18.36,19.28,18.22,18.75,1316754.0,18.815,5518
22,2023-10-25,18.57,18.68,17.7,18.21,1214041.0,18.164,5936
23,2023-10-26,18.29,18.89,17.51,17.56,965079.0,18.161,5211
24,2023-10-27,17.29,17.51,13.5,13.71,4965375.0,14.414,22861
25,2023-10-30,14.07,14.07,12.53,12.81,2592102.0,12.975,14453
26,2023-10-31,13.18,13.7,12.88,13.6,1243793.0,13.385,7299
27,2023-11-01,13.74,14.09,13.12,13.58,956506.0,13.572,5758
28,2023-11-02,14.22,14.62,13.89,14.54,901512.0,14.282,4817
29,2023-11-03,14.94,15.27,14.75,15.1,666519.0,15.038,3930
30,2023-11-06,15.45,15.45,14.6,15.0,713609.0,14.908,4179
31,2023-11-07,13.1,15.98,12.95,15.8,1591409.0,14.824,8114
32,2023-11-08,15.59,17.73,15.51,17.68,1305563.0,16.921,7464
33,2023-11-09,17.8,17.83,16.3,16.31,1127712.0,16.799,6171
34,2023-11-10,16.56,17.11,16.0,17.03,596803.0,16.725,3337
35,2023-11-13,16.79,17.42,16.51,17.23,555060.0,17.063,3222
36,2023-11-14,18.11,18.25,17.17,17.84,562300.0,17.69,2956
37,2023-11-15,17.97,18.75,17.9,18.24,425444.0,18.295,2126
38,2023-11-16,18.04,18.3,17.46,17.93,437414.0,17.791,2578
39,2023-11-17,18.1,18.18,17.46,17.68,572970.0,17.658,3062
40,2023-11-20,17.66,18.73,17.66,18.66,560676.0,18.367,3297
41,2023-11-21,18.32,18.32,17.44,17.5,426701.0,17.685,2389
42,2023-11-22,17.67,18.17,17.48,17.62,381513.0,17.688,2341
43,2023-11-24,17.51,17.54,16.77,17.3,313666.0,17.329,1918
44,2023-11-27,17.11,17.72,16.91,17.67,469143.0,17.378,2728
45,2023-11-28,17.57,17.64,16.93,17.2,313320.0,17.205,1763
46,2023-11-29,17.59,17.73,16.54,16.7,603311.0,17.114,3684
47,2023-11-30,16.8,16.94,16.31,16.64,282341.0,16.557,1859
48,2023-12-01,16.55,17.06,16.11,16.86,327760.0,16.728,2020
49,2023-12-04,16.64,16.72,16.19,16.62,395095.0,16.493,2190
50,2023-12-05,16.45,16.45,16.02,16.03,348624.0,16.188,2166
51,2023-12-06,16.32,16.39,15.85,15.86,299877.0,16.054,1833
52,2023-12-07,15.99,16.25,15.67,16.12,364933.0,16.027,2149
53,2023-12-08,16.23,16.28,15.87,16.0,232160.0,16.033,1380
54,2023-12-11,16.08,17.53,16.08,17.25,601233.0,17.032,3260
55,2023-12-12,17.23,17.34,16.83,17.0,410252.0,17.051,2322
56,2023-12-13,17.0,17.7,16.75,17.67,422932.0,17.336,2310
57,2023-12-14,17.97,18.49,17.55,17.89,474199.0,17.991,2501
58,2023-12-15,18.13,18.27,17.56,17.9,404325.0,17.916,1537
59,2023-12-18,17.97,18.32,17.71,18.3,330786.0,18.044,1752
60,2023-12-19,18.46,19.58,18.26,18.65,566552.0,18.73,2828
61,2023-12-20,18.52,18.87,17.76,17.8,338163.0,18.253,1523
62,2023-12-21,18.3,18.58,17.95,18.55,251280.0,18.255,1333
63,2023-12-22,18.63,18.87,18.36,18.52,215986.0,18.573,1268
64,2023-12-26,18.61,20.03,18.61,19.88,703687.0,19.714,3118
65,2023-12-27,19.97,20.24,19.66,19.79,460578.0,19.827,2555
66,2023-12-28,19.84,20.43,19.77,19.96,409478.0,20.091,2042
67,2023-12-29,19.95,20.29,19.26,19.54,330073.0,19.661,1665
68,2024-01-02,19.06,19.13,18.43,18.67,355273.0,18.792,2049
69,2024-01-03,18.15,18.19,17.33,17.66,866530.0,17.67,5514
70,2024-01-04,17.42,17.58,16.99,17.0,404651.0,17.289,2191
71,2024-01-05,16.89,17.26,16.66,16.96,320512.0,17.0,1922
72,2024-01-08,17.1,17.28,16.92,17.03,532260.0,17.095,3107
73,2024-01-09,17.85,19.56,16.7,19.42,1809386.0,18.645,8730
74,2024-01-10,19.71,21.23,19.65,21.15,1933427.0,20.574,7777
75,2024-01-11,21.25,21.36,20.17,20.5,1018661.0,20.614,5322
76,2024-01-12,20.5,22.24,20.49,21.81,982142.0,21.558,4399
77,2024-01-16,21.3,21.34,19.93,20.56,1268371.0,20.667,6859
78,2024-01-17,20.03,20.08,19.13,19.89,820465.0,19.638,4542
79,2024-01-18,20.38,20.46,19.45,19.9,843977.0,19.986,4004
80,2024-01-19,20.27,20.54,19.72,20.46,742917.0,20.124,3844
81,2024-01-22,20.97,22.47,20.85,21.65,1298104.0,21.779,5424
82,2024-01-23,21.56,22.31,20.87,21.0,994060.0,21.293,4742
83,2024-01-24,21.7,21.74,20.51,20.62,919074.0,21.068,5150
84,2024-01-25,20.39,21.19,20.12,20.25,681775.0,20.54,3873
85,2024-01-26,19.82,19.88,18.74,18.98,1092445.0,19.1,5030
86,2024-01-29,19.01,19.01,18.52,18.79,722023.0,18.697,3743
87,2024-01-30,18.57,18.81,17.6,18.01,870499.0,17.997,4359
88,2024-01-31,17.77,18.0,17.17,17.22,576350.0,17.564,2998
89,2024-02-01,17.48,17.57,16.57,16.99,811176.0,16.883,3845
