,date,open,high,low,close,volume,average,barCount
0,2023-10-06,170.89,175.29,170.13,173.97,1336940.0,173.629,10363
1,2023-10-09,172.85,173.9,171.43,173.32,1028187.0,172.839,8148
2,2023-10-10,173.36,177.57,173.36,175.97,1417232.0,175.962,10801
3,2023-10-11,176.37,177.1,173.23,174.92,1066688.0,174.568,8161
4,2023-10-12,175.89,176.18,172.22,173.6,1830678.0,174.098,9700
5,2023-10-13,173.98,174.26,170.03,171.07,1131391.0,171.481,8638
6,2023-10-16,171.73,173.75,171.5,172.75,1139701.0,172.862,8870
7,2023-10-17,169.49,174.07,168.73,172.61,1020842.0,171.885,6332
8,2023-10-18,170.7,172.96,169.71,171.27,2167343.0,171.279,13540
9,2023-10-19,173.15,173.15,168.22,168.72,1884768.0,169.983,13703
10,2023-10-20,169.02,169.74,166.01,166.52,1783054.0,167.632,10455
11,2023-10-23,165.55,167.31,163.65,163.87,1281976.0,165.102,9274
12,2023-10-24,164.62,165.32,162.85,164.93,1484366.0,164.217,11674
13,2023-10-25,162.01,162.49,159.0,159.79,2563286.0,160.273,15794
14,2023-10-26,160.87,163.93,160.68,160.86,1713861.0,161.937,13208
15,2023-10-27,161.22,162.49,159.8,160.57,969244.0,160.922,7400
16,2023-10-30,157.65,158.02,154.99,155.88,2386060.0,156.363,15596
17,2023-10-31,156.43,157.64,155.16,157.33,1497334.0,156.949,10945
18,2023-11-01,157.46,159.48,155.47,159.24,1917223.0,157.328,15545
19,2023-11-02,162.09,165.27,161.64,164.34,1989212.0,163.895,15934
20,2023-11-03,165.94,169.46,165.94,167.92,1484284.0,167.988,11890
21,2023-11-06,167.44,168.92,165.59,167.57,996180.0,166.821,6646
22,2023-11-07,167.31,169.12,166.94,168.11,1044988.0,168.128,7934
23,2023-11-08,168.5,170.5,167.5,168.91,1809039.0,169.439,13686
24,2023-11-09,169.48,170.62,166.78,167.13,1522547.0,168.795,11450
25,2023-11-10,169.48,172.99,167.83,172.32,1415555.0,170.973,9786
26,2023-11-13,170.7,171.62,170.09,170.66,1397988.0,170.826,9857
27,2023-11-14,174.93,178.3,174.93,177.58,1377810.0,177.232,10261
28,2023-11-15,179.29,182.81,179.02,180.78,1564005.0,181.228,12151
29,2023-11-16,180.91,181.66,178.66,179.84,1374782.0,179.833,8796
30,2023-11-17,183.29,183.57,181.11,183.05,1602208.0,182.569,11110
31,2023-11-20,182.09,184.7,182.09,183.82,1791797.0,183.402,13390
32,2023-11-21,183.06,184.53,179.44,181.25,2691850.0,181.846,20708
33,2023-11-22,182.02,184.21,181.44,182.67,1451176.0,182.847,11095
34,2023-11-24,182.95,183.39,182.2,183.05,509041.0,182.943,4160
35,2023-11-27,182.63,184.38,181.43,183.77,1604470.0,183.435,11685
36,2023-11-28,183.26,184.55,182.34,183.2,1010370.0,183.381,7343
37,2023-11-29,185.57,186.93,182.53,182.71,1360124.0,183.969,9697
38,2023-11-30,183.18,183.5,180.76,183.38,1376296.0,182.024,9655
39,2023-12-01,183.03,183.88,181.16,183.07,925099.0,182.859,7083
40,2023-12-04,181.66,183.45,180.18,183.26,1270845.0,182.212,9585
41,2023-12-05,182.22,182.51,179.63,180.63,1160619.0,180.705,9265
42,2023-12-06,183.07,183.14,180.17,180.57,1250884.0,181.035,8199
43,2023-12-07,182.39,185.72,180.37,184.38,2027444.0,183.495,12762
44,2023-12-08,184.25,186.3,183.81,184.88,1019730.0,185.26,7976
45,2023-12-11,185.72,191.11,185.55,190.13,1618584.0,189.539,10772
46,2023-12-12,190.14,191.05,189.12,190.97,1135362.0,190.363,8789
47,2023-12-13,191.41,193.09,189.66,192.27,1854476.0,191.233,10144
48,2023-12-14,193.28,200.26,193.19,200.17,2585773.0,198.254,17737
49,2023-12-15,201.94,202.77,200.02,200.88,2891867.0,201.084,14330
50,2023-12-18,200.88,201.19,196.16,196.59,1161936.0,197.213,8918
51,2023-12-19,197.35,198.1,196.69,197.83,834838.0,197.492,5709
52,2023-12-20,196.26,197.44,192.06,192.19,1546522.0,194.302,11342
53,2023-12-21,195.4,197.7,194.77,196.28,1173714.0,196.379,8684
54,2023-12-22,197.62,199.46,195.73,197.1,818988.0,197.653,5949
55,2023-12-26,197.9,199.83,197.53,198.87,557217.0,198.824,4552
56,2023-12-27,198.87,199.44,198.08,199.35,558932.0,198.87,4369
57,2023-12-28,200.69,201.47,199.71,200.24,885459.0,200.769,6591
58,2023-12-29,199.87,200.7,198.09,198.56,494337.0,198.833,4042
59,2024-01-02,197.07,197.07,191.51,193.58,1274518.0,193.951,10084
60,2024-01-03,190.86,191.1,188.66,188.96,1219127.0,189.563,9118
61,2024-01-04,181.9,186.89,181.8,186.07,1785465.0,185.693,11938
