,date,open,high,low,close,volume,average,barCount
0,2023-09-25,3.5,3.51,3.435,3.49,612286.0,3.47964,2283
1,2023-09-26,3.51,3.6075,3.51,3.55,729103.0,3.55979,3547
2,2023-09-27,3.56,3.62,3.515,3.59,890954.0,3.56588,3625
3,2023-09-28,3.57,3.605,3.5,3.54,714616.0,3.53017,3148
4,2023-09-29,3.55,3.63,3.54,3.58,1253363.0,3.58003,5711
5,2023-10-02,3.57,3.61,3.51,3.53,888005.0,3.54732,4938
6,2023-10-03,3.54,3.54,3.32,3.33,1792713.0,3.37659,6461
7,2023-10-04,3.31,3.38,3.2,3.36,5365721.0,3.29571,8580
8,2023-10-05,3.36,3.455,3.28,3.43,3034618.0,3.36674,8124
9,2023-10-06,3.34,3.42,3.27,3.35,1582287.0,3.34803,4684
10,2023-10-09,3.32,3.36,3.215,3.34,832250.0,3.31166,3159
11,2023-10-10,3.32,3.39,3.3,3.33,1228451.0,3.34071,4455
12,2023-10-11,3.33,3.42,3.3,3.33,886620.0,3.35168,3634
13,2023-10-12,3.32,3.37,3.17,3.19,1201435.0,3.23703,5121
14,2023-10-13,3.19,3.24,3.15,3.21,748576.0,3.19162,3774
15,2023-10-16,3.22,3.42,3.21,3.38,1273964.0,3.3416,5095
16,2023-10-17,3.36,3.52,3.36,3.44,1357586.0,3.44584,5573
17,2023-10-18,3.41,3.41,3.305,3.32,1344317.0,3.35831,3900
18,2023-10-19,3.34,3.34,3.14,3.15,1837105.0,3.20703,6007
19,2023-10-20,3.17,3.22,3.13,3.16,898819.0,3.16803,4361
20,2023-10-23,3.12,3.17,3.06,3.08,1041287.0,3.10677,4483
21,2023-10-24,3.09,3.225,3.09,3.2,602665.0,3.18286,3309
22,2023-10-25,3.15,3.24,3.125,3.17,727419.0,3.18631,3345
23,2023-10-26,3.19,3.3,3.16,3.28,1009072.0,3.26071,4751
24,2023-10-27,3.3,3.32,3.23,3.31,1252106.0,3.28604,5284
25,2023-10-30,3.33,3.39,3.28,3.3,802932.0,3.31693,3717
26,2023-10-31,3.27,3.42,3.23,3.38,1212410.0,3.35593,5441
27,2023-11-01,3.38,3.52,3.35,3.52,1076651.0,3.46487,4512
28,2023-11-02,3.53,3.5425,3.4,3.45,838334.0,3.44782,3958
29,2023-11-03,3.48,3.68,3.455,3.65,1549472.0,3.61588,6903
30,2023-11-06,3.72,3.73,3.54,3.63,1373464.0,3.62134,5875
31,2023-11-07,3.66,3.72,3.6299,3.69,940649.0,3.67729,4592
32,2023-11-08,3.69,3.7,3.56,3.62,1195903.0,3.60881,4949
33,2023-11-09,4.0,4.02,3.6715,3.83,6861468.0,3.83288,22473
34,2023-11-10,3.84,3.92,3.68,3.77,1327811.0,3.79423,5444
35,2023-11-13,3.76,3.795,3.68,3.74,917984.0,3.74443,3748
36,2023-11-14,3.88,3.91,3.785,3.87,1812188.0,3.85368,6746
37,2023-11-15,3.85,3.92,3.8,3.8,836555.0,3.84948,3701
38,2023-11-16,3.8,3.84,3.76,3.81,613155.0,3.81231,3245
39,2023-11-17,3.84,4.01,3.84,3.97,1388378.0,3.94484,5024
40,2023-11-20,3.96,4.07,3.93,4.03,2381230.0,4.01967,6831
41,2023-11-21,4.04,4.04,3.93,3.94,742192.0,3.97817,3352
42,2023-11-22,4.0,4.03,3.94,3.95,871792.0,3.98528,4183
43,2023-11-24,3.92,4.0,3.9,3.96,379862.0,3.93828,2008
44,2023-11-27,3.95,3.95,3.82,3.85,993249.0,3.86822,4802
45,2023-11-28,3.83,3.83,3.71,3.72,668005.0,3.74938,2907
46,2023-11-29,3.73,3.85,3.72,3.73,1149642.0,3.77262,4673
47,2023-11-30,3.82,3.84,3.68,3.7,983114.0,3.74419,4437
48,2023-12-01,3.7,3.83,3.64,3.81,1277601.0,3.77524,6351
49,2023-12-04,3.81,3.9,3.77,3.88,714387.0,3.8458,3737
50,2023-12-05,3.84,3.92,3.81,3.9,813354.0,3.89567,3614
51,2023-12-06,3.93,3.93,3.81,3.82,648362.0,3.86995,2999
52,2023-12-07,3.85,3.86,3.75,3.77,500114.0,3.7816,2424
53,2023-12-08,3.76,3.77,3.7,3.71,808080.0,3.73151,3865
54,2023-12-11,3.71,3.72,3.61,3.7,1137178.0,3.66735,5996
55,2023-12-12,3.7,3.74,3.6,3.74,1001814.0,3.69108,4114
56,2023-12-13,3.74,4.01,3.73,4.01,1993712.0,3.9253,9318
57,2023-12-14,4.1,4.1,3.95,4.04,1472144.0,4.00529,6781
58,2023-12-15,4.14,4.24,4.04,4.2,2517868.0,4.13433,6949
59,2023-12-18,4.19,4.225,4.09,4.14,1022833.0,4.14664,5047
60,2023-12-19,4.19,4.35,4.15,4.22,1360281.0,4.22326,5837
61,2023-12-20,4.22,4.24,4.06,4.09,1060474.0,4.1557,4287
62,2023-12-21,4.14,4.21,4.07,4.13,685143.0,4.11297,2655
63,2023-12-22,4.16,4.275,4.16,4.24,1265774.0,4.24526,4594
64,2023-12-26,4.28,4.415,4.27,4.36,808402.0,4.35525,2869
65,2023-12-27,4.36,4.49,4.36,4.49,1250764.0,4.44839,5931
66,2023-12-28,4.46,4.58,4.44,4.52,1179405.0,4.50804,5294
67,2023-12-29,4.53,4.61,4.52,4.52,1181627.0,4.56864,5170
68,2024-01-02,4.5,4.69,4.45,4.55,2182501.0,4.57594,8130
69,2024-01-03,4.54,4.54,4.37,4.42,1221849.0,4.4485,4878
70,2024-01-04,4.48,4.56,4.39,4.53,1130315.0,4.49189,4548
71,2024-01-05,4.47,4.48,4.4,4.4,1032783.0,4.42713,4190
72,2024-01-08,4.7,4.84,4.61,4.81,4690286.0,4.74889,16206
73,2024-01-09,4.79,5.1,4.74,5.07,6112243.0,4.98897,18966
74,2024-01-10,5.07,5.08,4.915,4.96,3509779.0,4.96606,12543
75,2024-01-11,4.99,4.99,4.77,4.94,3595922.0,4.89918,16498
76,2024-01-12,5.0,5.015,4.895,4.99,2056053.0,4.96802,8918
77,2024-01-16,4.97,4.985,4.91,4.93,1375997.0,4.94624,5732
78,2024-01-17,4.89,4.95,4.82,4.93,1674009.0,4.89177,6738
79,2024-01-18,4.95,5.03,4.875,5.02,1351609.0,4.95883,6781
