,date,open,high,low,close,volume,average,barCount
0,2023-09-25,36.01,37.36,36.01,37.1,496603.0,36.951,3734
1,2023-09-26,36.52,37.01,35.83,35.95,294049.0,36.17,1931
2,2023-09-27,35.96,36.24,35.43,35.7,274642.0,35.841,2026
3,2023-09-28,35.43,37.14,35.43,36.74,339192.0,36.572,2752
4,2023-09-29,37.1,37.21,36.53,36.7,323037.0,36.798,2500
5,2023-10-02,36.63,36.78,36.1,36.28,297648.0,36.363,2025
6,2023-10-03,35.85,36.06,35.14,35.29,333024.0,35.398,2164
7,2023-10-04,35.23,36.02,34.99,35.87,286546.0,35.671,2299
8,2023-10-05,35.67,36.03,34.67,35.06,346513.0,35.033,2299
9,2023-10-06,34.96,36.54,34.64,35.92,489392.0,35.867,3191
10,2023-10-09,35.38,36.52,35.11,36.38,234968.0,36.136,1711
11,2023-10-10,36.58,37.09,36.27,36.5,318874.0,36.694,2114
12,2023-10-11,36.65,37.02,36.51,36.96,268312.0,36.795,1725
13,2023-10-12,36.8,36.8,35.87,36.1,546441.0,36.248,2707
14,2023-10-13,36.1,36.17,35.25,35.51,589032.0,35.748,3057
15,2023-10-16,35.94,36.57,35.82,36.22,408440.0,36.226,2997
16,2023-10-17,35.94,36.81,35.94,36.09,326982.0,36.299,2213
17,2023-10-18,35.57,35.62,34.87,34.88,303218.0,35.037,2234
18,2023-10-19,34.62,35.0,34.2,34.48,332653.0,34.466,2461
19,2023-10-20,34.66,35.07,34.24,34.62,344299.0,34.645,2332
20,2023-10-23,34.34,34.85,34.07,34.08,305833.0,34.465,1863
21,2023-10-24,34.24,34.51,34.07,34.42,335318.0,34.324,2200
22,2023-10-25,33.91,34.49,33.61,34.37,399730.0,34.219,2863
23,2023-10-26,34.81,35.31,34.24,34.4,547487.0,34.795,2813
24,2023-10-27,34.36,34.36,33.27,33.61,469040.0,33.578,3180
25,2023-10-30,34.15,34.15,33.05,33.48,676410.0,33.341,4031
26,2023-10-31,33.51,33.78,33.12,33.69,419252.0,33.575,2774
27,2023-11-01,33.75,33.75,32.77,33.58,466768.0,33.244,3257
28,2023-11-02,34.16,34.64,33.38,34.54,592464.0,34.123,3528
29,2023-11-03,35.7,36.63,35.6,35.91,491430.0,36.138,3686
30,2023-11-06,35.99,36.08,35.13,35.28,855296.0,35.477,5078
31,2023-11-07,35.11,35.79,34.89,35.59,1057039.0,35.52,6677
32,2023-11-08,31.1,32.61,30.52,32.49,1303947.0,31.896,8753
33,2023-11-09,32.35,32.7,30.1,30.2,1031735.0,30.947,7262
34,2023-11-10,30.36,32.26,30.21,31.7,1023442.0,31.663,6444
35,2023-11-13,31.46,31.77,31.24,31.32,529248.0,31.541,3557
36,2023-11-14,32.47,33.31,32.46,32.75,1566358.0,32.993,7903
37,2023-11-15,32.77,33.63,32.66,33.11,1512016.0,33.211,8875
38,2023-11-16,33.0,33.4,32.58,32.83,666375.0,32.887,4356
39,2023-11-17,33.24,33.25,32.61,32.8,869428.0,32.807,5926
40,2023-11-20,32.75,33.14,32.45,32.9,869449.0,32.947,6065
41,2023-11-21,32.5,32.85,32.08,32.12,680377.0,32.372,4237
42,2023-11-22,32.2,32.57,32.05,32.12,600110.0,32.267,3518
43,2023-11-24,32.23,32.81,32.01,32.5,474548.0,32.576,2863
44,2023-11-27,32.24,32.44,31.93,32.1,633065.0,32.128,3982
45,2023-11-28,32.13,32.49,31.61,32.17,880972.0,32.269,4399
46,2023-11-29,32.91,33.18,32.32,32.45,1045444.0,32.655,4973
47,2023-11-30,32.61,32.82,32.05,32.2,711973.0,32.263,3948
48,2023-12-01,32.06,33.36,31.91,33.28,1139211.0,33.086,6131
49,2023-12-04,33.2,33.66,33.14,33.4,1282553.0,33.443,5913
50,2023-12-05,33.17,33.26,32.61,32.84,723036.0,32.908,3313
51,2023-12-06,33.26,33.85,32.78,32.9,549934.0,33.194,3493
52,2023-12-07,32.92,33.11,32.7,32.99,696251.0,32.865,3136
53,2023-12-08,33.0,33.35,32.6,32.89,843913.0,33.072,3913
54,2023-12-11,32.8,33.47,32.6,33.35,778301.0,33.104,4076
55,2023-12-12,33.23,33.7,33.08,33.37,1103141.0,33.471,5673
56,2023-12-13,33.26,33.74,32.23,33.74,797997.0,32.932,5158
57,2023-12-14,34.3,35.88,33.96,35.86,944488.0,35.447,5753
58,2023-12-15,35.96,36.08,35.08,35.18,785391.0,35.532,3670
59,2023-12-18,35.37,35.79,34.89,35.5,460002.0,35.49,3212
60,2023-12-19,35.63,36.64,35.63,36.53,369887.0,36.38,2540
61,2023-12-20,36.37,36.98,35.78,35.83,435212.0,36.476,2926
62,2023-12-21,36.25,36.72,36.02,36.66,350011.0,36.568,2373
63,2023-12-22,36.69,37.19,36.54,36.74,324885.0,36.913,2153
64,2023-12-26,36.97,37.03,36.52,36.9,180774.0,36.802,1446
65,2023-12-27,37.12,37.12,36.35,36.53,266798.0,36.583,1944
66,2023-12-28,36.38,36.75,36.38,36.59,315656.0,36.56,1903
67,2023-12-29,36.63,36.69,36.25,36.36,546141.0,36.407,3382
68,2024-01-02,36.05,37.04,35.77,36.49,285443.0,36.507,2253
69,2024-01-03,35.83,36.04,33.89,33.93,586952.0,34.501,4452
70,2024-01-04,33.6,34.17,33.28,34.04,522642.0,33.856,3690
71,2024-01-05,33.93,35.17,33.69,34.29,315066.0,34.425,2641
72,2024-01-08,34.16,34.97,34.08,34.64,249635.0,34.654,1464
73,2024-01-09,34.13,34.28,33.83,34.02,304742.0,33.986,2313
74,2024-01-10,33.94,34.04,33.18,34.02,248256.0,33.762,1801
75,2024-01-11,33.8,33.91,33.23,33.64,320966.0,33.585,1890
76,2024-01-12,34.17,34.17,32.48,32.64,236772.0,32.786,1974
77,2024-01-16,32.03,32.79,31.77,32.72,257216.0,32.558,2042
78,2024-01-17,32.2,32.58,31.85,32.26,429449.0,32.135,3033
79,2024-01-18,32.63,32.86,32.14,32.79,459978.0,32.565,3070
80,2024-01-19,32.76,33.2,32.38,33.13,395699.0,32.87,2773
81,2024-01-22,33.6,35.13,33.53,34.31,839971.0,34.486,4333
82,2024-01-23,34.83,35.29,34.48,34.56,534467.0,34.737,3800
83,2024-01-24,34.85,34.85,34.05,34.14,320827.0,34.368,2075
84,2024-01-25,34.48,34.89,34.28,34.83,315689.0,34.631,2120
85,2024-01-26,35.27,35.89,34.85,35.21,516466.0,35.43,3445
86,2024-01-29,35.1,35.65,34.96,35.53,309174.0,35.389,2146
87,2024-01-30,35.46,35.9,35.16,35.23,319949.0,35.447,2130
88,2024-01-31,35.23,35.85,34.53,34.71,357982.0,35.049,2463
89,2024-02-01,35.06,35.96,34.89,35.89,361164.0,35.637,2671
