,date,open,high,low,close,volume,average,barCount
0,2023-10-06,242.15,247.65,240.27,246.38,472941.0,245.494,3986
1,2023-10-09,245.78,250.42,245.3,250.18,380152.0,248.705,3105
2,2023-10-10,250.18,251.3,247.69,249.15,635239.0,249.617,5355
3,2023-10-11,249.82,249.92,247.42,249.46,431304.0,248.826,3466
4,2023-10-12,250.61,250.82,246.3,247.65,667552.0,247.861,5344
5,2023-10-13,248.5,249.54,245.34,247.5,598336.0,246.778,3984
6,2023-10-16,248.91,250.11,247.67,249.26,368117.0,249.359,2914
7,2023-10-17,250.4,250.41,248.05,249.33,365273.0,249.352,2813
8,2023-10-18,249.57,250.34,247.85,248.26,385728.0,249.004,3042
9,2023-10-19,248.08,249.5,245.64,246.08,375126.0,246.947,3024
10,2023-10-20,246.3,246.6,241.45,241.68,565190.0,243.681,3748
11,2023-10-23,241.68,243.63,240.82,241.16,440238.0,242.438,3454
12,2023-10-24,241.67,242.58,237.92,240.45,634127.0,240.224,4803
13,2023-10-25,229.65,230.06,217.0,218.33,2532276.0,219.765,17686
14,2023-10-26,218.3,222.46,217.12,218.84,1019584.0,220.776,8149
15,2023-10-27,218.33,218.58,213.9,214.84,836846.0,215.965,6864
16,2023-10-30,215.68,217.11,213.26,216.08,689567.0,215.574,5505
17,2023-10-31,216.67,218.95,215.25,218.22,682571.0,217.703,5134
18,2023-11-01,215.21,215.21,205.53,210.37,1701582.0,209.105,12599
19,2023-11-02,211.63,218.75,211.52,218.56,968859.0,216.982,7514
20,2023-11-03,220.69,222.32,216.42,219.31,1138683.0,218.317,7643
21,2023-11-06,219.43,220.96,218.63,220.54,458432.0,219.689,3209
22,2023-11-07,221.02,223.41,219.21,222.25,746035.0,221.962,6080
23,2023-11-08,224.06,226.47,223.28,225.48,543035.0,225.426,4216
24,2023-11-09,226.43,227.11,225.38,226.52,649007.0,226.334,5013
25,2023-11-10,228.12,229.19,226.34,228.49,406784.0,228.034,3069
26,2023-11-13,227.45,227.53,226.09,226.35,445830.0,226.736,3606
27,2023-11-14,229.64,231.22,228.77,230.42,444659.0,230.224,3322
28,2023-11-15,230.79,232.48,230.13,230.46,565066.0,231.159,3814
29,2023-11-16,231.69,233.3,227.25,229.91,668855.0,229.323,4779
30,2023-11-17,231.03,231.16,228.0,229.39,455473.0,229.497,2698
31,2023-11-20,228.64,232.44,228.44,231.71,469816.0,230.778,3237
32,2023-11-21,231.81,232.15,230.06,231.21,752200.0,230.778,5358
33,2023-11-22,232.7,233.75,229.8,231.15,519069.0,230.99,3498
34,2023-11-24,231.52,231.98,229.1,230.66,175409.0,230.205,1247
35,2023-11-27,230.2,230.37,228.18,229.16,451096.0,228.944,3601
36,2023-11-28,229.41,230.29,228.43,228.99,387687.0,229.189,2950
37,2023-11-29,229.45,231.06,228.84,229.16,435982.0,229.886,3146
38,2023-11-30,229.5,230.0,227.48,229.92,776762.0,228.861,5528
39,2023-12-01,229.64,233.31,229.23,232.94,573390.0,232.201,4280
40,2023-12-04,231.4,233.29,231.17,232.58,643246.0,231.819,3600
41,2023-12-05,232.53,232.89,229.86,231.56,576442.0,231.787,4674
42,2023-12-06,232.19,232.99,230.22,232.35,601317.0,231.659,4994
43,2023-12-07,231.5,232.72,229.4,229.99,591435.0,230.423,4578
44,2023-12-08,229.19,232.59,228.27,229.27,482589.0,230.098,3607
45,2023-12-11,231.32,235.26,230.86,233.29,623636.0,233.661,4722
46,2023-12-12,235.0,236.69,233.16,236.68,467263.0,235.279,3473
47,2023-12-13,237.27,239.26,235.57,239.22,515684.0,237.486,3835
48,2023-12-14,240.19,240.22,235.29,235.97,802537.0,237.448,6156
49,2023-12-15,236.14,237.18,233.69,234.14,1198494.0,235.416,3619
