,date,open,high,low,close,volume,average,barCount
0,2023-09-25,2.78,2.85,2.73,2.84,136202.0,2.81814,938
1,2023-09-26,2.81,2.89,2.78,2.82,236483.0,2.83717,1727
2,2023-09-27,2.83,2.915,2.82,2.86,247562.0,2.87007,1616
3,2023-09-28,2.86,2.94,2.8,2.81,116567.0,2.8755,570
4,2023-09-29,2.81,2.87,2.78,2.84,103046.0,2.83224,735
5,2023-10-02,2.8,2.87,2.8,2.84,195588.0,2.84635,1154
6,2023-10-03,2.85,2.925,2.81,2.88,336467.0,2.86798,1683
7,2023-10-04,2.88,2.94,2.82,2.9,629250.0,2.89349,2610
8,2023-10-05,2.9,2.965,2.84,2.96,232396.0,2.9059,1545
9,2023-10-06,2.95,3.0399,2.9,2.99,454855.0,2.9706,2346
10,2023-10-09,2.94,3.075,2.86,3.05,273389.0,3.0003,1972
11,2023-10-10,3.04,3.09,2.9701,3.0,282706.0,3.03134,1920
12,2023-10-11,3.03,3.055,2.91,2.95,206976.0,2.96216,899
13,2023-10-12,2.92,3.0,2.86,2.92,232743.0,2.9185,1202
14,2023-10-13,2.93,2.95,2.7616,2.87,285406.0,2.82846,1801
15,2023-10-16,2.9,2.9,2.81,2.84,237990.0,2.85609,1454
16,2023-10-17,2.77,2.93,2.74,2.88,181175.0,2.88143,1378
17,2023-10-18,2.86,2.86,2.69,2.7,116540.0,2.75463,630
18,2023-10-19,2.71,2.71,2.45,2.45,291965.0,2.5707,1492
19,2023-10-20,2.45,2.565,2.41,2.49,330254.0,2.48768,1860
20,2023-10-23,2.52,2.57,2.44,2.45,170494.0,2.51793,705
21,2023-10-24,2.47,2.525,2.37,2.4,147459.0,2.43319,843
22,2023-10-25,2.37,2.37,2.29,2.32,177672.0,2.31121,1152
23,2023-10-26,2.32,2.37,2.25,2.3,308015.0,2.31535,1969
24,2023-10-27,2.38,2.38,2.13,2.16,177899.0,2.20606,991
25,2023-10-30,2.2,2.3,2.17,2.25,420195.0,2.22597,1879
26,2023-10-31,2.26,2.325,2.24,2.3,282732.0,2.28718,1563
27,2023-11-01,2.31,2.355,2.25,2.3,164241.0,2.2861,1000
28,2023-11-02,2.34,2.43,2.32,2.36,201704.0,2.36866,1241
29,2023-11-03,2.39,2.43,2.36,2.4,246044.0,2.39522,1561
30,2023-11-06,2.41,2.505,2.34,2.37,517880.0,2.38031,2340
31,2023-11-07,2.25,2.34,2.03,2.05,991644.0,2.1026,4389
32,2023-11-08,2.0,2.09,1.98,1.99,967127.0,2.05706,1937
33,2023-11-09,1.96,2.09,1.93,1.95,614003.0,1.98888,3235
34,2023-11-10,1.94,2.0,1.85,1.98,629933.0,1.9476,3835
35,2023-11-13,2.04,2.135,1.99,2.12,709850.0,2.08804,3269
36,2023-11-14,2.24,2.43,2.24,2.39,1007186.0,2.34419,4685
37,2023-11-15,2.49,2.535,2.375,2.39,710605.0,2.4307,3696
38,2023-11-16,2.42,2.49,2.36,2.47,248366.0,2.44484,1323
39,2023-11-17,2.58,2.59,2.48,2.5,511124.0,2.51638,2018
40,2023-11-20,2.49,2.55,2.45,2.5,199228.0,2.49567,994
41,2023-11-21,2.43,2.53,2.4,2.52,165354.0,2.50265,966
42,2023-11-22,2.54,2.66,2.53,2.59,380957.0,2.60393,1988
43,2023-11-24,2.6,2.74,2.6,2.69,136322.0,2.68795,732
44,2023-11-27,2.65,2.72,2.64,2.71,501427.0,2.68254,2060
45,2023-11-28,2.69,2.74,2.68,2.7,577319.0,2.70666,2313
46,2023-11-29,2.67,2.81,2.64,2.75,402552.0,2.75436,1611
47,2023-11-30,2.77,2.8,2.73,2.75,309470.0,2.75174,1800
48,2023-12-01,2.76,2.86,2.725,2.79,219338.0,2.809,1360
49,2023-12-04,2.76,2.84,2.68,2.8,326802.0,2.80306,1758
50,2023-12-05,2.8,2.9,2.775,2.87,592588.0,2.84849,2371
51,2023-12-06,2.92,3.06,2.85,3.0,1021088.0,3.0048,4379
52,2023-12-07,3.02,3.0899,3.0,3.06,798922.0,3.04972,3103
53,2023-12-08,3.06,3.2745,3.04,3.26,728700.0,3.19275,3677
54,2023-12-11,3.29,3.3464,3.19,3.2,1275152.0,3.23055,4618
55,2023-12-12,3.18,3.26,3.17,3.2,1111785.0,3.20818,5191
