,date,open,high,low,close,volume,average,barCount
0,2023-09-25,16.86,16.9,16.83,16.87,114192.0,16.872,416
1,2023-09-26,16.78,16.79,16.6,16.62,168006.0,16.705,541
2,2023-09-27,16.66,16.69,16.47,16.49,194969.0,16.523,881
3,2023-09-28,16.47,16.7,16.45,16.69,132715.0,16.636,772
4,2023-09-29,16.81,16.85,16.64,16.64,97866.0,16.733,446
5,2023-10-02,16.59,16.7,16.59,16.65,262981.0,16.663,1503
6,2023-10-03,16.56,16.65,16.45,16.48,117436.0,16.501,613
7,2023-10-04,16.49,16.63,16.4,16.63,137961.0,16.572,673
8,2023-10-05,16.62,16.65,16.53,16.6,83039.0,16.588,392
9,2023-10-06,16.54,16.78,16.43,16.75,215630.0,16.647,1160
10,2023-10-09,16.69,16.83,16.64,16.8,117657.0,16.718,532
11,2023-10-10,16.83,16.96,16.77,16.87,120258.0,16.885,616
12,2023-10-11,16.88,16.92,16.85,16.9,179247.0,16.886,810
13,2023-10-12,16.9,16.95,16.69,16.76,55303.0,16.829,367
14,2023-10-13,16.83,16.93,16.66,16.7,79009.0,16.752,347
15,2023-10-16,16.84,16.94,16.8,16.91,158775.0,16.925,855
16,2023-10-17,16.82,16.99,16.81,16.95,94676.0,16.931,627
17,2023-10-18,16.86,16.91,16.75,16.76,75411.0,16.857,318
18,2023-10-19,16.77,16.82,16.6,16.63,128215.0,16.725,677
19,2023-10-20,16.6,16.61,16.39,16.42,84875.0,16.462,328
20,2023-10-23,16.35,16.49,16.34,16.36,73288.0,16.409,354
21,2023-10-24,16.45,16.54,16.41,16.45,88780.0,16.474,393
22,2023-10-25,16.42,16.43,16.12,16.17,165788.0,16.222,748
23,2023-10-26,16.12,16.19,15.93,15.97,116636.0,16.03,487
24,2023-10-27,16.02,16.06,15.8,15.85,119396.0,15.895,505
25,2023-10-30,15.95,16.07,15.91,16.04,97720.0,15.995,361
26,2023-10-31,16.1,16.21,16.06,16.18,96965.0,16.14,406
27,2023-11-01,16.2,16.44,16.2,16.44,83659.0,16.323,384
28,2023-11-02,16.6,16.83,16.58,16.83,97754.0,16.751,422
29,2023-11-03,16.94,17.09,16.77,17.05,132739.0,17.006,598
30,2023-11-06,17.07,17.12,17.05,17.09,251252.0,17.091,1124
31,2023-11-07,17.07,17.21,17.04,17.18,274643.0,17.154,1671
32,2023-11-08,17.14,17.23,17.14,17.19,336742.0,17.185,1459
33,2023-11-09,17.21,17.24,17.14,17.21,349433.0,17.218,1641
34,2023-11-10,17.26,17.33,17.21,17.3,240228.0,17.255,1349
35,2023-11-13,17.3,17.39,17.3,17.39,149097.0,17.34,693
36,2023-11-14,17.43,17.77,17.4,17.74,303236.0,17.675,1386
37,2023-11-15,17.74,17.75,17.66,17.69,144873.0,17.716,451
38,2023-11-16,17.7,17.93,17.69,17.69,256605.0,17.783,1379
39,2023-11-17,16.6,16.67,16.47,16.64,211484.0,16.59,839
40,2023-11-20,16.6,16.82,16.6,16.78,291536.0,16.756,873
41,2023-11-21,16.75,16.86,16.75,16.84,198252.0,16.813,869
42,2023-11-22,16.83,16.98,16.8,16.95,178891.0,16.923,738
43,2023-11-24,17.01,17.05,16.99,17.04,82154.0,17.037,316
44,2023-11-27,17.06,17.1,16.84,16.91,155608.0,16.899,751
45,2023-11-28,16.89,17.03,16.89,16.99,126271.0,16.957,412
46,2023-11-29,17.05,17.1,16.92,16.98,97103.0,17.003,370
47,2023-11-30,16.99,16.99,16.85,16.96,109044.0,16.897,477
48,2023-12-01,16.96,17.09,16.92,17.06,115108.0,17.026,356
49,2023-12-04,17.0,17.04,16.92,16.98,205547.0,16.961,950
50,2023-12-05,16.95,17.05,16.93,17.01,116627.0,16.998,602
51,2023-12-06,17.08,17.08,16.95,16.95,221867.0,17.033,1053
52,2023-12-07,17.04,17.08,16.98,17.01,118455.0,17.038,460
53,2023-12-08,16.99,17.1,16.99,17.07,192491.0,17.06,829
54,2023-12-11,17.09,17.15,17.07,17.15,106921.0,17.111,459
55,2023-12-12,17.14,17.24,17.13,17.2,126426.0,17.198,557
56,2023-12-13,17.22,17.5,17.22,17.43,96035.0,17.347,355
57,2023-12-14,17.5,17.6,17.39,17.47,123453.0,17.488,535
58,2023-12-15,17.43,17.44,17.32,17.34,141706.0,17.389,631
59,2023-12-18,17.38,17.6,17.38,17.45,120042.0,17.505,409
60,2023-12-19,17.42,17.7,17.42,17.66,73120.0,17.604,289
61,2023-12-20,17.57,17.74,17.36,17.37,150469.0,17.629,787
62,2023-12-21,17.47,17.55,17.33,17.51,117462.0,17.439,583
63,2023-12-22,17.57,17.72,17.52,17.58,220745.0,17.594,555
64,2023-12-26,17.58,17.75,17.58,17.73,88676.0,17.672,348
65,2023-12-27,17.67,17.77,17.67,17.76,125199.0,17.738,509
66,2023-12-28,17.72,17.83,17.71,17.75,154516.0,17.77,504
67,2023-12-29,17.75,17.82,17.66,17.71,91483.0,17.726,335
68,2024-01-02,17.6,17.65,17.33,17.45,214605.0,17.502,676
69,2024-01-03,17.36,17.42,17.22,17.24,115258.0,17.298,434
70,2024-01-04,17.22,17.35,17.18,17.19,222256.0,17.232,673
71,2024-01-05,17.23,17.4,17.2,17.32,331385.0,17.294,1300
72,2024-01-08,17.3,17.52,17.29,17.5,166650.0,17.42,675
73,2024-01-09,17.38,17.51,17.38,17.47,253246.0,17.458,954
74,2024-01-10,17.53,17.64,17.51,17.63,182944.0,17.561,445
75,2024-01-11,17.61,17.68,17.47,17.55,257842.0,17.569,1169
76,2024-01-12,17.55,17.63,17.51,17.56,96758.0,17.578,417
77,2024-01-16,17.52,17.63,17.46,17.48,100971.0,17.506,385
78,2024-01-17,17.42,17.49,17.4,17.41,90832.0,17.435,320
79,2024-01-18,17.53,17.61,17.5,17.57,74886.0,17.555,304
80,2024-01-19,17.65,17.86,17.58,17.85,161288.0,17.725,475
81,2024-01-22,17.88,17.9,17.83,17.88,161240.0,17.877,478
82,2024-01-23,17.85,17.9,17.8,17.87,114220.0,17.861,297
83,2024-01-24,17.9,18.14,17.9,18.09,311841.0,18.047,923
84,2024-01-25,18.18,18.27,18.12,18.16,192348.0,18.195,643
85,2024-01-26,18.23,18.29,18.2,18.27,153488.0,18.237,550
86,2024-01-29,18.25,18.43,18.25,18.42,146339.0,18.323,510
87,2024-01-30,18.4,18.45,18.37,18.38,124661.0,18.384,501
88,2024-01-31,18.28,18.33,18.15,18.16,186156.0,18.254,939
89,2024-02-01,18.18,18.38,18.16,18.35,122199.0,18.288,613
