,date,open,high,low,close,volume,average,barCount
0,2023-10-06,12.1,12.5,11.43,12.45,24103669.0,12.138,83759
1,2023-10-09,12.45,12.76,12.38,12.68,10362723.0,12.574,43587
2,2023-10-10,12.86,13.25,12.69,13.0,8275495.0,13.009,35111
3,2023-10-11,13.09,13.42,12.88,13.39,7065568.0,13.209,30195
4,2023-10-12,13.19,13.23,12.87,13.05,11703139.0,13.051,42357
5,2023-10-13,13.19,13.39,13.04,13.16,7236856.0,13.175,30460
6,2023-10-16,13.26,13.82,13.16,13.71,8823884.0,13.6,33840
7,2023-10-17,13.42,13.91,13.35,13.75,6394804.0,13.669,26273
8,2023-10-18,13.68,13.9,13.57,13.87,9673336.0,13.754,27120
9,2023-10-19,13.78,14.12,13.77,13.84,8708299.0,13.903,33178
10,2023-10-20,13.75,13.94,13.6,13.83,10199660.0,13.789,34774
11,2023-10-23,13.62,14.29,13.55,14.0,5830547.0,14.0,26375
12,2023-10-24,14.16,14.57,14.15,14.53,6523176.0,14.466,27221
13,2023-10-25,14.34,14.7,14.33,14.68,6210620.0,14.591,24336
14,2023-10-26,14.73,14.97,14.65,14.9,5576400.0,14.839,21685
15,2023-10-27,14.81,14.96,14.53,14.75,15802170.0,14.754,46959
16,2023-10-30,14.9,15.08,14.71,14.95,6970848.0,14.909,32064
17,2023-10-31,14.9,14.93,14.67,14.9,6433744.0,14.808,26225
18,2023-11-01,14.93,14.95,14.7,14.85,8433759.0,14.83,33126
19,2023-11-02,15.03,15.52,15.0,15.5,9266443.0,15.325,34139
20,2023-11-03,16.0,16.84,15.63,16.79,9898319.0,16.594,45525
21,2023-11-06,16.63,16.92,16.32,16.34,5516398.0,16.541,26642
22,2023-11-07,16.4,16.43,16.1,16.14,3625851.0,16.278,17977
23,2023-11-08,16.37,16.4,16.08,16.22,3946721.0,16.248,18696
24,2023-11-09,16.3,16.34,15.59,15.63,4717517.0,15.765,22637
25,2023-11-10,15.78,15.92,15.58,15.7,3051218.0,15.755,15450
26,2023-11-13,15.74,15.9,15.51,15.54,3667084.0,15.706,16934
27,2023-11-14,16.17,16.96,16.15,16.94,4651417.0,16.708,22859
28,2023-11-15,16.84,17.27,16.78,17.01,4842869.0,17.002,21218
29,2023-11-16,17.07,17.19,16.74,16.91,3296060.0,16.915,17610
30,2023-11-17,17.08,17.12,16.84,17.01,3246138.0,16.979,16336
31,2023-11-20,16.93,17.26,16.67,17.21,3150902.0,17.121,15822
32,2023-11-21,17.12,17.19,16.63,16.74,4203288.0,16.75,16672
33,2023-11-22,16.86,16.93,16.63,16.91,3124097.0,16.827,13904
34,2023-11-24,16.87,17.08,16.86,16.93,1443869.0,16.966,7132
35,2023-11-27,16.89,16.97,16.68,16.91,3445733.0,16.866,16884
36,2023-11-28,16.94,17.27,16.76,17.17,2729580.0,17.142,12422
37,2023-11-29,17.29,17.48,17.0,17.22,4072716.0,17.224,21655
38,2023-11-30,17.29,17.52,17.04,17.21,5853364.0,17.313,24746
39,2023-12-01,17.13,18.14,17.13,18.13,4005884.0,17.805,17936
40,2023-12-04,17.9,18.14,17.71,17.98,6064177.0,17.914,26968
41,2023-12-05,17.97,18.07,17.75,17.94,3740965.0,17.898,17194
42,2023-12-06,18.13,18.2,17.86,17.94,7734754.0,17.986,25098
43,2023-12-07,18.06,18.33,17.94,18.17,2633760.0,18.184,13932
44,2023-12-08,18.15,18.26,18.03,18.22,3845875.0,18.167,19002
45,2023-12-11,18.11,18.39,17.9,18.05,3523222.0,18.064,18132
46,2023-12-12,18.13,18.27,17.86,18.21,3384094.0,18.093,17223
47,2023-12-13,18.32,19.42,18.1,19.33,8168772.0,18.754,31772
48,2023-12-14,19.75,20.24,19.45,19.63,8153597.0,19.807,45512
49,2023-12-15,19.6,19.76,19.16,19.35,6342259.0,19.499,21254
50,2023-12-18,19.43,19.44,18.93,19.02,3054981.0,19.084,17498
51,2023-12-19,19.27,19.5,19.17,19.36,3543867.0,19.349,18503
52,2023-12-20,19.3,19.33,18.35,18.37,5397407.0,18.801,23779
53,2023-12-21,18.6,19.02,18.56,18.85,3309817.0,18.831,16553
54,2023-12-22,18.96,19.32,18.86,19.1,2195574.0,19.11,12145
55,2023-12-26,19.13,19.44,19.03,19.36,1642916.0,19.313,8963
56,2023-12-27,19.33,19.4,19.17,19.28,2064535.0,19.279,10761
57,2023-12-28,19.13,19.5,19.13,19.35,2240125.0,19.376,11764
58,2023-12-29,19.18,19.41,19.14,19.25,1870245.0,19.253,10125
59,2024-01-02,19.14,19.53,19.0,19.34,3639482.0,19.386,20170
60,2024-01-03,19.11,19.16,18.57,18.93,5638930.0,18.833,26072
61,2024-01-04,19.09,19.13,18.74,18.87,2800172.0,18.904,13346
62,2024-01-05,18.8,19.35,18.63,18.8,8200042.0,18.86,30640
63,2024-01-08,18.69,19.24,18.69,19.07,3558040.0,19.093,16469
64,2024-01-09,18.8,19.13,18.76,18.86,2347729.0,18.948,10996
65,2024-01-10,18.81,19.05,18.73,18.88,2008780.0,18.905,10396
66,2024-01-11,18.72,18.77,17.76,18.03,3695785.0,18.035,20863
67,2024-01-12,18.18,18.54,18.18,18.44,3250988.0,18.364,16305
68,2024-01-16,18.14,18.32,17.79,17.89,3054861.0,18.018,15832
69,2024-01-17,17.56,17.81,17.15,17.4,4982258.0,17.402,22329
70,2024-01-18,17.28,17.42,17.09,17.38,3361192.0,17.276,17365
71,2024-01-19,17.5,17.51,16.78,16.89,4806215.0,16.962,24062
72,2024-01-22,17.0,17.38,16.76,16.78,6230267.0,16.945,23648
73,2024-01-23,16.94,16.98,16.62,16.81,3916220.0,16.813,18859
74,2024-01-24,17.1,17.16,16.48,16.5,4165021.0,16.621,18768
75,2024-01-25,16.86,17.42,16.72,17.13,6457531.0,17.134,26783
76,2024-01-26,17.23,17.41,17.12,17.15,4186451.0,17.252,17386
77,2024-01-29,17.15,17.36,16.83,17.28,3047747.0,17.114,14296
78,2024-01-30,17.17,17.24,16.78,16.97,3877934.0,16.964,18221
79,2024-01-31,16.94,17.02,16.58,16.68,4673001.0,16.8,22945
80,2024-02-01,16.73,17.16,16.53,17.16,3337622.0,16.871,16355
81,2024-02-02,16.76,17.3,16.35,17.02,7733863.0,16.879,35715
82,2024-02-05,16.69,16.78,16.23,16.51,3741449.0,16.511,16545
83,2024-02-06,16.42,16.65,16.37,16.5,4092339.0,16.512,17079
84,2024-02-07,16.62,16.71,16.15,16.32,6246404.0,16.318,22541
85,2024-02-08,16.25,16.33,15.97,16.2,5036005.0,16.144,18921
86,2024-02-09,16.19,16.48,16.13,16.46,4404554.0,16.289,14501
87,2024-02-12,16.52,16.9,16.4,16.88,4672443.0,16.721,21022
88,2024-02-13,16.43,16.54,15.69,16.0,6032963.0,16.006,30118
89,2024-02-14,16.13,16.36,15.89,16.35,975266.0,16.183,5322
