,date,open,high,low,close,volume,average,barCount
0,2023-09-25,15.3,16.17,15.24,16.01,133847.0,15.915,1032
1,2023-09-26,15.84,16.06,15.55,15.56,98561.0,15.721,786
2,2023-09-27,15.61,15.75,15.26,15.75,128774.0,15.544,771
3,2023-09-28,15.78,16.16,15.71,16.05,73083.0,16.002,610
4,2023-09-29,16.13,16.13,15.51,15.8,121031.0,15.834,955
5,2023-10-02,15.7,16.05,15.52,15.61,70198.0,15.723,531
6,2023-10-03,15.51,15.51,15.0,15.02,35871.0,15.241,249
7,2023-10-04,15.01,15.47,15.0,15.38,117917.0,15.305,783
8,2023-10-05,15.35,15.46,14.81,14.82,29089.0,15.056,205
9,2023-10-06,14.71,15.05,14.57,14.93,88847.0,14.824,639
10,2023-10-09,14.6,14.99,14.59,14.8,104835.0,14.811,822
11,2023-10-10,14.77,15.49,14.77,15.21,69162.0,15.222,511
12,2023-10-11,15.26,15.71,15.26,15.59,78828.0,15.554,570
13,2023-10-12,15.54,15.54,15.11,15.43,117622.0,15.411,791
14,2023-10-13,15.99,16.07,15.39,15.4,227860.0,15.777,1614
15,2023-10-16,15.44,16.16,15.36,15.83,185079.0,15.942,1360
16,2023-10-17,15.69,15.96,15.51,15.8,89943.0,15.799,680
17,2023-10-18,15.66,15.88,15.36,15.46,192204.0,15.638,1201
18,2023-10-19,15.47,15.62,15.26,15.48,57441.0,15.457,454
19,2023-10-20,15.44,15.51,15.06,15.41,57760.0,15.338,475
20,2023-10-23,15.25,15.81,15.16,15.56,60885.0,15.603,449
21,2023-10-24,15.62,16.03,15.6,15.85,65183.0,15.802,410
22,2023-10-25,15.79,16.12,15.58,16.01,58660.0,15.951,437
23,2023-10-26,15.88,16.33,15.84,16.24,55326.0,16.2,366
24,2023-10-27,16.28,16.44,15.98,16.01,210896.0,16.17,1008
25,2023-10-30,16.16,16.51,16.05,16.24,191492.0,16.203,820
26,2023-10-31,16.21,16.31,15.97,16.1,79013.0,16.104,464
27,2023-11-01,16.21,16.76,16.0,16.66,148929.0,16.426,913
