,date,open,high,low,close,volume,average,barCount
0,2023-10-06,115.22,118.09,114.49,117.61,444421.0,117.199,2132
1,2023-10-09,117.56,120.84,117.33,120.57,353777.0,119.478,2396
2,2023-10-10,121.69,123.03,121.06,122.28,273227.0,122.128,1921
3,2023-10-11,122.5,124.16,121.96,124.06,382425.0,123.198,2522
4,2023-10-12,124.69,124.69,118.79,120.82,336961.0,120.788,2670
5,2023-10-13,120.92,121.87,117.41,118.45,221357.0,118.943,1613
6,2023-10-16,119.99,120.41,118.9,119.66,165432.0,119.751,1136
7,2023-10-17,118.68,122.48,118.68,120.86,164760.0,121.161,1204
8,2023-10-18,119.05,119.33,115.53,115.58,255222.0,116.688,1815
9,2023-10-19,115.25,117.81,115.1,115.84,343920.0,116.409,2838
10,2023-10-20,115.1,115.93,112.91,113.2,203522.0,113.834,1584
11,2023-10-23,112.63,113.91,111.3,111.66,294109.0,112.439,2264
12,2023-10-24,112.83,112.9,110.79,112.27,280539.0,112.066,1736
13,2023-10-25,112.2,113.84,111.91,113.16,254875.0,113.101,2000
14,2023-10-26,113.0,114.61,112.89,113.04,346460.0,113.498,2111
15,2023-10-27,112.76,113.29,110.13,110.64,415925.0,111.215,2331
16,2023-10-30,112.16,113.04,110.72,112.2,475689.0,111.908,3039
17,2023-10-31,114.7,116.55,112.0,114.66,704448.0,114.066,4805
18,2023-11-01,114.15,117.65,111.56,117.57,458830.0,114.912,3264
19,2023-11-02,119.71,120.19,117.0,118.05,279342.0,118.164,1770
20,2023-11-03,119.97,120.46,118.45,119.81,305170.0,119.54,2396
21,2023-11-06,120.17,120.17,116.38,117.67,256511.0,117.449,1983
22,2023-11-07,114.46,114.52,111.13,114.1,450970.0,113.523,3458
23,2023-11-08,114.82,115.97,114.37,114.5,275682.0,114.739,1794
24,2023-11-09,115.9,115.9,114.01,114.08,280111.0,114.609,1716
25,2023-11-10,114.78,116.18,114.34,116.0,271506.0,115.455,1812
26,2023-11-13,115.55,116.23,114.14,114.24,327662.0,114.643,2395
27,2023-11-14,116.23,117.99,115.66,117.35,326621.0,117.177,2495
28,2023-11-15,117.61,120.36,116.95,118.62,330789.0,119.004,2110
29,2023-11-16,118.18,118.9,115.87,116.11,229939.0,116.576,1805
30,2023-11-17,117.35,117.93,116.48,117.9,235755.0,117.387,1572
31,2023-11-20,117.36,117.43,115.5,116.05,416819.0,116.135,2678
32,2023-11-21,115.37,115.61,114.45,115.42,391285.0,115.073,2746
33,2023-11-22,111.38,115.28,110.11,114.02,1057799.0,113.588,5599
34,2023-11-24,114.58,116.03,112.9,116.0,368851.0,114.791,2418
35,2023-11-27,115.41,115.76,113.81,114.48,419337.0,114.332,2664
36,2023-11-28,114.25,114.71,112.78,112.86,416421.0,113.641,2492
37,2023-11-29,114.11,114.83,112.58,113.7,645108.0,113.547,3800
38,2023-11-30,114.1,114.29,112.49,113.53,402502.0,113.394,2817
39,2023-12-01,114.07,117.97,113.81,117.37,502430.0,117.193,3689
40,2023-12-04,116.08,118.2,115.78,117.15,320987.0,116.832,2483
41,2023-12-05,116.9,117.3,114.42,114.64,335419.0,115.004,2377
42,2023-12-06,115.09,117.76,115.06,115.48,252575.0,116.137,1930
43,2023-12-07,115.31,116.31,114.39,114.55,345994.0,114.736,1807
44,2023-12-08,114.78,116.59,114.78,116.06,178362.0,115.737,1260
45,2023-12-11,116.2,116.66,114.57,114.95,262925.0,115.042,2001
46,2023-12-12,114.33,115.09,112.96,113.96,364927.0,113.668,2185
47,2023-12-13,113.51,117.42,113.11,117.38,440547.0,115.199,2916
48,2023-12-14,118.52,123.03,118.52,122.55,642396.0,121.699,4425
49,2023-12-15,121.93,122.78,118.75,119.25,507977.0,120.397,3244
50,2023-12-18,119.39,119.64,117.25,117.75,241104.0,118.059,1805
51,2023-12-19,118.77,121.59,118.47,121.14,293466.0,120.479,2039
52,2023-12-20,121.21,122.95,119.98,120.12,322692.0,121.379,2373
53,2023-12-21,121.15,122.15,120.42,122.08,158163.0,121.286,1063
54,2023-12-22,121.98,123.42,121.82,122.28,217248.0,122.495,1585
55,2023-12-26,122.35,123.21,122.25,122.58,141812.0,122.78,967
56,2023-12-27,122.31,122.95,121.76,122.31,139860.0,122.367,1000
57,2023-12-28,122.3,122.68,121.63,122.11,145488.0,122.069,1094
58,2023-12-29,122.04,122.55,121.0,121.41,133481.0,121.466,986
59,2024-01-02,121.13,124.33,120.8,122.11,291496.0,122.956,2158
60,2024-01-03,120.42,120.84,118.91,119.36,647908.0,119.902,2215
61,2024-01-04,119.56,120.51,118.81,119.74,279308.0,119.803,2119
62,2024-01-05,119.09,122.72,119.09,122.01,369432.0,121.649,2555
63,2024-01-08,121.3,123.31,120.54,123.14,175724.0,122.348,1264
64,2024-01-09,122.01,122.01,120.34,121.13,299627.0,121.123,2075
65,2024-01-10,120.91,121.13,119.39,120.29,195491.0,120.111,1484
66,2024-01-11,120.3,121.11,118.99,119.35,298805.0,119.733,2174
67,2024-01-12,120.2,121.0,117.57,117.59,186545.0,118.762,1404
68,2024-01-16,116.67,118.39,115.04,118.29,335033.0,117.554,2532
69,2024-01-17,116.88,117.17,114.19,115.1,494833.0,115.381,3616
70,2024-01-18,115.67,116.22,114.16,115.84,230107.0,115.502,1762
71,2024-01-19,115.84,117.68,114.81,117.66,193101.0,116.743,1500
72,2024-01-22,117.49,119.8,117.13,118.27,330894.0,118.539,2349
73,2024-01-23,118.83,119.98,117.96,119.76,185221.0,119.355,1281
74,2024-01-24,120.68,121.14,118.91,121.02,257500.0,120.682,2192
75,2024-01-25,122.2,126.44,122.2,123.87,359843.0,123.877,2665
76,2024-01-26,124.11,124.95,122.89,123.15,188475.0,123.518,1422
77,2024-01-29,123.07,124.16,121.54,123.6,212950.0,122.831,1623
78,2024-01-30,122.61,124.82,122.41,124.26,248391.0,124.159,1864
79,2024-01-31,124.01,124.49,122.04,122.33,318036.0,123.084,2443
80,2024-02-01,122.98,123.6,121.14,123.27,203825.0,122.738,1471
81,2024-02-02,122.16,123.4,121.0,122.43,236785.0,122.556,1752
82,2024-02-05,121.21,122.05,119.78,120.93,604311.0,121.06,4341
83,2024-02-06,130.08,130.26,121.56,122.19,918492.0,125.576,6848
84,2024-02-07,122.45,122.86,116.2,117.91,640629.0,118.151,4498
85,2024-02-08,117.75,118.45,116.46,117.42,419455.0,117.572,2881
86,2024-02-09,116.81,117.42,114.64,115.04,357879.0,115.285,2610
87,2024-02-12,115.35,117.69,114.91,116.67,403571.0,116.413,2850
88,2024-02-13,114.45,114.89,112.3,112.83,365204.0,113.149,2544
89,2024-02-14,114.15,114.15,110.79,111.71,255863.0,111.688,1757
