,date,open,high,low,close,volume,average,barCount
0,2023-09-25,24.47,24.79,24.06,24.41,128657.0,24.468,964
1,2023-09-26,24.4,25.03,24.2,24.36,166913.0,24.77,942
2,2023-09-27,24.43,24.94,24.25,24.54,248655.0,24.507,823
3,2023-09-28,24.43,24.79,24.04,24.77,87564.0,24.522,748
4,2023-09-29,24.97,25.21,24.49,24.75,105711.0,24.744,812
5,2023-10-02,24.74,24.74,23.84,24.22,141407.0,24.076,1187
6,2023-10-03,24.04,24.36,23.8,24.02,79995.0,24.099,654
7,2023-10-04,24.07,24.14,23.65,23.98,97441.0,23.895,736
8,2023-10-05,23.85,24.89,23.67,24.53,612462.0,24.322,2073
9,2023-10-06,24.31,24.45,23.62,24.0,249944.0,23.998,1124
10,2023-10-09,23.81,24.12,23.46,24.01,233486.0,23.791,1128
11,2023-10-10,23.99,24.19,23.5,23.77,2274170.0,23.609,3541
12,2023-10-11,23.77,23.95,23.27,23.36,334187.0,23.599,2017
13,2023-10-12,23.22,23.26,22.69,22.97,235607.0,22.945,1608
14,2023-10-13,23.07,23.33,22.85,23.12,451709.0,23.054,1816
15,2023-10-16,23.19,23.5,22.62,23.11,397141.0,23.131,1838
16,2023-10-17,22.98,23.36,22.03,22.64,214593.0,22.614,1698
17,2023-10-18,22.41,22.41,21.74,21.81,270348.0,22.029,1607
18,2023-10-19,21.72,21.75,21.09,21.42,568614.0,21.324,1907
19,2023-10-20,21.47,21.68,21.06,21.38,236654.0,21.439,1473
20,2023-10-23,21.15,21.49,20.8,20.96,257292.0,21.103,1614
21,2023-10-24,21.01,21.31,20.83,20.92,552881.0,20.976,2914
22,2023-10-25,20.76,20.88,19.99,20.18,300781.0,20.267,2159
23,2023-10-26,20.13,21.03,20.08,20.77,239984.0,20.702,1534
24,2023-10-27,20.59,20.88,19.79,19.97,277590.0,20.023,2129
25,2023-10-30,20.24,20.5,20.04,20.39,245744.0,20.249,1884
26,2023-10-31,20.35,21.35,20.35,21.01,738269.0,21.071,3986
27,2023-11-01,20.9,21.41,20.74,21.3,1565560.0,21.067,3215
28,2023-11-02,21.5,21.9,20.86,21.0,347221.0,21.215,2718
29,2023-11-03,21.2,22.83,21.2,22.49,1742239.0,22.116,4631
30,2023-11-06,22.56,22.97,22.37,22.42,321267.0,22.624,2597
31,2023-11-07,22.47,23.38,22.35,23.24,341730.0,23.08,2465
32,2023-11-08,23.24,23.3,22.34,22.5,155833.0,22.709,1329
33,2023-11-09,22.63,22.63,21.25,21.36,292487.0,21.589,2199
34,2023-11-10,21.41,22.41,21.04,21.14,606132.0,21.193,2923
35,2023-11-13,20.85,21.45,20.4,21.34,241070.0,21.02,1766
36,2023-11-14,22.24,22.76,22.16,22.3,402049.0,22.397,2789
37,2023-11-15,22.2,23.07,22.19,22.47,180706.0,22.669,1451
38,2023-11-16,22.42,22.6,21.86,22.24,121433.0,22.225,925
39,2023-11-17,22.47,23.0,21.45,22.26,228439.0,22.433,1534
40,2023-11-20,22.24,22.72,21.4,21.5,363055.0,21.936,2375
41,2023-11-21,21.74,22.47,21.46,21.87,217664.0,21.952,1640
42,2023-11-22,22.08,22.22,21.66,21.96,146049.0,21.938,1115
43,2023-11-24,21.96,22.47,21.8,22.33,53959.0,22.271,412
44,2023-11-27,22.18,22.26,21.31,21.68,131697.0,21.62,1064
45,2023-11-28,21.53,22.23,21.29,22.2,115462.0,21.996,984
46,2023-11-29,22.35,22.91,21.89,22.2,119548.0,22.475,1019
47,2023-11-30,22.5,22.8,22.04,22.23,158531.0,22.335,1213
48,2023-12-01,22.14,22.93,21.53,22.9,161566.0,22.649,1345
49,2023-12-04,22.83,23.23,22.46,23.07,153829.0,22.955,1178
50,2023-12-05,22.83,23.12,22.48,22.53,215703.0,22.713,1641
51,2023-12-06,22.66,23.05,22.35,22.55,225139.0,22.706,1751
52,2023-12-07,22.56,23.16,22.37,23.14,186009.0,22.803,1303
53,2023-12-08,23.05,23.14,22.01,22.05,210461.0,22.497,1568
54,2023-12-11,22.11,22.79,21.59,21.93,445670.0,21.957,2046
55,2023-12-12,21.84,22.57,21.57,22.0,684543.0,22.025,2593
56,2023-12-13,22.14,22.84,21.79,22.76,351757.0,22.359,2698
57,2023-12-14,23.17,23.8,22.95,23.24,492316.0,23.371,3383
58,2023-12-15,23.46,23.79,22.93,23.24,351998.0,23.335,1916
59,2023-12-18,23.16,23.53,22.87,23.25,279810.0,23.122,1944
60,2023-12-19,23.45,23.99,23.45,23.81,308369.0,23.799,2198
61,2023-12-20,23.83,23.87,23.01,23.06,257896.0,23.401,2111
62,2023-12-21,23.27,23.55,22.71,22.87,186379.0,22.91,1464
63,2023-12-22,22.99,24.05,22.99,23.94,268373.0,23.752,2062
64,2023-12-26,24.2,24.31,22.98,23.0,317270.0,23.314,2492
65,2023-12-27,23.09,23.14,22.33,22.83,238107.0,22.629,1795
66,2023-12-28,22.78,23.18,22.43,22.79,212442.0,22.748,1694
67,2023-12-29,22.73,22.73,22.21,22.27,270498.0,22.369,2265
68,2024-01-02,22.16,23.22,22.0,22.83,216916.0,22.807,1605
69,2024-01-03,23.58,25.43,21.75,24.02,1899326.0,23.872,9628
70,2024-01-04,24.14,24.33,23.35,23.47,606241.0,23.755,3857
71,2024-01-05,23.17,23.24,22.43,23.14,454756.0,23.006,2678
72,2024-01-08,23.04,24.46,22.65,24.45,328318.0,23.824,2201
73,2024-01-09,24.15,24.22,23.51,24.0,259812.0,23.902,2152
74,2024-01-10,23.99,24.4,23.13,23.4,308629.0,23.439,2328
75,2024-01-11,22.98,23.13,22.4,22.59,310241.0,22.766,2152
76,2024-01-12,22.94,23.32,22.44,22.74,297589.0,22.682,2295
77,2024-01-16,22.57,22.71,21.76,21.94,546564.0,22.009,3908
78,2024-01-17,21.77,22.11,21.4,21.71,437628.0,21.66,3589
79,2024-01-18,21.8,21.8,21.02,21.32,407144.0,21.197,3263
80,2024-01-19,21.41,21.8,20.96,21.73,659668.0,21.51,4717
81,2024-01-22,21.89,22.31,21.28,21.62,256344.0,21.631,2087
82,2024-01-23,22.15,22.15,21.37,21.71,163778.0,21.678,1366
83,2024-01-24,21.8,21.99,21.17,21.51,333870.0,21.577,2627
84,2024-01-25,21.78,23.45,21.65,23.42,751419.0,22.865,3914
85,2024-01-26,23.48,23.66,22.91,23.38,371984.0,23.366,2827
86,2024-01-29,23.27,24.08,22.72,23.87,306538.0,23.668,2383
87,2024-01-30,23.73,23.86,22.66,22.86,350094.0,23.045,2264
88,2024-01-31,22.79,23.34,22.51,22.62,271157.0,22.879,2311
89,2024-02-01,22.71,23.0,22.23,22.96,281439.0,22.658,2163
