,date,open,high,low,close,volume,average,barCount
0,2023-10-06,11.3,11.67,11.28,11.55,2133399.0,11.536,8637
1,2023-10-09,11.72,11.86,11.62,11.75,1228287.0,11.744,5092
2,2023-10-10,11.77,11.86,11.68,11.78,1614775.0,11.764,6754
3,2023-10-11,11.86,12.14,11.66,11.85,2335532.0,11.826,10191
4,2023-10-12,11.85,11.91,11.41,11.51,1256851.0,11.572,5712
5,2023-10-13,11.92,12.3,11.82,12.2,3272218.0,12.14,12857
6,2023-10-16,12.11,12.43,12.05,12.3,1731002.0,12.329,7919
7,2023-10-17,12.34,12.62,12.27,12.6,1447621.0,12.522,7159
8,2023-10-18,12.81,12.87,12.51,12.6,1736133.0,12.664,7150
9,2023-10-19,12.6,12.72,12.46,12.7,1720139.0,12.618,8213
10,2023-10-20,12.8,13.0,12.66,12.7,2841946.0,12.835,11785
11,2023-10-23,12.7,13.0,12.3,12.83,3300176.0,12.796,12883
12,2023-10-24,12.68,12.97,12.64,12.92,1590813.0,12.879,7385
13,2023-10-25,12.9,13.26,12.68,12.69,3001652.0,12.93,11952
14,2023-10-26,12.73,12.96,12.19,12.55,3248275.0,12.523,15615
15,2023-10-27,12.58,12.83,12.3,12.82,2447364.0,12.605,11032
16,2023-10-30,12.9,12.93,12.67,12.75,1531067.0,12.792,7292
17,2023-10-31,12.7,12.94,12.31,12.38,2622996.0,12.495,11211
18,2023-11-01,12.46,12.56,12.29,12.46,2389641.0,12.421,11084
19,2023-11-02,12.68,12.89,12.48,12.82,2057715.0,12.705,9516
20,2023-11-03,13.01,13.53,13.01,13.43,3570817.0,13.345,16259
21,2023-11-06,13.37,13.58,13.27,13.29,2085283.0,13.404,9245
22,2023-11-07,13.12,13.17,12.69,13.05,2103059.0,12.945,8892
23,2023-11-08,12.93,13.04,12.62,12.72,1877947.0,12.783,8779
24,2023-11-09,12.77,13.29,12.68,12.97,2104314.0,13.09,9286
25,2023-11-10,12.86,12.94,12.69,12.79,1526591.0,12.787,6808
26,2023-11-13,12.74,13.02,12.7,12.75,1224160.0,12.83,5708
27,2023-11-14,13.02,13.3,12.9,13.21,2110341.0,13.166,9154
28,2023-11-15,13.28,13.3,12.66,12.71,3378815.0,12.821,13064
29,2023-11-16,12.82,13.2,12.77,12.98,2823790.0,13.033,12049
30,2023-11-17,13.11,13.12,12.73,12.83,1963456.0,12.848,9183
31,2023-11-20,12.73,12.93,12.68,12.89,1094223.0,12.846,4687
32,2023-11-21,13.13,13.7,13.12,13.46,6490329.0,13.534,21267
33,2023-11-22,13.64,13.74,13.46,13.63,3661436.0,13.579,11881
34,2023-11-24,13.63,13.97,13.63,13.69,2532011.0,13.831,9115
35,2023-11-27,13.9,14.24,13.82,14.06,4175874.0,14.035,17280
36,2023-11-28,14.2,14.58,14.08,14.57,3538653.0,14.338,15192
37,2023-11-29,14.5,14.69,14.4,14.6,2059829.0,14.559,8595
38,2023-11-30,14.52,14.84,14.43,14.81,2006395.0,14.718,8932
39,2023-12-01,14.75,14.95,14.61,14.86,2567879.0,14.821,11995
40,2023-12-04,14.6,14.68,14.25,14.53,3516546.0,14.454,16027
41,2023-12-05,14.43,14.63,14.19,14.24,2569211.0,14.327,10793
42,2023-12-06,14.36,14.41,14.11,14.15,1986403.0,14.222,9625
43,2023-12-07,14.27,14.27,14.01,14.16,1493493.0,14.127,6900
44,2023-12-08,13.79,14.15,13.59,13.77,3523674.0,13.805,13361
45,2023-12-11,13.49,13.55,13.22,13.43,2777928.0,13.378,12563
46,2023-12-12,13.43,13.5,13.11,13.14,2926102.0,13.259,12558
47,2023-12-13,13.2,14.02,13.1,13.99,3744702.0,13.593,15827
48,2023-12-14,14.25,14.34,13.77,13.88,3503692.0,13.973,15015
49,2023-12-15,13.93,13.93,13.61,13.64,2458336.0,13.71,11622
50,2023-12-18,13.79,13.88,13.6,13.65,2415025.0,13.672,9240
51,2023-12-19,13.72,14.26,13.63,14.13,2145977.0,14.109,10570
52,2023-12-20,14.16,14.18,13.69,13.7,1655478.0,13.896,7385
53,2023-12-21,13.95,14.0,13.78,13.84,1476132.0,13.854,6653
54,2023-12-22,14.16,14.36,13.91,13.93,1956553.0,14.134,8519
55,2023-12-26,13.97,14.07,13.75,13.88,1289710.0,13.866,6063
56,2023-12-27,13.91,14.17,13.87,13.99,1940189.0,14.055,8898
57,2023-12-28,13.97,14.0,13.56,13.59,2235372.0,13.703,9618
58,2023-12-29,13.5,13.56,13.32,13.47,1801497.0,13.47,8990
59,2024-01-02,13.41,13.56,13.08,13.1,2156323.0,13.207,9678
60,2024-01-03,12.83,12.97,12.75,12.84,2275765.0,12.827,12992
61,2024-01-04,12.82,13.06,12.76,12.92,1421173.0,12.928,7592
62,2024-01-05,12.89,13.19,12.8,12.99,1933068.0,12.998,8802
63,2024-01-08,12.75,12.97,12.7,12.84,1397823.0,12.849,6983
64,2024-01-09,12.87,12.91,12.47,12.52,3047317.0,12.588,13741
65,2024-01-10,12.58,12.67,12.44,12.6,1306627.0,12.574,6395
66,2024-01-11,12.77,12.9,12.5,12.71,2672927.0,12.673,11008
67,2024-01-12,13.07,13.21,12.82,12.86,1760496.0,12.956,7964
68,2024-01-16,12.62,12.71,12.34,12.37,2831614.0,12.481,12597
69,2024-01-17,12.17,12.32,12.01,12.28,2668584.0,12.177,11699
70,2024-01-18,12.31,12.42,12.18,12.33,1697494.0,12.294,7451
71,2024-01-19,12.4,12.4,11.99,12.18,1878554.0,12.119,8216
72,2024-01-22,12.05,12.23,11.92,12.09,1121491.0,12.106,5555
73,2024-01-23,12.2,12.4,12.03,12.36,1669412.0,12.237,8072
74,2024-01-24,12.56,12.61,12.05,12.1,2074095.0,12.186,9759
75,2024-01-25,12.29,12.4,12.14,12.29,1880413.0,12.303,8632
76,2024-01-26,12.32,12.36,12.15,12.18,1153940.0,12.22,5685
77,2024-01-29,12.31,12.36,12.12,12.35,1375142.0,12.261,6151
78,2024-01-30,12.42,12.46,12.17,12.24,1203758.0,12.266,5932
79,2024-01-31,12.29,12.47,12.09,12.11,1793352.0,12.268,8156
80,2024-02-01,12.23,12.71,12.2,12.68,2771189.0,12.553,12667
81,2024-02-02,12.32,12.51,12.23,12.43,2062984.0,12.385,10148
82,2024-02-05,12.22,12.41,12.13,12.31,1683861.0,12.302,7632
83,2024-02-06,12.41,12.66,12.35,12.61,1654527.0,12.564,7511
84,2024-02-07,12.54,12.62,12.25,12.29,1494267.0,12.347,6870
85,2024-02-08,12.2,12.25,12.0,12.1,1857190.0,12.094,8269
86,2024-02-09,12.1,12.1,11.85,11.95,1346552.0,11.951,6593
87,2024-02-12,11.94,12.12,11.88,12.03,1167843.0,12.041,5400
88,2024-02-13,11.72,11.72,11.24,11.39,4135216.0,11.419,19137
89,2024-02-14,11.4,11.49,11.27,11.45,537527.0,11.36,2997
