,date,open,high,low,close,volume,average,barCount
0,2023-09-25,24.1,24.18,23.9,24.05,18654.0,24.12,73
1,2023-09-26,24.15,24.18,24.05,24.05,21862.0,24.118,86
2,2023-09-27,24.2,24.2,24.0,24.0,22849.0,24.113,85
3,2023-09-28,23.67,23.71,23.44,23.65,8292.0,23.595,38
4,2023-09-29,23.81,24.0,23.7,24.0,11994.0,23.806,74
5,2023-10-02,23.79,23.8,23.69,23.8,4439.0,23.738,22
6,2023-10-03,23.83,23.83,23.38,23.53,9762.0,23.475,34
7,2023-10-04,23.67,23.67,22.98,23.17,19229.0,23.232,91
8,2023-10-05,23.23,23.5,23.09,23.47,8591.0,23.347,37
9,2023-10-06,23.25,23.68,23.1,23.1,13600.0,23.367,81
10,2023-10-09,23.12,23.18,23.05,23.07,11732.0,23.134,64
11,2023-10-10,22.82,23.0,22.8,22.99,41215.0,22.876,131
12,2023-10-11,23.05,23.1,22.95,23.01,22264.0,23.03,93
13,2023-10-12,22.97,23.29,22.86,23.18,8573.0,23.033,28
14,2023-10-13,23.09,23.35,23.05,23.1,4690.0,23.135,24
15,2023-10-16,23.2,23.2,22.98,23.02,12191.0,23.077,48
16,2023-10-17,23.0,23.17,22.91,23.05,28573.0,23.036,89
17,2023-10-18,23.0,23.18,22.81,22.81,9374.0,23.009,37
18,2023-10-19,23.0,23.03,22.67,22.67,17500.0,22.886,80
19,2023-10-20,22.65,22.79,22.5,22.77,11535.0,22.63,59
20,2023-10-23,22.58,22.65,22.43,22.52,15804.0,22.568,76
21,2023-10-24,22.32,22.5,22.05,22.45,35968.0,22.253,155
22,2023-10-25,22.3,22.3,21.95,22.07,39016.0,22.077,162
23,2023-10-26,22.08,22.12,21.55,21.55,33363.0,21.822,128
24,2023-10-27,21.55,21.61,20.96,20.96,42561.0,21.339,211
25,2023-10-30,21.03,21.06,20.47,20.65,22031.0,20.744,74
26,2023-10-31,20.79,21.0,20.56,20.98,25250.0,20.825,150
27,2023-11-01,21.0,22.03,20.83,21.9,28317.0,21.54,79
28,2023-11-02,22.02,22.32,22.02,22.25,8473.0,22.133,27
29,2023-11-03,22.4,22.63,22.35,22.57,23045.0,22.477,125
30,2023-11-06,22.34,22.61,22.34,22.48,3522.0,22.387,8
31,2023-11-07,22.5,22.67,22.37,22.67,18200.0,22.54,72
32,2023-11-08,22.65,22.76,22.6,22.75,10472.0,22.662,46
33,2023-11-09,22.71,22.75,22.5,22.75,17374.0,22.662,90
34,2023-11-10,22.66,22.81,22.63,22.74,4043.0,22.742,18
35,2023-11-13,22.75,22.98,22.72,22.78,3782.0,22.794,12
36,2023-11-14,22.96,23.14,22.7,23.14,7401.0,22.924,23
