,date,open,high,low,close,volume,average,barCount
0,2023-10-06,60.07,60.92,60.0,60.41,60480.0,60.534,498
1,2023-10-09,60.14,61.21,59.91,61.06,64179.0,60.909,486
2,2023-10-10,61.24,61.5,60.19,60.26,75133.0,60.687,553
3,2023-10-11,60.5,61.31,60.41,61.21,82976.0,60.914,679
4,2023-10-12,61.56,61.56,60.74,61.48,51871.0,61.318,432
5,2023-10-13,62.14,62.31,60.67,61.04,78513.0,61.082,596
6,2023-10-16,61.41,62.57,61.41,62.25,107586.0,62.295,795
7,2023-10-17,62.13,63.68,62.13,63.14,107759.0,63.213,780
8,2023-10-18,62.94,63.19,62.39,62.61,67458.0,62.722,504
9,2023-10-19,62.71,63.06,61.04,61.3,107051.0,61.765,814
10,2023-10-20,61.3,61.57,59.95,59.97,87936.0,60.35,586
11,2023-10-23,59.74,60.11,59.21,59.22,92018.0,59.587,637
12,2023-10-24,59.33,60.02,59.01,59.67,114222.0,59.584,899
13,2023-10-25,59.56,61.16,59.56,60.31,111434.0,60.622,708
14,2023-10-26,60.48,61.98,60.01,60.91,94162.0,61.368,769
15,2023-10-27,60.57,60.65,59.98,60.34,82689.0,60.281,675
16,2023-10-30,60.82,61.77,60.82,61.6,63465.0,61.527,546
17,2023-10-31,61.96,62.98,61.96,62.4,104496.0,62.563,856
18,2023-11-01,62.0,63.79,61.83,63.71,89949.0,63.356,659
19,2023-11-02,63.81,64.98,63.68,64.97,110924.0,64.467,916
20,2023-11-03,65.0,65.85,64.92,65.49,132139.0,65.446,1052
21,2023-11-06,65.4,65.6,65.04,65.39,88347.0,65.385,687
22,2023-11-07,65.11,65.11,64.16,64.34,149766.0,64.482,1079
23,2023-11-08,67.25,67.25,63.66,65.87,187749.0,64.957,1438
24,2023-11-09,65.25,65.6,64.68,64.77,193278.0,65.051,1405
25,2023-11-10,64.77,65.47,64.66,65.13,118636.0,64.948,874
26,2023-11-13,64.59,66.02,64.59,65.25,154285.0,65.502,1045
27,2023-11-14,65.74,66.7,65.57,66.43,164008.0,66.305,1057
28,2023-11-15,66.25,66.74,65.83,65.89,104916.0,66.123,772
29,2023-11-16,66.19,66.44,65.44,65.54,162223.0,65.814,1092
30,2023-11-17,66.07,66.38,65.71,65.97,103486.0,65.965,726
31,2023-11-20,65.94,66.48,65.39,66.43,118313.0,66.234,927
32,2023-11-21,66.5,67.21,66.14,66.45,140300.0,66.715,1105
33,2023-11-22,66.63,67.31,66.56,67.12,140710.0,67.022,938
34,2023-11-24,67.35,68.46,67.3,68.03,82241.0,68.173,633
35,2023-11-27,67.91,68.63,67.76,68.3,134491.0,68.248,1038
36,2023-11-28,68.49,68.87,67.56,68.28,170449.0,68.141,1301
37,2023-11-29,68.11,68.62,67.24,67.35,148548.0,67.797,1076
38,2023-11-30,67.48,68.05,67.25,67.91,83364.0,67.846,654
39,2023-12-01,67.48,68.29,67.48,67.94,87952.0,67.937,676
40,2023-12-04,67.5,68.85,67.5,68.6,132978.0,68.592,1083
41,2023-12-05,68.53,69.21,68.18,68.51,151068.0,68.787,1212
42,2023-12-06,68.66,69.17,67.53,67.62,123159.0,68.016,927
43,2023-12-07,67.98,68.26,67.27,68.26,95881.0,67.869,750
44,2023-12-08,70.0,71.47,68.91,70.8,448357.0,70.458,2963
45,2023-12-11,70.59,72.03,70.59,71.54,218755.0,71.371,1620
46,2023-12-12,71.09,72.82,71.04,72.45,249535.0,72.388,1416
47,2023-12-13,72.68,73.35,71.94,73.1,196772.0,72.631,1339
48,2023-12-14,73.31,73.51,72.01,72.57,114379.0,72.695,923
