,date,open,high,low,close,volume,average,barCount
0,2023-09-25,33.18,33.28,32.88,32.98,289807.0,33.033,1567
1,2023-09-26,32.74,32.76,31.65,31.73,485032.0,32.055,2999
2,2023-09-27,31.7,31.9,31.08,31.17,582345.0,31.363,3366
3,2023-09-28,31.3,31.3,29.88,29.9,619689.0,30.179,3723
4,2023-09-29,30.21,30.54,29.86,30.17,428532.0,30.123,2712
5,2023-10-02,29.9,29.9,27.91,28.36,1092117.0,28.552,5399
6,2023-10-03,28.13,28.77,27.46,28.73,889144.0,28.35,5478
7,2023-10-04,28.87,28.99,28.19,28.87,556098.0,28.705,3418
8,2023-10-05,28.73,28.85,28.21,28.76,720290.0,28.569,4617
9,2023-10-06,28.36,29.6,28.03,29.5,996836.0,29.003,5958
10,2023-10-09,29.44,30.18,29.3,30.15,1214997.0,29.873,7599
11,2023-10-10,30.37,31.53,30.37,31.38,1412273.0,31.217,8870
12,2023-10-11,31.59,31.81,30.97,31.73,978576.0,31.475,6066
13,2023-10-12,31.62,31.72,30.24,30.63,1000603.0,30.6,6097
14,2023-10-13,30.9,31.21,30.74,30.98,528419.0,30.965,3097
15,2023-10-16,31.17,31.61,30.83,31.38,602762.0,31.388,3851
16,2023-10-17,31.05,31.8,31.05,31.42,592406.0,31.502,3770
17,2023-10-18,31.37,31.43,30.65,30.92,515605.0,30.931,3316
18,2023-10-19,30.88,31.24,30.65,30.73,399839.0,30.854,2630
19,2023-10-20,30.76,31.15,30.44,30.59,791100.0,30.73,4336
20,2023-10-23,29.61,30.38,29.32,29.36,971483.0,29.783,6409
21,2023-10-24,29.76,30.1,29.63,30.09,738900.0,29.946,4474
22,2023-10-25,29.88,30.13,29.63,29.74,770486.0,29.794,5052
23,2023-10-26,30.25,30.25,28.82,29.6,992429.0,29.386,6676
24,2023-10-27,29.43,29.61,28.96,29.07,660549.0,29.188,4610
25,2023-10-30,29.32,29.57,28.75,29.16,579778.0,29.072,3898
