,date,open,high,low,close,volume,average,barCount
0,2023-10-06,35.4,35.82,34.97,35.07,1636930.0,35.316,9200
1,2023-10-09,34.15,34.63,33.31,34.45,2088994.0,34.035,12098
2,2023-10-10,34.89,35.43,34.62,34.93,971824.0,35.039,5998
3,2023-10-11,35.0,35.48,34.19,34.55,977462.0,34.625,5435
4,2023-10-12,34.84,34.84,33.28,33.64,1675508.0,33.716,8926
5,2023-10-13,33.29,33.46,32.82,33.07,1392037.0,33.084,7488
6,2023-10-16,33.33,34.39,33.16,34.3,1609052.0,34.111,9850
7,2023-10-17,34.25,34.79,34.18,34.45,1178320.0,34.476,7838
8,2023-10-18,33.92,33.95,32.6,32.66,3242749.0,32.9,17915
9,2023-10-19,33.1,33.1,31.73,32.16,3530777.0,32.388,19201
10,2023-10-20,32.08,32.44,31.86,32.02,2186750.0,32.086,12296
11,2023-10-23,32.1,33.4,31.91,32.56,2873997.0,32.858,17298
12,2023-10-24,32.59,32.74,31.63,31.86,2133268.0,31.979,11618
13,2023-10-25,31.71,31.97,31.48,31.62,1173458.0,31.686,7037
14,2023-10-26,31.61,32.22,31.16,31.77,2319080.0,31.656,12779
15,2023-10-27,31.95,31.95,31.03,31.25,1346770.0,31.361,8117
16,2023-10-30,31.56,31.81,31.24,31.8,1495595.0,31.557,8313
17,2023-10-31,31.71,31.8,31.09,31.63,1556259.0,31.465,8259
18,2023-11-01,31.62,31.67,30.75,31.08,1571070.0,31.152,8566
19,2023-11-02,31.55,32.15,31.44,32.12,1560037.0,31.796,8473
20,2023-11-03,32.91,33.81,32.83,33.56,2080110.0,33.528,11340
21,2023-11-06,33.58,33.74,32.51,32.84,1276917.0,32.922,6240
22,2023-11-07,33.02,33.36,32.67,33.16,1130356.0,33.109,6390
23,2023-11-08,33.36,34.18,33.34,33.92,1771845.0,33.899,8635
24,2023-11-09,34.2,34.3,33.1,33.5,1884935.0,33.51,10055
25,2023-11-10,33.53,34.4,33.39,34.26,1945975.0,33.989,11836
26,2023-11-13,34.0,34.68,33.73,34.35,1305238.0,34.372,8173
27,2023-11-14,35.28,36.28,35.02,36.09,1889251.0,35.915,9906
28,2023-11-15,36.33,37.78,36.32,37.01,2105289.0,37.145,11495
29,2023-11-16,36.92,37.37,36.09,36.2,1517350.0,36.492,9740
30,2023-11-17,36.63,36.95,36.21,36.76,1654479.0,36.613,9184
31,2023-11-20,36.65,37.53,36.45,37.31,1246591.0,37.173,7532
32,2023-11-21,36.99,37.04,36.31,36.66,882520.0,36.611,5254
33,2023-11-22,37.49,37.98,36.74,36.93,985741.0,37.365,5786
34,2023-11-24,37.06,37.3,36.82,37.2,352797.0,37.125,2222
35,2023-11-27,36.83,37.22,36.68,36.84,966574.0,36.841,6200
36,2023-11-28,36.7,36.96,36.31,36.85,733901.0,36.699,4526
37,2023-11-29,37.22,37.74,37.18,37.54,1346861.0,37.508,8035
38,2023-11-30,37.79,37.98,37.23,37.81,1351791.0,37.728,8388
39,2023-12-01,37.93,39.86,37.9,39.73,1749639.0,39.379,10800
40,2023-12-04,33.67,34.28,32.0,34.08,18500740.0,33.54,78802
41,2023-12-05,34.3,35.91,34.29,35.57,8353027.0,35.313,36102
42,2023-12-06,36.0,37.24,35.61,35.67,4725130.0,36.412,21826
43,2023-12-07,36.0,36.32,35.02,35.97,4686549.0,35.623,23635
44,2023-12-08,35.96,36.08,35.41,35.61,3167580.0,35.718,16798
45,2023-12-11,35.65,36.06,35.1,35.75,2621744.0,35.634,12796
46,2023-12-12,36.0,37.72,35.73,37.31,3224201.0,37.099,14335
47,2023-12-13,36.9,38.65,36.22,38.63,3433759.0,37.618,16346
48,2023-12-14,39.2,39.32,38.35,39.16,3809373.0,38.858,19153
49,2023-12-15,38.94,39.25,38.43,38.95,4079097.0,38.81,17471
50,2023-12-18,38.45,39.52,38.01,39.27,2595834.0,39.034,12057
51,2023-12-19,39.5,40.59,39.29,40.2,3141173.0,40.221,13586
52,2023-12-20,40.0,41.1,39.8,40.09,2487456.0,40.545,12546
53,2023-12-21,40.58,41.06,40.41,40.59,1852409.0,40.707,8307
54,2023-12-22,40.5,41.13,40.45,40.68,1406527.0,40.751,6605
55,2023-12-26,40.5,41.22,40.14,40.16,2136502.0,40.677,10710
56,2023-12-27,40.02,40.26,39.64,39.67,1378839.0,39.815,8142
57,2023-12-28,39.33,39.96,39.2,39.92,1350427.0,39.745,7110
58,2023-12-29,39.6,39.84,38.97,39.07,1469208.0,39.26,7947
59,2024-01-02,38.69,39.2,38.26,38.34,1479851.0,38.697,8140
60,2024-01-03,37.44,37.77,36.3,36.42,1659291.0,36.822,8803
61,2024-01-04,36.68,37.25,36.56,36.81,1168466.0,36.932,7042
62,2024-01-05,36.59,38.16,36.47,37.95,1300571.0,37.871,7313
63,2024-01-08,36.09,38.1,35.58,37.87,6376015.0,37.204,28026
64,2024-01-09,38.25,38.61,37.32,37.37,3391141.0,37.966,15516
65,2024-01-10,37.1,37.27,36.74,37.06,2103624.0,37.017,10784
66,2024-01-11,36.99,37.25,36.41,36.99,1560386.0,36.868,8553
67,2024-01-12,36.04,36.24,34.39,35.17,3264614.0,35.108,17303
68,2024-01-16,34.8,34.86,33.76,34.42,2876245.0,34.112,15515
69,2024-01-17,33.96,34.35,33.24,33.61,1689022.0,33.642,9495
70,2024-01-18,33.74,34.97,33.5,34.96,1997013.0,34.286,9393
71,2024-01-19,34.97,35.0,34.18,34.84,1265839.0,34.591,7222
72,2024-01-22,35.27,35.55,34.77,34.83,1316528.0,35.049,7537
73,2024-01-23,35.98,36.66,35.63,35.83,1868862.0,36.099,10837
74,2024-01-24,36.25,36.39,35.6,35.82,1865430.0,35.778,10347
75,2024-01-25,36.8,37.96,36.28,37.42,3651330.0,37.299,18850
76,2024-01-26,37.13,37.32,36.64,36.77,1879803.0,36.873,11102
77,2024-01-29,36.8,37.25,36.12,37.22,1699375.0,36.851,8336
78,2024-01-30,36.74,37.24,36.69,36.69,1090134.0,36.935,6537
79,2024-01-31,36.64,36.69,35.72,35.83,1373604.0,36.169,7970
