,date,open,high,low,close,volume,average,barCount
0,2023-10-06,24.77,25.45,24.36,25.24,3011101.0,24.984,19066
1,2023-10-09,24.98,25.64,24.96,25.46,1996308.0,25.344,12259
2,2023-10-10,25.77,26.33,25.7,25.96,2819868.0,26.041,16346
3,2023-10-11,24.99,25.64,24.5,25.41,6448700.0,25.171,35081
4,2023-10-12,25.5,25.53,24.52,24.68,3377709.0,24.858,18803
5,2023-10-13,24.84,25.09,24.33,24.58,2363857.0,24.589,14319
6,2023-10-16,24.9,25.28,24.62,25.13,2905741.0,25.098,17070
7,2023-10-17,24.82,25.75,24.82,25.4,5563878.0,25.418,31420
8,2023-10-18,25.33,26.45,24.58,25.62,6292990.0,25.612,31932
9,2023-10-19,25.34,25.43,24.59,24.62,5678621.0,24.924,34687
10,2023-10-20,24.36,24.53,23.92,24.05,3597476.0,24.12,20109
11,2023-10-23,23.83,24.14,23.29,23.3,4319406.0,23.672,23460
12,2023-10-24,23.41,23.68,22.76,22.76,3333208.0,23.052,18680
13,2023-10-25,22.54,23.48,22.54,23.44,3891385.0,23.165,22959
14,2023-10-26,23.45,23.8,23.26,23.55,3295637.0,23.546,18584
15,2023-10-27,23.66,24.04,23.42,23.53,3228642.0,23.747,18792
16,2023-10-30,23.76,24.07,23.46,23.89,2582460.0,23.82,14276
17,2023-10-31,23.64,24.38,23.52,24.19,3539800.0,24.113,19793
18,2023-11-01,24.14,24.54,23.96,24.3,3719963.0,24.303,19954
19,2023-11-02,24.72,26.02,24.71,25.96,3637158.0,25.608,20984
20,2023-11-03,26.58,27.47,26.56,27.14,4257647.0,27.205,25836
21,2023-11-06,27.15,27.29,26.24,26.53,2210092.0,26.475,12381
22,2023-11-07,26.34,26.42,26.11,26.34,1708948.0,26.274,10800
23,2023-11-08,26.29,26.36,25.94,26.16,2169671.0,26.146,12689
24,2023-11-09,26.23,26.28,25.6,25.67,2159681.0,25.904,10788
25,2023-11-10,25.79,25.79,25.15,25.53,2442344.0,25.428,14216
26,2023-11-13,25.44,25.76,25.23,25.46,1468658.0,25.537,8839
27,2023-11-14,26.43,27.67,26.43,27.04,3505071.0,27.226,21951
28,2023-11-15,27.1,27.94,27.06,27.69,2692827.0,27.698,15930
29,2023-11-16,27.65,27.8,26.98,27.16,2114934.0,27.19,12840
30,2023-11-17,27.46,27.62,27.17,27.51,2176853.0,27.477,10628
