,date,open,high,low,close,volume,average,barCount
0,2023-09-25,11.48,12.21,11.38,11.98,72535.0,11.95021,584
1,2023-09-26,11.96,12.29,11.68,11.93,60970.0,12.02687,469
2,2023-09-27,11.94,12.11,11.49,11.7,65276.0,11.68176,430
3,2023-09-28,11.71,11.7899,11.26,11.29,190403.0,11.52799,567
4,2023-09-29,11.38,11.58,11.3,11.45,91742.0,11.46153,718
5,2023-10-02,11.36,11.51,11.01,11.37,305807.0,11.23091,1047
6,2023-10-03,11.36,11.775,11.23,11.58,227976.0,11.54193,986
7,2023-10-04,11.49,11.82,11.16,11.7,209261.0,11.67601,876
8,2023-10-05,12.08,12.595,11.94,12.19,243681.0,12.27819,1771
9,2023-10-06,12.03,12.3,11.88,12.19,750009.0,12.15754,1674
10,2023-10-09,12.08,12.58,11.35,11.715,177203.0,11.84991,895
11,2023-10-10,11.59,11.59,10.68,10.79,254837.0,11.08619,1040
12,2023-10-11,10.83,10.9,9.97,10.83,1746244.0,10.4987,2648
13,2023-10-12,10.82,11.425,10.735,10.93,881909.0,10.98648,1884
14,2023-10-13,10.96,11.11,9.89,10.26,246431.0,10.16038,1680
15,2023-10-16,10.38,10.38,9.97,10.0,135784.0,10.0733,879
16,2023-10-17,10.1,10.38,9.81,10.2,620166.0,10.12015,1116
17,2023-10-18,10.2,10.38,10.01,10.05,319843.0,10.18882,847
18,2023-10-19,10.0,10.1,9.885,10.03,136879.0,10.00561,919
19,2023-10-20,10.1,10.25,9.91,9.92,175050.0,10.00966,919
20,2023-10-23,9.92,10.3,8.86,9.04,286234.0,9.18482,1221
21,2023-10-24,9.06,9.31,8.74,8.75,329809.0,8.99002,1327
22,2023-10-25,8.68,8.94,8.415,8.77,192061.0,8.73574,1087
23,2023-10-26,8.79,8.83,8.33,8.54,2293632.0,8.57126,5639
24,2023-10-27,8.59,9.44,8.59,9.3,643941.0,8.96225,2393
25,2023-10-30,9.37,10.13,9.31,9.78,143634.0,9.82744,1038
26,2023-10-31,9.77,10.305,9.72,10.24,151510.0,10.12005,1124
27,2023-11-01,10.44,10.54,10.1,10.52,343996.0,10.34445,1648
28,2023-11-02,13.56,14.92,12.67,14.72,3263063.0,14.28428,11190
29,2023-11-03,15.66,16.25,14.4,16.07,1022231.0,15.508,5065
30,2023-11-06,15.97,16.26,13.97,14.13,731549.0,14.83903,4898
31,2023-11-07,11.97,12.85,11.9505,12.59,2308380.0,12.45773,9134
32,2023-11-08,12.6,12.95,11.66,12.28,1125340.0,12.15464,5438
33,2023-11-09,12.36,12.57,12.03,12.06,515757.0,12.30255,3043
34,2023-11-10,11.9,12.4,11.68,12.22,614633.0,12.19792,3888
35,2023-11-13,12.06,12.06,10.8,11.56,561888.0,11.42524,3648
