,date,open,high,low,close,volume,average,barCount
0,2023-10-06,92.37,96.62,91.79,95.81,725258.0,94.866,4928
1,2023-10-09,94.72,95.1,93.41,94.72,295083.0,94.397,2366
2,2023-10-10,96.97,97.38,96.12,96.77,425872.0,96.806,3598
3,2023-10-11,97.41,97.82,96.62,97.23,389575.0,97.112,2521
4,2023-10-12,96.93,96.93,94.92,95.78,351618.0,95.839,2688
5,2023-10-13,95.88,96.02,93.88,94.33,338238.0,94.769,2440
6,2023-10-16,95.37,96.1,94.49,95.05,347781.0,95.149,2808
7,2023-10-17,94.35,96.19,94.04,94.97,448638.0,95.161,3612
8,2023-10-18,93.54,93.92,92.69,93.1,959446.0,93.392,6454
9,2023-10-19,92.14,92.99,90.0,90.17,953447.0,91.075,7256
10,2023-10-20,92.22,97.53,92.22,96.49,1678132.0,95.888,11598
11,2023-10-23,95.51,97.69,95.44,96.03,886798.0,96.52,6626
12,2023-10-24,95.9,97.05,95.27,96.0,998112.0,96.219,6870
13,2023-10-25,95.59,97.37,94.77,97.09,655445.0,96.546,5323
14,2023-10-26,97.4,97.59,94.29,95.28,784436.0,95.698,5787
15,2023-10-27,94.79,94.84,92.17,92.41,561198.0,92.975,4432
16,2023-10-30,93.63,93.69,90.55,91.23,1140407.0,91.401,8085
17,2023-10-31,91.12,92.68,90.68,91.65,578056.0,92.016,4695
18,2023-11-01,92.05,92.99,90.71,92.92,660796.0,91.942,4464
19,2023-11-02,93.12,93.8,89.37,93.13,1368255.0,91.598,7424
20,2023-11-03,94.83,96.69,94.47,96.5,818221.0,96.298,5571
21,2023-11-06,96.18,97.76,96.04,97.1,608887.0,97.018,4959
22,2023-11-07,96.39,97.32,95.6,97.31,396449.0,96.745,3163
23,2023-11-08,97.46,97.73,96.62,96.92,534808.0,97.005,4406
24,2023-11-09,96.82,97.44,94.6,94.64,664356.0,96.21,5078
25,2023-11-10,95.12,96.66,94.68,96.66,323474.0,95.818,2258
26,2023-11-13,97.44,97.72,96.72,97.1,453251.0,97.131,3152
27,2023-11-14,99.26,101.3,99.0,100.63,565655.0,100.472,3873
28,2023-11-15,101.44,102.55,100.83,102.14,354308.0,101.837,2747
