,date,open,high,low,close,volume,average,barCount
0,2023-09-25,183.15,185.33,182.6,185.33,2078.0,183.899,17
1,2023-09-26,184.66,184.67,180.18,181.48,1617.0,182.327,14
2,2023-09-27,182.03,184.18,180.37,180.37,300.0,183.24,3
3,2023-09-28,181.0,183.55,179.97,180.64,2513.0,181.108,24
4,2023-09-29,180.3,182.76,179.61,182.23,2059.0,181.373,17
5,2023-10-02,183.07,183.07,176.51,178.27,1358.0,179.851,11
6,2023-10-03,176.51,176.51,171.37,172.24,5719.0,173.785,34
7,2023-10-04,172.01,172.78,169.2,171.46,2008.0,171.242,18
8,2023-10-05,169.75,172.98,167.94,170.8,3276.0,169.544,22
9,2023-10-06,167.31,175.0,162.5,172.67,7844.0,169.167,47
10,2023-10-09,170.64,182.38,170.64,176.43,2271.0,176.139,19
11,2023-10-10,178.11,188.02,178.11,178.17,7389.0,182.784,50
12,2023-10-11,180.55,182.1,176.08,179.09,1531.0,179.174,11
13,2023-10-12,178.54,178.54,177.49,177.77,800.0,177.778,5
14,2023-10-13,178.79,179.61,175.01,175.78,1021.0,178.787,5
15,2023-10-16,178.34,179.42,175.75,178.46,1442.0,178.69,7
16,2023-10-17,180.58,183.91,180.58,183.54,1100.0,182.198,8
17,2023-10-18,181.2,181.24,178.99,178.99,560.0,180.96,3
18,2023-10-19,180.37,181.21,175.91,176.26,1508.0,178.403,10
19,2023-10-20,178.32,178.32,176.51,176.51,1018.0,178.15,3
20,2023-10-23,177.49,178.59,176.21,178.0,2549.0,177.538,20
21,2023-10-24,180.0,184.78,179.75,183.51,5732.0,183.045,38
22,2023-10-25,186.12,186.12,183.01,183.55,1571.0,184.126,6
23,2023-10-26,185.26,185.26,182.18,184.0,1712.0,182.961,16
24,2023-10-27,183.01,183.5,179.25,179.25,1773.0,181.37,16
25,2023-10-30,194.99,194.99,181.83,185.83,2723.0,187.978,13
26,2023-10-31,187.0,188.48,184.51,187.99,2601.0,187.061,17
27,2023-11-01,187.47,194.62,186.08,194.62,7994.0,191.481,62
28,2023-11-02,197.36,198.49,194.47,196.36,11318.0,195.497,69
