,date,open,high,low,close,volume,average,barCount
0,2023-10-06,51.65,53.62,51.35,53.4,177640.0,52.976,1326
1,2023-10-09,52.99,53.54,52.31,53.54,130671.0,53.066,1000
2,2023-10-10,53.65,55.97,53.5,55.17,227165.0,55.263,1653
3,2023-10-11,55.35,55.73,54.38,54.96,114705.0,54.884,740
4,2023-10-12,54.98,55.41,53.9,54.27,131170.0,54.535,1053
5,2023-10-13,54.26,54.26,52.43,52.85,127417.0,53.059,1067
6,2023-10-16,53.24,54.66,53.22,53.7,131423.0,53.824,1011
7,2023-10-17,52.58,53.74,52.05,52.52,250164.0,52.857,1768
8,2023-10-18,51.24,52.58,50.78,51.55,180843.0,51.715,1286
9,2023-10-19,52.08,52.08,49.74,50.2,163182.0,50.525,1262
10,2023-10-20,50.1,50.41,49.35,49.9,180283.0,49.948,1204
11,2023-10-23,49.45,49.46,48.29,48.41,150026.0,48.726,1067
12,2023-10-24,48.89,49.31,47.65,48.34,300012.0,48.269,1942
13,2023-10-25,47.55,47.57,45.69,46.07,279467.0,46.294,2029
14,2023-10-26,46.47,47.16,45.36,46.59,394051.0,46.34,2692
15,2023-10-27,47.24,47.3,46.13,46.79,217877.0,46.823,1927
16,2023-10-30,46.51,46.61,44.68,44.9,175754.0,45.148,1193
17,2023-10-31,44.95,45.83,44.18,44.99,335182.0,45.204,2112
18,2023-11-01,44.74,45.21,43.59,45.16,333487.0,44.281,2415
19,2023-11-02,46.49,47.57,45.56,46.91,144460.0,46.855,1014
20,2023-11-03,47.73,50.76,47.73,50.16,280235.0,49.87,2055
21,2023-11-06,50.16,50.32,48.97,49.36,111179.0,49.413,895
22,2023-11-07,49.04,50.51,49.04,49.94,206061.0,50.011,1414
23,2023-11-08,49.98,50.24,49.04,49.56,79584.0,49.486,713
24,2023-11-09,50.0,50.21,47.9,48.1,184311.0,48.717,1528
25,2023-11-10,49.04,50.56,48.16,50.2,234893.0,49.664,1603
26,2023-11-13,49.4,50.33,48.94,50.18,174547.0,49.642,962
27,2023-11-14,51.67,53.67,51.67,53.6,309184.0,53.081,2007
28,2023-11-15,54.02,55.74,53.7,53.79,259779.0,54.583,1903
29,2023-11-16,53.15,53.37,51.15,52.57,521006.0,52.251,3837
30,2023-11-17,53.1,54.1,52.03,54.07,204573.0,53.47,1430
31,2023-11-20,54.29,55.97,54.11,55.72,201569.0,55.478,1527
32,2023-11-21,55.03,55.32,53.85,54.75,474755.0,54.5,1592
33,2023-11-22,55.42,56.24,54.94,55.11,353666.0,55.407,1202
34,2023-11-24,54.97,55.91,54.68,55.82,85865.0,55.523,676
35,2023-11-27,55.41,55.78,54.49,55.24,156467.0,55.346,1281
36,2023-11-28,55.25,56.16,54.76,55.28,232130.0,55.581,1321
37,2023-11-29,56.24,57.96,55.68,57.34,392601.0,57.343,2154
38,2023-11-30,58.41,58.81,56.5,58.71,745898.0,58.166,4340
39,2023-12-01,60.24,62.26,56.53,58.51,1022460.0,58.418,6725
40,2023-12-04,58.06,58.22,56.31,58.2,302044.0,57.231,2131
41,2023-12-05,57.59,57.81,56.36,56.69,224893.0,56.979,1591
42,2023-12-06,57.74,59.7,57.01,57.1,228398.0,58.382,1553
43,2023-12-07,57.46,58.08,57.02,57.21,152020.0,57.335,1145
44,2023-12-08,56.83,58.33,56.83,57.82,142712.0,57.693,1078
45,2023-12-11,58.27,62.07,58.09,61.44,293829.0,60.969,1807
46,2023-12-12,61.5,61.9,60.68,60.87,164197.0,61.12,1091
47,2023-12-13,61.0,62.2,59.76,61.8,206611.0,61.069,1637
48,2023-12-14,62.83,64.95,62.82,64.03,281014.0,64.14,1734
49,2023-12-15,64.68,65.37,63.66,64.07,284514.0,64.597,1580
50,2023-12-18,64.01,64.09,62.34,62.5,157579.0,62.793,1213
51,2023-12-19,62.94,63.89,62.56,63.15,297461.0,63.134,2240
52,2023-12-20,62.54,63.65,61.32,61.37,217927.0,62.547,1710
53,2023-12-21,62.54,63.0,61.85,62.71,95646.0,62.401,738
54,2023-12-22,63.1,63.62,62.5,62.66,104314.0,63.006,667
55,2023-12-26,63.14,63.76,62.72,63.13,123756.0,63.226,831
56,2023-12-27,63.6,63.6,62.28,62.71,103841.0,62.708,773
57,2023-12-28,62.52,63.0,62.14,62.46,122324.0,62.494,942
58,2023-12-29,62.21,62.61,61.04,61.29,144485.0,61.429,1145
59,2024-01-02,60.26,61.49,59.35,60.14,209947.0,60.21,1448
60,2024-01-03,57.59,58.07,56.2,56.71,352406.0,56.91,2399
61,2024-01-04,53.78,56.08,53.5,54.5,458971.0,54.989,3562
62,2024-01-05,54.5,56.2,54.01,55.07,267492.0,55.166,1658
63,2024-01-08,55.5,57.84,55.35,57.41,257402.0,57.073,1756
64,2024-01-09,56.76,58.77,56.5,57.88,179224.0,57.921,1403
65,2024-01-10,58.0,58.57,56.25,57.78,138441.0,57.617,974
66,2024-01-11,57.75,58.57,57.08,58.19,112870.0,57.974,820
67,2024-01-12,58.69,59.18,56.39,56.41,228654.0,57.136,1870
68,2024-01-16,55.79,56.12,54.7,55.0,246318.0,55.271,1788
69,2024-01-17,54.1,54.24,53.0,54.08,258802.0,53.57,2057
70,2024-01-18,55.29,55.8,54.37,55.25,200156.0,54.957,1586
71,2024-01-19,56.03,56.48,55.45,55.73,235126.0,55.873,1673
72,2024-01-22,56.39,57.88,56.28,57.0,250203.0,56.91,1920
73,2024-01-23,57.21,58.05,56.8,57.84,228848.0,57.63,1627
74,2024-01-24,58.25,58.43,56.95,56.98,129373.0,57.635,961
75,2024-01-25,58.26,58.26,56.28,56.35,94777.0,56.809,723
76,2024-01-26,55.86,56.05,54.18,54.77,228213.0,55.01,1662
77,2024-01-29,54.67,56.64,54.29,56.52,138261.0,55.648,997
78,2024-01-30,56.0,56.52,54.42,54.96,117418.0,55.1,806
79,2024-01-31,54.54,54.66,52.44,52.56,159152.0,53.32,1184
80,2024-02-01,53.05,53.23,51.52,51.92,303843.0,52.17,2490
81,2024-02-02,51.25,52.2,50.86,51.99,127919.0,51.756,934
82,2024-02-05,51.58,52.86,50.84,52.32,167312.0,51.973,1304
83,2024-02-06,52.15,53.14,51.93,53.13,108958.0,52.574,819
84,2024-02-07,53.8,53.97,52.58,53.27,100375.0,53.336,804
85,2024-02-08,53.14,55.73,53.14,54.65,126226.0,54.903,961
86,2024-02-09,54.76,56.26,54.63,55.28,220963.0,55.516,1744
87,2024-02-12,55.62,56.63,55.28,55.42,201363.0,55.995,1139
88,2024-02-13,52.83,53.64,51.51,52.25,232690.0,52.391,1727
89,2024-02-14,53.14,54.67,53.05,53.87,61807.0,53.915,450
