,date,open,high,low,close,volume,average,barCount
0,2023-10-06,128.61,131.95,128.61,130.62,184245.0,130.875,1422
1,2023-10-09,129.98,130.89,128.97,129.89,76610.0,129.85,539
2,2023-10-10,130.36,131.6,130.25,130.58,85481.0,130.828,650
3,2023-10-11,130.91,132.01,130.6,131.02,123483.0,131.204,934
4,2023-10-12,131.73,131.73,126.48,127.59,134577.0,127.757,933
5,2023-10-13,127.84,129.01,124.69,125.32,93919.0,126.028,751
6,2023-10-16,126.72,129.11,126.72,127.68,114286.0,128.037,984
7,2023-10-17,127.2,131.37,127.2,130.46,112002.0,130.146,843
8,2023-10-18,129.13,129.13,126.59,126.92,63233.0,127.282,508
9,2023-10-19,126.93,127.65,124.87,125.19,92585.0,126.261,731
10,2023-10-20,125.84,126.35,123.75,123.85,118419.0,124.496,975
11,2023-10-23,122.92,124.59,122.28,122.83,78582.0,123.465,599
12,2023-10-24,123.54,124.74,122.96,123.26,73868.0,123.677,582
13,2023-10-25,122.41,122.43,120.22,121.54,66558.0,121.248,541
14,2023-10-26,121.9,124.12,121.9,123.08,72420.0,123.373,550
15,2023-10-27,123.97,123.97,121.57,122.59,80466.0,122.476,585
16,2023-10-30,123.63,123.63,122.36,122.92,90030.0,122.996,686
17,2023-10-31,123.27,123.83,122.14,122.76,62340.0,122.706,510
18,2023-11-01,123.55,123.6,121.56,123.26,126597.0,122.703,864
19,2023-11-02,124.53,125.0,123.65,124.9,305112.0,124.381,2397
20,2023-11-03,127.06,129.16,126.43,127.98,142673.0,128.13,1064
21,2023-11-06,137.64,137.95,130.11,130.51,227993.0,131.452,1488
22,2023-11-07,130.39,131.97,129.78,130.15,134093.0,130.436,1028
23,2023-11-08,130.02,131.9,130.02,130.37,87427.0,130.708,774
24,2023-11-09,131.07,132.25,129.57,129.7,126788.0,130.816,858
25,2023-11-10,129.77,132.51,129.77,132.43,190354.0,131.253,1232
26,2023-11-13,131.44,131.75,129.99,130.56,82044.0,130.72,634
27,2023-11-14,133.46,136.75,133.25,134.68,258496.0,134.774,992
28,2023-11-15,134.27,135.65,133.96,134.92,337377.0,134.977,1538
29,2023-11-16,134.89,135.42,134.11,134.46,398241.0,134.521,843
30,2023-11-17,135.66,136.64,134.55,136.48,57784.0,136.218,483
31,2023-11-20,136.17,136.17,134.2,134.35,101967.0,135.083,639
32,2023-11-21,133.65,133.7,132.05,132.1,43669.0,132.675,365
33,2023-11-22,132.83,133.94,132.25,133.2,54742.0,133.181,336
34,2023-11-24,132.81,134.16,132.37,133.85,35851.0,133.584,277
