,date,open,high,low,close,volume,average,barCount
0,2023-09-25,34.16,34.33,34.0,34.21,1115378.0,34.2,7586
1,2023-09-26,33.94,34.23,33.86,34.02,1280940.0,34.049,8909
2,2023-09-27,34.14,34.4,33.61,33.9,1367004.0,33.934,8588
3,2023-09-28,33.92,34.24,33.73,33.86,1989107.0,33.953,11007
4,2023-09-29,34.28,34.39,33.14,33.69,2787977.0,33.599,16998
5,2023-10-02,33.55,33.87,32.94,33.11,1309280.0,33.217,9638
6,2023-10-03,32.92,33.11,32.6,32.81,1925275.0,32.877,8192
7,2023-10-04,32.94,33.47,32.52,33.45,1418253.0,33.056,9185
8,2023-10-05,33.28,33.7,33.26,33.6,985602.0,33.542,7590
9,2023-10-06,33.37,34.06,33.2,33.96,1902886.0,33.797,10589
10,2023-10-09,33.69,34.42,33.69,34.32,592179.0,34.223,4281
11,2023-10-10,34.16,34.74,34.11,34.38,907745.0,34.439,6273
12,2023-10-11,34.67,35.2,34.45,35.14,951077.0,34.911,6097
13,2023-10-12,35.03,35.2,34.63,34.81,748229.0,34.891,5245
14,2023-10-13,34.95,35.02,34.43,34.85,718574.0,34.776,5160
15,2023-10-16,34.9,35.11,34.5,34.92,939105.0,34.928,6338
16,2023-10-17,34.74,35.53,34.74,34.99,1400701.0,35.104,8314
17,2023-10-18,34.79,34.91,34.47,34.57,2235101.0,34.674,9653
18,2023-10-19,34.34,34.85,33.95,33.97,932610.0,34.333,7266
19,2023-10-20,34.02,34.34,33.69,33.69,1434525.0,33.972,9585
20,2023-10-23,33.28,33.4,32.73,32.94,2120211.0,33.059,13680
21,2023-10-24,33.06,33.58,33.06,33.4,1359382.0,33.363,9522
22,2023-10-25,33.07,33.3,32.64,32.7,1441428.0,32.897,9187
23,2023-10-26,32.7,32.74,31.75,32.1,2702689.0,32.124,17717
24,2023-10-27,32.15,32.2,31.36,31.49,2690523.0,31.612,17999
25,2023-10-30,31.62,32.22,31.51,32.2,2591798.0,31.904,14470
26,2023-10-31,32.3,32.75,32.08,32.74,2338897.0,32.488,14590
27,2023-11-01,32.71,32.92,32.4,32.92,1490665.0,32.726,10149
28,2023-11-02,33.43,33.82,33.34,33.49,1521293.0,33.605,10497
29,2023-11-03,33.89,35.54,33.89,35.41,2251994.0,35.05,14901
30,2023-11-06,35.26,35.39,34.84,35.07,1501818.0,35.044,10540
31,2023-11-07,35.15,35.22,34.58,34.67,2045022.0,34.803,11141
32,2023-11-08,34.86,35.19,34.79,34.86,1597190.0,34.926,9379
33,2023-11-09,34.97,35.07,34.47,34.48,1021272.0,34.704,6985
34,2023-11-10,34.72,35.11,34.46,34.9,1615403.0,34.904,10313
35,2023-11-13,34.66,34.85,34.43,34.81,844541.0,34.722,5908
36,2023-11-14,35.9,37.13,35.68,36.61,2052069.0,36.592,12478
37,2023-11-15,36.55,36.98,36.14,36.33,1435846.0,36.391,8337
38,2023-11-16,36.53,36.65,36.21,36.3,690625.0,36.435,4896
39,2023-11-17,36.48,36.53,35.98,36.12,836498.0,36.152,6145
40,2023-11-20,35.96,36.14,35.83,36.09,2518025.0,36.02,13338
41,2023-11-21,36.01,36.21,35.73,35.82,961465.0,35.93,6979
42,2023-11-22,36.27,36.27,35.81,35.96,1213394.0,35.959,8411
43,2023-11-24,35.87,36.16,35.81,36.13,302772.0,36.062,2355
44,2023-11-27,36.05,36.41,35.94,36.01,1873415.0,36.159,10792
45,2023-11-28,35.88,36.26,35.7,36.04,1551242.0,36.026,8842
46,2023-11-29,36.29,36.46,35.73,35.79,1186576.0,36.007,8073
47,2023-11-30,35.75,36.31,35.67,36.27,2242783.0,36.14,14058
