,date,open,high,low,close,volume,average,barCount
0,2023-10-06,243.35,247.2,240.01,245.13,71061.0,245.02,509
1,2023-10-09,245.98,253.0,245.76,250.52,110030.0,250.513,824
2,2023-10-10,249.76,255.66,249.76,253.14,60748.0,252.413,460
3,2023-10-11,251.0,255.27,247.39,250.41,70028.0,250.441,568
4,2023-10-12,235.01,235.75,218.17,223.49,360132.0,225.45,2596
5,2023-10-13,224.42,229.59,221.6,223.59,134087.0,223.824,1052
6,2023-10-16,227.42,230.98,222.0,227.9,90390.0,227.583,770
7,2023-10-17,227.05,240.57,225.59,239.83,104383.0,236.457,842
8,2023-10-18,239.71,239.71,228.56,229.34,91479.0,232.147,754
9,2023-10-19,229.78,230.44,223.45,225.08,88123.0,225.749,732
10,2023-10-20,224.04,225.34,218.37,219.51,86180.0,221.232,623
11,2023-10-23,217.36,223.0,216.68,218.03,50899.0,219.441,418
12,2023-10-24,220.19,226.48,218.01,218.27,64138.0,221.734,525
13,2023-10-25,218.13,222.45,218.13,220.07,69172.0,220.085,559
14,2023-10-26,218.26,224.32,216.75,220.39,55438.0,220.696,460
15,2023-10-27,220.73,222.95,218.63,220.37,57490.0,220.1,428
16,2023-10-30,224.3,226.0,219.36,221.65,60203.0,221.766,460
17,2023-10-31,220.15,221.71,216.5,219.96,50136.0,219.701,403
18,2023-11-01,219.71,224.25,217.62,223.4,80924.0,222.817,709
19,2023-11-02,222.72,237.71,216.83,218.01,210714.0,224.943,1556
20,2023-11-03,220.84,227.29,215.28,219.81,101628.0,219.998,813
21,2023-11-06,220.18,222.44,216.14,218.2,52500.0,218.051,397
22,2023-11-07,215.69,215.69,205.33,207.03,151852.0,207.658,1219
23,2023-11-08,221.3,227.12,216.07,222.43,563464.0,222.946,4482
24,2023-11-09,224.06,226.82,219.16,219.5,546613.0,222.204,4638
25,2023-11-10,223.2,229.45,219.09,223.34,257746.0,222.794,2121
26,2023-11-13,225.0,230.26,223.22,227.37,147502.0,227.881,1166
27,2023-11-14,233.77,246.8,233.77,243.62,205420.0,242.775,1626
28,2023-11-15,242.99,247.91,241.09,242.84,102496.0,244.627,798
29,2023-11-16,242.09,251.91,242.09,243.73,130591.0,246.199,957
