,date,open,high,low,close,volume,average,barCount
0,2023-10-06,88.12,91.11,88.0,90.57,1683192.0,90.271,11798
1,2023-10-09,88.8,89.88,88.36,89.18,1466852.0,89.256,9538
2,2023-10-10,89.3,90.86,89.26,89.79,1715462.0,90.216,11382
3,2023-10-11,90.97,91.09,88.79,89.29,1434166.0,89.652,9183
4,2023-10-12,89.5,89.61,87.61,87.95,1330712.0,88.389,8323
5,2023-10-13,88.03,88.82,86.25,87.56,1588543.0,87.078,10346
6,2023-10-16,88.01,88.3,85.08,87.25,1970663.0,87.329,12174
7,2023-10-17,86.85,89.1,86.85,88.11,1560695.0,88.284,10760
8,2023-10-18,87.37,87.74,86.02,87.25,2211502.0,87.011,12648
9,2023-10-19,86.74,87.12,83.05,83.38,1719227.0,84.752,10834
10,2023-10-20,83.23,83.52,81.31,82.36,1766997.0,82.218,12115
11,2023-10-23,82.36,83.58,81.57,82.82,1126554.0,82.826,6942
12,2023-10-24,83.46,84.56,83.45,84.0,847504.0,83.992,5903
13,2023-10-25,83.51,83.94,81.25,81.4,1125205.0,81.839,7583
14,2023-10-26,81.2,83.21,80.66,81.02,1341734.0,81.647,8031
15,2023-10-27,81.06,81.62,79.84,80.35,1027378.0,80.481,7263
16,2023-10-30,81.25,81.46,79.72,80.16,1778281.0,80.151,11738
17,2023-10-31,80.1,80.1,77.11,77.44,3980149.0,77.904,25683
18,2023-11-01,83.49,86.46,80.5,83.65,3825567.0,83.956,26222
19,2023-11-02,84.39,85.5,83.61,84.12,1777676.0,84.479,11044
20,2023-11-03,84.97,86.25,83.59,85.03,2241183.0,85.244,14881
21,2023-11-06,85.0,85.18,82.3,83.15,1202458.0,83.093,8178
22,2023-11-07,82.95,84.51,82.71,84.35,1493273.0,83.922,9574
23,2023-11-08,84.36,85.64,84.03,84.77,1209713.0,85.035,7682
24,2023-11-09,85.15,85.71,83.88,84.25,1323003.0,84.674,8621
25,2023-11-10,84.97,85.29,83.93,84.96,883079.0,84.708,6255
26,2023-11-13,84.52,86.66,84.23,85.72,1482282.0,85.806,9378
27,2023-11-14,87.4,88.91,87.0,87.68,1726987.0,88.258,11277
28,2023-11-15,87.68,88.05,86.53,86.97,968763.0,87.162,6032
29,2023-11-16,86.35,87.57,85.97,86.4,747343.0,86.561,5331
30,2023-11-17,86.52,87.52,85.84,86.84,1195705.0,86.592,7386
31,2023-11-20,86.84,88.75,86.21,88.32,1471646.0,87.878,7215
32,2023-11-21,87.9,88.28,87.85,87.96,1489757.0,88.106,7662
33,2023-11-22,88.95,90.41,88.18,90.2,1886808.0,89.786,10196
34,2023-11-24,90.25,92.16,90.25,91.14,1269401.0,91.451,6417
35,2023-11-27,91.31,91.55,90.06,90.51,1559658.0,90.716,9662
36,2023-11-28,90.31,91.79,90.31,90.63,2268370.0,90.996,15694
37,2023-11-29,90.81,93.44,90.78,92.27,2739399.0,92.483,17654
38,2023-11-30,89.28,92.44,89.28,92.0,2087614.0,91.507,14148
39,2023-12-01,91.63,92.85,91.22,92.7,2025463.0,92.129,13930
40,2023-12-04,90.67,91.25,88.58,89.86,2383804.0,89.734,16427
41,2023-12-05,89.46,91.01,89.11,90.73,1205358.0,90.343,7922
42,2023-12-06,92.01,92.53,90.37,90.57,1263019.0,91.129,8881
43,2023-12-07,90.8,91.06,89.45,90.8,1335590.0,90.404,8707
44,2023-12-08,90.68,92.27,90.53,92.09,991488.0,91.9,6595
45,2023-12-11,92.27,93.07,91.51,91.94,797804.0,92.211,4882
46,2023-12-12,92.1,93.29,91.79,93.23,791722.0,92.89,5695
47,2023-12-13,93.21,93.65,91.71,92.26,2425771.0,92.687,16538
48,2023-12-14,92.76,94.23,91.06,93.13,3098409.0,92.813,21718
49,2023-12-15,93.16,94.68,92.99,94.48,1990385.0,94.068,12549
50,2023-12-18,94.59,94.96,93.49,94.08,772519.0,94.072,6016
51,2023-12-19,94.76,96.23,94.25,94.76,1134621.0,95.178,7072
52,2023-12-20,94.2,94.67,91.45,91.67,1348650.0,92.893,9255
53,2023-12-21,92.24,92.39,90.79,91.8,1196055.0,91.435,7343
54,2023-12-22,91.9,92.3,91.16,91.58,814201.0,91.685,5480
55,2023-12-26,91.66,93.17,91.43,92.59,888498.0,92.575,6380
56,2023-12-27,92.7,93.57,92.26,93.16,591975.0,93.212,3558
57,2023-12-28,93.21,94.61,93.12,94.27,1480170.0,94.228,9562
58,2023-12-29,94.11,94.64,93.14,93.19,1534235.0,93.496,10733
59,2024-01-02,92.49,92.58,90.84,91.33,1151470.0,91.435,8362
60,2024-01-03,90.35,92.62,89.76,92.17,1408329.0,91.528,9094
61,2024-01-04,93.32,96.41,92.92,94.8,2535438.0,95.518,16017
62,2024-01-05,94.8,95.45,94.07,94.93,1501896.0,94.954,11283
63,2024-01-08,95.63,96.29,94.91,96.29,1119042.0,95.778,8431
64,2024-01-09,95.61,95.76,94.47,95.66,1091944.0,95.334,8136
65,2024-01-10,95.68,97.16,95.31,96.72,2053993.0,96.404,13336
66,2024-01-11,97.0,97.27,94.8,95.34,1224220.0,95.345,8799
67,2024-01-12,95.76,96.27,95.15,95.41,828666.0,95.553,5589
68,2024-01-16,95.0,95.47,94.19,95.46,699582.0,95.103,4840
69,2024-01-17,94.48,96.58,94.34,96.06,1182164.0,95.952,8677
70,2024-01-18,96.55,96.92,95.14,96.58,1158238.0,96.087,8798
71,2024-01-19,97.12,98.94,95.82,98.94,1616335.0,97.769,10540
72,2024-01-22,99.33,99.63,97.37,97.45,915271.0,98.064,6130
73,2024-01-23,97.42,97.5,95.2,95.31,1473519.0,95.755,8659
74,2024-01-24,96.12,98.8,95.85,98.08,1505609.0,97.87,9911
75,2024-01-25,99.03,100.05,98.49,99.98,1947766.0,99.659,11980
76,2024-01-26,100.29,100.5,99.32,100.31,1239062.0,99.919,7992
77,2024-01-29,100.11,101.33,99.57,101.21,1286595.0,100.595,7669
78,2024-01-30,101.54,101.9,100.18,101.6,1809348.0,101.178,11356
79,2024-01-31,100.95,102.21,100.37,100.4,1981651.0,101.372,11686
80,2024-02-01,100.78,101.66,98.0,100.55,1818520.0,99.465,11073
81,2024-02-02,101.01,103.81,101.01,103.13,1379770.0,102.992,9257
82,2024-02-05,102.72,103.41,102.03,103.0,1010794.0,102.909,6877
83,2024-02-06,103.25,104.84,102.82,104.47,1340457.0,103.862,8774
84,2024-02-07,105.0,106.53,104.17,105.9,2174950.0,105.588,13172
85,2024-02-08,104.56,108.96,103.81,107.41,1866292.0,107.328,12858
86,2024-02-09,106.76,110.23,106.16,109.93,2447023.0,108.854,14778
87,2024-02-12,109.85,111.73,108.86,108.88,1951538.0,110.05,13247
88,2024-02-13,106.9,111.15,106.9,109.87,2249996.0,109.482,14752
89,2024-02-14,110.4,111.95,110.4,111.86,688431.0,111.392,4230
