,date,open,high,low,close,volume,average,barCount
0,2023-10-06,96.98,99.82,96.34,98.75,110188.0,98.546,969
1,2023-10-09,96.92,101.89,96.92,100.99,109506.0,100.486,881
2,2023-10-10,101.64,103.58,101.11,102.83,58855.0,102.904,546
3,2023-10-11,103.17,103.38,100.74,101.85,44335.0,101.76,389
4,2023-10-12,102.28,102.9,98.51,99.05,40829.0,99.636,354
5,2023-10-13,99.11,99.65,95.74,95.9,45803.0,97.2,385
6,2023-10-16,96.55,99.89,96.53,99.1,63545.0,99.095,521
7,2023-10-17,100.12,103.12,100.04,102.13,73852.0,102.024,577
8,2023-10-18,100.37,100.37,96.79,96.87,88266.0,98.16,783
9,2023-10-19,97.1,98.05,92.9,93.41,98549.0,94.852,813
10,2023-10-20,94.86,97.48,93.74,94.52,128377.0,95.044,1015
11,2023-10-23,94.52,95.61,93.49,94.14,120890.0,94.706,950
12,2023-10-24,95.05,95.39,92.15,92.48,98080.0,93.202,725
13,2023-10-25,91.64,92.15,89.22,89.7,330185.0,89.906,2391
14,2023-10-26,89.7,90.19,86.93,87.99,311978.0,88.367,2405
15,2023-10-27,98.0,104.94,95.75,102.26,745716.0,101.006,5358
16,2023-10-30,105.23,111.79,104.1,110.89,391735.0,109.003,2954
17,2023-10-31,111.72,112.08,107.91,108.88,185549.0,109.627,1419
18,2023-11-01,109.25,114.83,108.64,114.39,206511.0,111.959,1617
19,2023-11-02,115.21,117.54,113.98,117.41,281905.0,116.652,1702
20,2023-11-03,119.0,121.85,117.41,120.0,473409.0,120.442,2207
21,2023-11-06,119.87,119.87,116.34,118.31,130967.0,117.888,1015
22,2023-11-07,116.61,119.24,115.79,116.89,119753.0,117.136,1036
23,2023-11-08,116.89,118.29,114.68,116.47,71027.0,116.071,633
24,2023-11-09,117.25,120.47,114.1,114.68,69444.0,115.085,618
25,2023-11-10,115.82,117.08,114.45,115.63,43681.0,115.855,373
26,2023-11-13,114.61,116.95,114.5,116.5,42944.0,116.363,368
27,2023-11-14,119.83,122.14,119.31,121.24,87302.0,121.171,676
28,2023-11-15,121.01,124.22,121.01,122.14,76636.0,122.254,485
29,2023-11-16,121.69,122.63,119.2,121.16,86750.0,120.715,606
30,2023-11-17,122.29,122.65,119.9,121.0,120877.0,121.106,739
31,2023-11-20,121.07,122.2,120.18,121.46,84493.0,121.331,628
32,2023-11-21,120.44,121.71,119.58,121.42,76432.0,121.103,594
33,2023-11-22,121.89,123.99,121.89,122.24,152368.0,123.147,977
34,2023-11-24,121.59,123.57,121.39,121.65,23087.0,122.178,175
35,2023-11-27,120.88,121.59,119.25,121.21,97318.0,120.398,742
36,2023-11-28,121.1,122.25,117.9,119.26,100058.0,119.475,835
37,2023-11-29,119.9,121.19,116.66,117.46,101323.0,118.339,877
38,2023-11-30,117.42,119.23,114.13,119.19,88664.0,116.931,729
39,2023-12-01,118.25,124.92,117.85,124.72,140550.0,122.989,1141
40,2023-12-04,123.7,125.48,122.45,124.73,127597.0,124.22,937
41,2023-12-05,122.5,122.5,111.01,112.96,462888.0,113.717,3115
42,2023-12-06,113.23,113.23,107.41,107.88,246959.0,108.729,1900
43,2023-12-07,107.89,108.74,105.37,107.66,278281.0,107.431,1977
44,2023-12-08,107.36,110.69,106.9,107.76,81170.0,108.025,676
45,2023-12-11,107.14,109.69,106.36,108.64,95129.0,108.336,829
46,2023-12-12,108.29,110.11,107.4,108.95,97380.0,108.909,756
47,2023-12-13,108.58,110.07,105.68,109.74,110757.0,107.975,875
48,2023-12-14,110.46,114.02,110.46,113.11,140618.0,112.714,984
49,2023-12-15,113.88,116.51,111.48,114.17,211155.0,114.32,1358
50,2023-12-18,115.0,115.49,113.58,114.32,72037.0,114.565,565
51,2023-12-19,114.72,116.99,113.91,116.34,89864.0,116.391,570
52,2023-12-20,115.31,119.83,114.15,117.3,102142.0,117.981,689
53,2023-12-21,118.47,119.75,117.33,118.92,51007.0,118.792,413
54,2023-12-22,119.88,121.34,118.95,119.18,59687.0,119.703,527
55,2023-12-26,119.49,122.89,119.32,122.15,74676.0,121.46,565
56,2023-12-27,122.52,123.9,121.89,122.45,109054.0,123.059,753
57,2023-12-28,122.37,122.73,120.88,122.0,34852.0,121.798,294
58,2023-12-29,122.17,122.72,119.5,120.21,50207.0,120.574,362
59,2024-01-02,119.62,121.69,119.32,121.06,185602.0,120.994,1307
60,2024-01-03,120.07,120.07,116.02,116.42,104943.0,117.683,895
61,2024-01-04,116.86,118.5,116.46,116.53,106010.0,117.006,820
62,2024-01-05,115.97,117.4,115.05,115.56,63895.0,115.936,558
63,2024-01-08,115.6,118.65,115.27,118.64,43983.0,117.35,318
64,2024-01-09,116.73,118.63,114.65,117.62,66526.0,117.433,507
65,2024-01-10,118.05,118.69,115.91,118.69,48488.0,117.824,330
66,2024-01-11,118.73,119.18,116.07,117.87,48671.0,117.239,357
67,2024-01-12,118.38,119.53,116.33,117.95,58082.0,117.536,407
68,2024-01-16,116.59,117.38,115.48,116.13,73057.0,116.415,571
69,2024-01-17,114.51,115.61,113.1,115.37,37649.0,114.778,302
70,2024-01-18,116.52,117.01,115.21,116.13,27293.0,116.278,216
71,2024-01-19,117.33,119.24,115.04,118.39,42247.0,117.418,306
72,2024-01-22,119.77,123.49,119.77,123.36,58193.0,122.326,427
73,2024-01-23,123.9,124.79,120.32,120.66,108007.0,121.27,857
74,2024-01-24,122.14,122.14,118.95,119.1,66085.0,120.257,472
75,2024-01-25,120.7,121.37,119.16,120.21,62663.0,120.095,515
76,2024-01-26,121.23,121.23,119.19,121.05,47387.0,120.122,399
77,2024-01-29,121.86,123.63,120.05,123.31,38465.0,122.385,283
78,2024-01-30,122.17,123.01,119.85,122.4,64687.0,122.28,426
79,2024-01-31,122.4,123.64,118.59,119.13,96773.0,121.125,705
80,2024-02-01,119.35,121.21,115.25,120.98,112783.0,119.077,821
81,2024-02-02,120.21,128.8,117.41,128.35,194755.0,125.85,1321
82,2024-02-05,129.25,132.4,126.38,128.07,202565.0,128.632,1455
83,2024-02-06,130.0,144.0,129.04,138.58,361046.0,138.896,2584
84,2024-02-07,143.85,146.24,139.63,140.31,228889.0,142.945,1425
85,2024-02-08,140.26,140.73,136.3,139.81,124376.0,138.59,921
86,2024-02-09,141.02,145.06,139.29,143.81,217326.0,142.875,1319
87,2024-02-12,143.81,145.1,142.01,144.43,114505.0,143.928,713
88,2024-02-13,139.16,143.74,137.96,139.34,159220.0,140.07,1288
89,2024-02-14,141.09,141.64,139.75,140.62,13232.0,141.011,112
