,date,open,high,low,close,volume,average,barCount
0,2023-09-25,12.2,12.61,12.17,12.56,374111.0,12.506,2110
1,2023-09-26,12.43,12.57,12.41,12.54,552498.0,12.508,2573
2,2023-09-27,12.73,13.36,12.73,13.23,880898.0,13.231,4398
3,2023-09-28,13.21,13.79,12.85,13.11,1592185.0,13.278,8207
4,2023-09-29,13.04,13.04,12.55,12.6,753347.0,12.662,4579
5,2023-10-02,12.61,12.68,12.12,12.25,821945.0,12.245,4712
6,2023-10-03,12.17,12.39,12.07,12.31,641022.0,12.269,3560
7,2023-10-04,12.11,12.21,11.92,11.95,528867.0,12.02,2896
8,2023-10-05,11.81,12.14,11.73,12.11,498552.0,12.069,2987
9,2023-10-06,12.15,12.44,12.09,12.38,545744.0,12.324,2882
10,2023-10-09,12.64,12.99,12.54,12.91,459286.0,12.891,2683
11,2023-10-10,12.9,13.12,12.88,13.02,462278.0,13.037,2589
12,2023-10-11,12.9,13.17,12.87,13.11,406283.0,13.071,2301
13,2023-10-12,13.24,13.24,12.85,12.95,649182.0,12.98,3197
14,2023-10-13,13.18,13.28,12.93,12.95,389380.0,13.038,2209
15,2023-10-16,13.06,13.17,12.93,12.96,441229.0,13.039,2295
16,2023-10-17,12.93,13.18,12.93,12.98,355998.0,13.043,2149
17,2023-10-18,13.04,13.11,12.97,13.0,404790.0,13.031,2508
18,2023-10-19,12.9,13.0,12.71,12.84,529427.0,12.864,3131
19,2023-10-20,12.81,12.87,12.51,12.71,436976.0,12.718,2470
20,2023-10-23,12.65,12.69,12.42,12.46,635350.0,12.524,3795
21,2023-10-24,12.53,12.86,12.5,12.81,559015.0,12.76,3195
22,2023-10-25,12.74,12.86,12.71,12.78,475914.0,12.787,2935
23,2023-10-26,12.71,12.81,12.53,12.71,568123.0,12.679,3154
24,2023-10-27,12.76,12.82,12.45,12.51,444552.0,12.525,2378
25,2023-10-30,12.62,12.75,12.41,12.58,478550.0,12.536,2443
26,2023-10-31,12.51,12.75,12.47,12.67,462357.0,12.637,2543
27,2023-11-01,12.73,13.2,12.57,13.18,3527370.0,13.045,10863
28,2023-11-02,13.26,14.05,13.13,13.78,1264087.0,13.748,7356
29,2023-11-03,13.89,14.5,13.87,14.26,969576.0,14.214,4910
30,2023-11-06,14.15,14.27,13.82,13.95,590073.0,13.928,3578
31,2023-11-07,13.85,13.85,13.61,13.72,839742.0,13.71,3569
32,2023-11-08,13.59,13.71,13.15,13.36,1020190.0,13.413,4806
33,2023-11-09,13.52,13.6,13.32,13.57,536149.0,13.519,2231
34,2023-11-10,13.77,13.86,13.59,13.76,544071.0,13.724,2556
35,2023-11-13,13.73,13.87,13.65,13.81,641742.0,13.813,2973
36,2023-11-14,13.99,14.19,13.94,14.14,659247.0,14.063,4171
37,2023-11-15,14.05,14.27,14.05,14.2,872948.0,14.174,3810
38,2023-11-16,14.13,14.16,13.89,14.08,2122637.0,14.028,9437
39,2023-11-17,14.21,14.58,14.09,14.4,1436114.0,14.421,5882
40,2023-11-20,14.65,14.75,14.48,14.49,1342639.0,14.61,5918
41,2023-11-21,14.4,14.54,14.25,14.47,763008.0,14.453,3617
42,2023-11-22,14.25,14.42,13.95,14.38,777235.0,14.296,3651
43,2023-11-24,14.44,14.63,14.38,14.61,442424.0,14.52,1859
44,2023-11-27,14.56,14.6,14.46,14.57,894278.0,14.552,3485
45,2023-11-28,14.61,14.61,14.04,14.06,932980.0,14.243,4496
46,2023-11-29,14.17,14.36,13.95,14.33,906271.0,14.21,3993
47,2023-11-30,14.47,14.76,14.35,14.49,908736.0,14.55,4309
48,2023-12-01,14.43,14.65,14.36,14.52,642985.0,14.543,3567
49,2023-12-04,14.53,14.93,14.33,14.73,1103456.0,14.727,5412
50,2023-12-05,14.73,14.74,14.48,14.55,945898.0,14.567,4288
51,2023-12-06,14.47,14.6,14.14,14.24,990172.0,14.299,4946
52,2023-12-07,14.34,14.51,14.23,14.42,1368362.0,14.392,7412
53,2023-12-08,14.46,14.68,14.44,14.6,762800.0,14.565,3952
54,2023-12-11,14.75,14.95,14.61,14.82,1309218.0,14.801,5544
55,2023-12-12,14.74,14.8,14.63,14.73,979082.0,14.725,5118
56,2023-12-13,14.73,14.8,14.53,14.72,1287898.0,14.68,6044
57,2023-12-14,14.95,15.0,14.75,14.94,1219035.0,14.884,6009
58,2023-12-15,14.97,15.15,14.81,15.01,2318004.0,14.996,6633
59,2023-12-18,15.05,15.47,15.05,15.46,1178003.0,15.358,4524
60,2023-12-19,15.48,16.02,15.48,16.0,1340659.0,15.82,4863
61,2023-12-20,15.95,16.04,15.23,15.31,1271802.0,15.449,6821
62,2023-12-21,15.36,15.55,15.33,15.5,550124.0,15.461,2828
63,2023-12-22,15.6,15.83,15.5,15.51,608779.0,15.645,3323
64,2023-12-26,15.72,15.88,15.6,15.76,363326.0,15.762,1893
65,2023-12-27,15.8,15.88,15.7,15.75,340506.0,15.771,2114
66,2023-12-28,15.7,15.72,15.44,15.49,425368.0,15.53,2487
67,2023-12-29,15.58,15.58,15.33,15.4,457843.0,15.428,2549
68,2024-01-02,15.45,15.53,15.03,15.18,753472.0,15.213,3451
69,2024-01-03,15.13,15.53,15.06,15.24,827088.0,15.361,3945
70,2024-01-04,15.44,15.55,15.1,15.1,799603.0,15.256,4031
71,2024-01-05,15.12,15.4,15.12,15.3,629097.0,15.328,2841
72,2024-01-08,15.05,15.05,14.59,15.01,677454.0,14.871,3823
73,2024-01-09,14.92,15.02,14.68,14.99,725044.0,14.899,3907
74,2024-01-10,14.94,14.97,14.58,14.65,594568.0,14.753,3230
75,2024-01-11,14.71,14.78,14.38,14.52,457289.0,14.525,2554
76,2024-01-12,14.7,14.8,14.49,14.65,396761.0,14.602,2364
77,2024-01-16,14.63,15.01,14.57,15.0,1165379.0,14.908,4571
78,2024-01-17,14.74,15.0,14.69,14.92,854196.0,14.909,3033
79,2024-01-18,14.97,15.17,14.71,14.98,650563.0,14.924,2734
80,2024-01-19,15.04,15.26,14.93,15.26,614916.0,15.14,3348
