,date,open,high,low,close,volume,average,barCount
0,2023-10-06,24.82,25.99,24.67,25.65,5143935.0,25.56047,29079
1,2023-10-09,26.16,27.5,26.16,27.38,4271284.0,27.15483,23908
2,2023-10-10,27.41,27.525,27.04,27.13,2305705.0,27.25652,13487
3,2023-10-11,26.5,27.21,26.46,27.15,1954364.0,26.93705,10881
4,2023-10-12,27.33,27.6,26.97,27.34,3856831.0,27.33535,20613
5,2023-10-13,27.78,27.99,27.38,27.83,3354685.0,27.76826,18386
6,2023-10-16,27.84,27.95,27.19,27.79,2069126.0,27.55291,12448
7,2023-10-17,27.78,28.845,27.7305,28.72,4805387.0,28.50028,27097
8,2023-10-18,28.91,29.01,28.2987,28.5,3063172.0,28.55632,18925
9,2023-10-19,28.41,29.0,28.21,28.36,3426430.0,28.54274,19379
10,2023-10-20,28.15,28.36,27.81,27.97,3847103.0,28.02624,24723
11,2023-10-23,27.65,28.2,27.37,27.86,3106658.0,27.80936,17313
12,2023-10-24,28.13,28.42,27.945,28.03,3112676.0,28.16437,19468
13,2023-10-25,28.11,28.28,27.645,28.12,3378446.0,27.9825,20509
14,2023-10-26,27.46,30.145,26.75,29.47,8610823.0,29.13764,47772
15,2023-10-27,29.62,29.74,28.51,28.89,6000226.0,28.95004,32647
16,2023-10-30,28.62,29.08,28.26,28.53,4020573.0,28.61772,23261
17,2023-10-31,28.84,29.69,28.49,29.44,4008249.0,29.27346,21957
18,2023-11-01,28.9,30.015,28.71,29.78,2983509.0,29.61424,17607
19,2023-11-02,29.78,30.44,29.3,30.43,2510595.0,29.98308,14701
20,2023-11-03,30.34,30.9,30.17,30.49,2298048.0,30.55185,12766
21,2023-11-06,30.08,30.17,28.3,28.96,3633390.0,29.03044,20703
22,2023-11-07,28.42,28.49,27.4349,27.74,3331466.0,27.79048,19178
23,2023-11-08,27.45,27.7,26.47,26.75,3003208.0,26.99278,16183
24,2023-11-09,26.9,26.97,26.085,26.19,4303613.0,26.3375,22953
25,2023-11-10,26.45,26.49,25.675,25.73,2708591.0,25.88573,13617
26,2023-11-13,26.07,26.665,25.74,26.32,2394153.0,26.28107,12544
27,2023-11-14,26.31,26.945,26.225,26.41,2704708.0,26.58375,12706
28,2023-11-15,26.59,27.29,26.49,26.85,2429266.0,26.93552,13373
29,2023-11-16,26.56,26.75,25.0501,25.52,5631263.0,25.63555,26847
30,2023-11-17,25.51,25.86,25.26,25.62,2508491.0,25.58887,14026
31,2023-11-20,25.65,25.665,25.17,25.22,3818683.0,25.3568,24791
32,2023-11-21,25.06,25.17,24.72,24.85,2914332.0,24.86531,17957
33,2023-11-22,24.42,25.155,24.2842,25.07,2243273.0,24.90822,12852
34,2023-11-24,24.71,25.215,24.66,25.13,1021954.0,25.06119,6497
35,2023-11-27,24.8,24.865,24.08,24.32,3575560.0,24.29498,18734
36,2023-11-28,24.25,24.3689,23.9,24.03,2447100.0,24.08006,12728
37,2023-11-29,24.15,24.27,23.64,23.66,3237603.0,23.8137,16897
38,2023-11-30,24.03,24.53,23.31,23.63,4565896.0,23.77199,23879
39,2023-12-01,23.52,24.48,23.37,23.88,2574197.0,23.99334,13515
40,2023-12-04,23.04,23.48,22.91,23.03,3649857.0,23.12449,19569
41,2023-12-05,23.19,23.42,22.53,22.54,3569300.0,22.87728,18715
42,2023-12-06,22.37,22.855,21.73,21.77,5197388.0,22.15135,27369
43,2023-12-07,21.71,21.92,20.88,21.0,6152735.0,21.23655,29242
44,2023-12-08,21.1,21.18,20.695,20.92,4837515.0,20.90914,23588
45,2023-12-11,20.15,21.28,20.13,21.19,5342883.0,20.90913,29101
46,2023-12-12,20.57,20.7,20.1,20.37,5747057.0,20.40066,33394
47,2023-12-13,20.41,21.09,20.34,21.05,5169398.0,20.73379,28827
48,2023-12-14,21.68,22.28,21.29,21.87,5972401.0,21.6934,29953
49,2023-12-15,21.93,22.215,21.48,21.99,5735362.0,21.95198,30365
50,2023-12-18,22.46,22.82,22.175,22.37,3831080.0,22.48928,21308
51,2023-12-19,22.33,22.51,21.81,22.5,2969447.0,22.16303,14633
52,2023-12-20,22.53,22.6701,21.695,21.71,2459680.0,22.16529,13608
53,2023-12-21,22.01,22.77,21.95,22.76,3178939.0,22.41188,16886
54,2023-12-22,22.79,23.02,22.62,22.78,3000355.0,22.81798,15749
55,2023-12-26,22.78,23.12,22.625,22.94,3348944.0,22.92225,17147
56,2023-12-27,23.19,23.26,22.64,22.75,2863071.0,22.91923,16340
57,2023-12-28,22.8,23.175,22.685,22.93,2815039.0,23.01035,13996
58,2023-12-29,22.87,23.035,22.6103,22.68,2862274.0,22.76658,16010
59,2024-01-02,23.0,23.12,22.485,22.62,2394726.0,22.77271,13339
60,2024-01-03,22.24,23.055,22.17,22.77,3563137.0,22.77314,19564
61,2024-01-04,23.27,23.28,22.33,22.39,4401862.0,22.58619,18798
62,2024-01-05,22.38,23.25,22.22,23.25,6383101.0,22.87859,30245
63,2024-01-08,22.46,23.26,22.05,23.01,6220173.0,22.68539,33090
64,2024-01-09,23.31,23.76,22.815,23.44,4780464.0,23.31984,26362
65,2024-01-10,22.94,23.0,22.47,22.89,4392654.0,22.80278,23009
66,2024-01-11,22.99,23.53,22.66,22.75,4401747.0,23.01752,25192
67,2024-01-12,23.35,23.7,22.91,23.45,3688498.0,23.27238,18713
68,2024-01-16,22.85,23.31,22.0,22.02,3987180.0,22.45641,23158
69,2024-01-17,21.75,22.445,21.65,22.11,3549835.0,22.16851,20245
70,2024-01-18,22.24,22.34,21.645,21.9,3551803.0,21.86814,18429
71,2024-01-19,21.63,21.95,21.32,21.9,3761044.0,21.66934,19676
72,2024-01-22,21.56,21.905,21.415,21.64,2928642.0,21.68103,15579
73,2024-01-23,21.74,22.065,21.58,21.92,2487672.0,21.82318,13749
74,2024-01-24,22.23,22.71,22.15,22.54,2075741.0,22.51413,12034
75,2024-01-25,22.8,22.875,22.2,22.8,3366831.0,22.59537,18236
76,2024-01-26,22.79,22.8794,22.275,22.68,4276812.0,22.58989,20064
77,2024-01-29,22.58,22.63,22.055,22.58,3222167.0,22.31783,15227
78,2024-01-30,22.31,23.15,22.225,22.93,2581729.0,22.80036,15046
79,2024-01-31,22.9,23.01,22.34,22.34,2608130.0,22.63864,14505
80,2024-02-01,22.48,22.61,21.8394,22.16,2653625.0,22.14507,15909
81,2024-02-02,22.09,22.1975,21.66,21.89,2054022.0,21.95014,11274
82,2024-02-05,21.71,21.71,21.11,21.12,2290510.0,21.31343,12039
83,2024-02-06,21.13,21.875,21.02,21.54,2403919.0,21.49888,13910
84,2024-02-07,21.66,21.74,21.225,21.36,2291693.0,21.36004,12990
85,2024-02-08,21.17,21.785,21.16,21.63,3487589.0,21.60221,17217
86,2024-02-09,21.5,21.7,20.955,21.14,3439197.0,21.21801,16324
87,2024-02-12,21.2,22.005,21.15,21.5,3915393.0,21.6706,18590
88,2024-02-13,21.16,21.28,20.77,21.0,4608398.0,21.00169,24979
89,2024-02-14,20.89,21.135,20.56,21.035,2361795.0,20.89605,10224
