,date,open,high,low,close,volume,average,barCount
0,2023-09-25,12.73,12.8,12.24,12.4,656894.0,12.48477,3998
1,2023-09-26,12.35,12.6,12.31,12.53,687042.0,12.44937,4180
2,2023-09-27,12.55,13.02,12.48,12.98,816939.0,12.8565,4952
3,2023-09-28,12.99,13.37,12.95,13.05,606952.0,13.10141,3928
4,2023-09-29,13.23,13.265,12.87,12.97,523525.0,13.04634,3425
5,2023-10-02,12.97,12.97,12.435,12.58,380768.0,12.63161,2625
6,2023-10-03,12.45,12.56,11.63,11.83,792080.0,11.9049,5274
7,2023-10-04,11.86,11.872,11.095,11.25,1895118.0,11.25464,9332
8,2023-10-05,11.28,11.45,10.525,11.15,1404405.0,10.91702,8438
9,2023-10-06,11.1,11.35,10.95,11.31,601151.0,11.24527,3515
10,2023-10-09,11.24,11.345,11.015,11.29,546665.0,11.23849,3371
11,2023-10-10,11.29,12.06,11.27,11.87,723589.0,11.86855,4381
12,2023-10-11,11.86,12.01,11.41,11.5,799461.0,11.61175,5291
13,2023-10-12,11.5,11.5,10.82,11.01,989836.0,11.04207,5840
14,2023-10-13,11.02,11.235,10.7203,11.21,813887.0,11.06599,4947
15,2023-10-16,12.17,12.17,10.31,11.53,1578612.0,11.33628,9317
16,2023-10-17,11.34,12.22,11.22,11.82,1378713.0,11.88102,8379
17,2023-10-18,11.74,12.22,11.57,11.81,615157.0,11.96531,4447
18,2023-10-19,11.81,12.11,11.65,11.85,773592.0,11.80212,4606
19,2023-10-20,12.14,12.5,11.86,12.25,1745511.0,12.21902,8165
20,2023-10-23,12.21,13.11,12.14,12.89,1317694.0,12.85973,7829
21,2023-10-24,13.02,13.11,12.63,12.82,540958.0,12.87792,3921
22,2023-10-25,10.5,10.56,10.02,10.1,9981520.0,10.29516,44233
23,2023-10-26,10.08,10.2,9.63,9.84,2099993.0,9.91256,13154
24,2023-10-27,10.09,10.15,9.44,9.55,2430136.0,9.66303,13671
25,2023-10-30,9.58,9.58,8.66,8.89,5003029.0,8.8977,24337
26,2023-10-31,8.97,9.46,8.96,9.18,2136627.0,9.21902,9486
27,2023-11-01,9.12,9.52,8.98,9.48,1536660.0,9.28208,9627
28,2023-11-02,9.57,9.965,9.47,9.83,1866699.0,9.76941,8907
29,2023-11-03,9.95,10.57,9.95,10.36,1707378.0,10.37803,8825
30,2023-11-06,10.36,10.46,10.22,10.31,1047078.0,10.31316,7017
31,2023-11-07,11.04,11.39,10.66,10.85,3333055.0,10.93986,15376
32,2023-11-08,10.83,10.93,10.24,10.57,1324232.0,10.54963,8150
33,2023-11-09,10.63,10.7,10.01,10.12,1090190.0,10.20775,5587
34,2023-11-10,10.22,10.23,9.89,10.2,605039.0,10.07981,3523
35,2023-11-13,10.19,10.51,9.94,9.94,1693370.0,10.15069,10054
36,2023-11-14,10.36,10.64,10.155,10.63,2445491.0,10.38475,15002
37,2023-11-15,10.63,11.28,10.62,11.2,1831993.0,11.09912,9934
38,2023-11-16,11.22,11.4,10.99,11.38,1258226.0,11.26892,8308
39,2023-11-17,11.5,11.65,10.91,11.0,1867920.0,11.27717,9304
40,2023-11-20,11.05,11.51,11.015,11.37,1234640.0,11.34519,8972
41,2023-11-21,11.32,11.49,10.965,11.46,1411615.0,11.35318,8912
42,2023-11-22,11.64,11.96,11.55,11.78,1027856.0,11.78666,6177
43,2023-11-24,11.72,11.98,11.72,11.87,318221.0,11.88599,2231
44,2023-11-27,11.83,12.0,11.81,11.95,644203.0,11.91862,4134
45,2023-11-28,11.88,11.97,11.46,11.71,938964.0,11.66844,6869
46,2023-11-29,11.82,12.23,11.76,11.94,942529.0,11.99732,6772
47,2023-11-30,12.0,12.155,11.78,11.87,1001186.0,11.90874,5010
48,2023-12-01,11.8,12.625,11.69,12.58,1110675.0,12.37064,7161
49,2023-12-04,12.51,12.85,12.49,12.75,1094571.0,12.66321,6752
50,2023-12-05,12.64,12.95,12.45,12.81,1391986.0,12.76688,8184
51,2023-12-06,12.93,13.005,12.47,12.52,982575.0,12.65291,5549
52,2023-12-07,12.51,12.66,12.3416,12.57,1015427.0,12.56416,5988
53,2023-12-08,12.46,12.87,12.445,12.71,757585.0,12.69379,4990
54,2023-12-11,12.74,12.77,12.49,12.66,840737.0,12.59258,5561
55,2023-12-12,12.64,12.69,12.4,12.61,622356.0,12.59246,4174
56,2023-12-13,12.6,13.47,12.545,13.4,1338908.0,13.10716,7840
57,2023-12-14,13.61,14.38,13.455,13.91,2261026.0,13.99281,12756
58,2023-12-15,13.98,14.01,13.33,13.43,1079037.0,13.62494,5428
59,2023-12-18,13.36,13.835,13.22,13.55,1008513.0,13.5991,6564
60,2023-12-19,13.94,14.5,13.49,14.46,1738295.0,14.27914,9647
61,2023-12-20,14.41,14.865,14.29,14.5,1935132.0,14.65337,10731
62,2023-12-21,14.78,15.04,14.65,15.03,1041086.0,14.83006,6308
63,2023-12-22,15.14,15.235,14.83,15.09,744711.0,15.01635,4233
64,2023-12-26,15.14,15.39,14.9701,15.34,930993.0,15.26047,5648
65,2023-12-27,15.35,15.42,15.11,15.31,985218.0,15.21279,4225
66,2023-12-28,15.2,15.48,15.12,15.36,678989.0,15.32015,4476
