,date,open,high,low,close,volume,average,barCount
0,2023-10-06,7.17,7.37,7.12,7.3,1239641.0,7.26703,6227
1,2023-10-09,7.2,7.74,7.18,7.29,3447018.0,7.45616,14359
2,2023-10-10,7.26,7.635,7.1891,7.46,1807858.0,7.44242,8814
3,2023-10-11,7.44,7.68,7.38,7.57,2094315.0,7.50309,10229
4,2023-10-12,7.56,7.705,7.23,7.42,2422192.0,7.4213,9160
5,2023-10-13,7.43,7.52,7.29,7.52,566754.0,7.4306,3154
6,2023-10-16,7.5,8.11,7.49,7.92,1997886.0,7.85995,8836
7,2023-10-17,7.88,8.06,7.7,7.84,1259002.0,7.82607,6737
8,2023-10-18,7.7,7.77,7.54,7.67,807573.0,7.66697,3787
9,2023-10-19,7.68,7.7,7.35,7.47,1296552.0,7.48485,6445
10,2023-10-20,7.52,7.63,7.415,7.5,980093.0,7.52455,5003
11,2023-10-23,7.45,7.53,7.23,7.24,1025525.0,7.33683,5935
12,2023-10-24,7.32,7.67,7.32,7.52,1327605.0,7.52053,6317
13,2023-10-25,7.47,7.69,7.35,7.36,890099.0,7.52043,4497
14,2023-10-26,7.36,7.5472,7.315,7.33,976326.0,7.39954,4951
15,2023-10-27,7.33,7.39,7.14,7.19,803082.0,7.22688,4541
16,2023-10-30,7.2,7.5033,7.2,7.35,850855.0,7.33192,4726
17,2023-10-31,7.3,7.48,7.21,7.34,871257.0,7.3582,4408
18,2023-11-01,7.31,7.4,6.9401,7.13,2024620.0,7.09869,9488
19,2023-11-02,7.51,8.16,7.51,7.88,2720380.0,7.77077,11440
20,2023-11-03,7.92,8.33,7.76,8.23,1683115.0,8.06758,7493
21,2023-11-06,8.25,8.3,7.96,8.29,1190822.0,8.16916,5623
22,2023-11-07,8.25,8.49,8.21,8.29,991542.0,8.37523,4486
23,2023-11-08,8.28,8.3,8.02,8.06,855630.0,8.14602,3429
24,2023-11-09,8.09,8.2,7.47,7.58,1164333.0,7.70745,5294
25,2023-11-10,7.6,7.78,7.55,7.74,807251.0,7.68365,3647
26,2023-11-13,7.75,7.85,7.5,7.82,706461.0,7.69319,3144
27,2023-11-14,8.03,8.25,7.99,8.17,821241.0,8.10954,3837
28,2023-11-15,8.22,8.56,8.15,8.16,1158007.0,8.33106,4559
29,2023-11-16,8.18,8.26,8.0602,8.16,681316.0,8.16176,3593
30,2023-11-17,8.23,8.685,8.19,8.6,2131579.0,8.46062,9204
31,2023-11-20,8.65,9.395,8.5,9.24,3396398.0,9.07343,15435
32,2023-11-21,9.22,10.05,8.69,8.74,6337451.0,9.36907,24542
33,2023-11-22,8.87,9.06,8.49,9.04,2582766.0,8.83373,11077
34,2023-11-24,9.05,9.59,9.03,9.17,1198608.0,9.30109,5332
35,2023-11-27,9.15,9.29,8.515,8.54,1869127.0,8.69979,7417
36,2023-11-28,8.53,8.7,8.28,8.69,1796824.0,8.51466,7441
37,2023-11-29,8.79,8.99,8.54,8.6,1525565.0,8.74239,5757
38,2023-11-30,8.76,9.31,8.6,8.64,1554793.0,8.81369,5927
39,2023-12-01,8.59,9.06,8.42,9.06,1786912.0,8.83962,7439
40,2023-12-04,8.99,9.125,8.675,8.82,2017378.0,8.87801,8484
41,2023-12-05,8.74,8.88,8.63,8.81,1183790.0,8.7677,4818
42,2023-12-06,8.85,9.0471,8.73,8.85,1404624.0,8.88112,6539
43,2023-12-07,8.8,8.87,8.655,8.77,1022576.0,8.77145,3556
44,2023-12-08,8.85,8.885,8.7,8.86,1017160.0,8.79616,4399
45,2023-12-11,8.72,8.76,8.53,8.61,1035542.0,8.63578,4298
46,2023-12-12,8.62,8.64,8.32,8.59,1088724.0,8.46264,4298
47,2023-12-13,8.56,8.755,8.275,8.75,1513048.0,8.5013,6255
48,2023-12-14,8.82,9.03,8.45,9.03,2669002.0,8.73691,12438
49,2023-12-15,9.09,9.53,8.92,9.39,3520844.0,9.28092,13032
50,2023-12-18,9.47,9.74,9.19,9.35,2871147.0,9.41383,12277
51,2023-12-19,9.42,9.72,9.41,9.49,2180904.0,9.56567,9018
52,2023-12-20,9.39,9.48,8.91,8.91,2118448.0,9.17352,8890
53,2023-12-21,9.02,9.24,8.8,9.24,1234733.0,9.07213,5324
54,2023-12-22,9.32,9.48,9.105,9.2,950925.0,9.25565,4207
55,2023-12-26,9.24,9.47,9.2,9.32,1242973.0,9.35814,4738
56,2023-12-27,9.37,9.52,9.26,9.29,1219103.0,9.34588,5155
57,2023-12-28,9.25,9.4,9.06,9.26,1151645.0,9.22017,4519
58,2023-12-29,9.22,9.3106,8.965,8.99,1384720.0,9.07497,4978
59,2024-01-02,8.86,8.98,8.65,8.74,1087877.0,8.78754,5629
