,date,open,high,low,close,volume,average,barCount
0,2023-09-25,33.6,33.72,33.34,33.54,238693.0,33.517,1602
1,2023-09-26,33.39,33.58,32.63,32.65,388714.0,33.03,2540
2,2023-09-27,32.64,32.91,32.17,32.35,307967.0,32.373,2106
3,2023-09-28,32.44,32.46,31.74,32.1,481060.0,32.04,2822
4,2023-09-29,32.38,32.48,31.95,32.37,628967.0,32.265,4027
5,2023-10-02,32.1,32.11,30.94,31.07,496042.0,31.157,3365
6,2023-10-03,30.85,31.48,30.53,31.33,663444.0,30.939,3433
7,2023-10-04,31.44,31.73,30.89,31.69,252128.0,31.398,1716
8,2023-10-05,31.76,31.92,31.54,31.72,321732.0,31.724,1976
9,2023-10-06,31.3,32.06,31.02,31.94,354235.0,31.741,2302
10,2023-10-09,31.85,32.28,31.81,32.04,292310.0,32.056,1847
11,2023-10-10,32.2,32.37,32.05,32.17,169529.0,32.192,1166
12,2023-10-11,32.27,32.75,32.09,32.74,176710.0,32.535,1229
13,2023-10-12,32.64,32.64,32.03,32.35,207165.0,32.293,1360
14,2023-10-13,32.68,32.77,32.32,32.73,137046.0,32.565,938
15,2023-10-16,32.82,33.47,32.65,33.14,320162.0,33.088,1875
16,2023-10-17,33.02,33.48,32.95,33.1,282769.0,33.124,1769
17,2023-10-18,32.91,32.97,32.39,32.68,192386.0,32.663,1365
18,2023-10-19,32.57,32.76,32.03,32.06,204847.0,32.289,1365
19,2023-10-20,32.16,32.29,31.45,31.5,282034.0,31.882,1816
20,2023-10-23,31.34,31.72,31.09,31.1,204206.0,31.321,1302
21,2023-10-24,31.5,31.6,31.28,31.41,195855.0,31.417,1401
22,2023-10-25,31.29,31.69,31.19,31.57,240090.0,31.443,1624
23,2023-10-26,31.88,32.27,31.85,32.15,214326.0,32.108,1468
24,2023-10-27,32.15,32.21,31.54,31.83,291021.0,31.822,2027
25,2023-10-30,32.05,32.35,31.67,32.19,311367.0,32.03,1989
26,2023-10-31,32.31,32.45,31.57,31.69,381904.0,31.798,2378
27,2023-11-01,32.84,34.06,32.56,33.72,829518.0,33.503,5471
28,2023-11-02,33.66,34.59,33.57,34.34,499516.0,34.248,3253
29,2023-11-03,34.94,35.41,34.81,35.04,348788.0,35.114,2433
