,date,open,high,low,close,volume,average,barCount
0,2023-09-25,35.21,35.92,35.04,35.73,133474.0,35.714,1044
1,2023-09-26,35.35,35.61,34.59,34.65,120608.0,34.877,870
2,2023-09-27,34.86,35.36,34.56,35.07,154087.0,35.021,1203
3,2023-09-28,35.2,35.75,35.15,35.57,142203.0,35.498,1048
4,2023-09-29,35.9,36.04,35.07,35.32,137912.0,35.373,933
5,2023-10-02,35.03,35.12,34.35,34.79,256356.0,34.627,1699
6,2023-10-03,34.27,35.02,34.2,34.49,252869.0,34.664,1713
7,2023-10-04,34.64,34.9,34.28,34.57,336425.0,34.577,1519
8,2023-10-05,34.43,34.6,33.44,33.72,159153.0,33.733,1111
9,2023-10-06,33.57,34.12,33.13,33.64,515801.0,33.691,2693
10,2023-10-09,33.21,33.5,32.82,33.05,163404.0,33.145,1148
11,2023-10-10,33.27,34.25,33.25,33.56,312799.0,33.792,1712
12,2023-10-11,33.49,34.1,33.38,34.06,192968.0,33.878,1380
13,2023-10-12,34.0,34.0,32.52,32.62,181075.0,32.927,1300
14,2023-10-13,32.83,33.37,32.64,32.91,151036.0,32.971,1063
15,2023-10-16,33.3,33.61,32.96,33.07,172281.0,33.183,1160
16,2023-10-17,32.69,33.93,32.69,33.69,479364.0,33.436,3646
17,2023-10-18,33.12,33.42,32.36,32.39,158982.0,32.599,1168
18,2023-10-19,32.08,32.89,31.96,32.18,207592.0,32.311,1589
19,2023-10-20,32.48,32.56,31.93,32.03,240984.0,32.226,1478
20,2023-10-23,31.78,32.25,31.64,31.75,233670.0,31.898,1831
21,2023-10-24,32.01,32.26,31.73,31.98,258864.0,32.03,1722
22,2023-10-25,31.65,31.87,31.21,31.3,210584.0,31.486,1544
23,2023-10-26,31.65,31.84,31.29,31.52,144225.0,31.563,1036
24,2023-10-27,31.68,31.68,31.0,31.18,143140.0,31.222,1076
25,2023-10-30,31.66,31.78,31.09,31.53,144039.0,31.417,1100
26,2023-10-31,31.63,31.76,31.35,31.62,105489.0,31.556,722
27,2023-11-01,31.44,31.55,30.88,31.45,196032.0,31.21,1511
28,2023-11-02,29.18,31.98,27.73,31.89,601504.0,31.144,4407
29,2023-11-03,32.73,34.11,32.31,33.97,380861.0,33.602,2613
30,2023-11-06,31.93,32.85,31.93,32.44,299004.0,32.392,1935
31,2023-11-07,32.25,32.85,31.82,32.51,416801.0,32.42,1536
32,2023-11-08,32.47,32.71,32.12,32.51,122289.0,32.365,928
33,2023-11-09,32.91,32.91,31.79,31.88,175264.0,32.18,1296
34,2023-11-10,31.97,32.77,31.72,32.65,142652.0,32.496,1115
35,2023-11-13,31.83,32.44,31.45,32.25,260680.0,32.159,1851
36,2023-11-14,33.57,34.38,33.35,33.86,310405.0,33.859,2185
37,2023-11-15,34.0,34.82,33.89,34.4,216296.0,34.387,1583
38,2023-11-16,34.21,34.38,33.64,34.1,277349.0,34.05,1662
39,2023-11-17,34.48,34.75,34.15,34.72,263333.0,34.536,1384
40,2023-11-20,36.42,36.42,34.94,35.19,238855.0,35.27,1473
41,2023-11-21,35.01,35.27,34.44,34.46,269931.0,34.771,1436
42,2023-11-22,34.7,34.82,34.11,34.22,208147.0,34.329,1335
43,2023-11-24,34.12,34.71,34.04,34.42,67452.0,34.471,453
44,2023-11-27,34.17,34.3,33.84,34.16,158093.0,34.105,1122
45,2023-11-28,33.98,34.46,33.86,34.17,161042.0,34.213,1085
46,2023-11-29,34.51,34.89,34.17,34.35,173286.0,34.403,1224
47,2023-11-30,34.44,34.67,33.98,34.35,176522.0,34.366,1146
48,2023-12-01,34.24,35.79,33.99,35.51,240478.0,35.342,1713
49,2023-12-04,35.32,35.79,35.21,35.38,151374.0,35.429,1006
50,2023-12-05,35.12,35.42,34.61,35.21,315465.0,35.079,2327
51,2023-12-06,35.53,36.28,35.2,35.5,205585.0,35.7,1519
52,2023-12-07,35.74,36.23,35.33,36.22,138425.0,36.022,1023
53,2023-12-08,36.28,36.78,36.16,36.42,120569.0,36.48,887
54,2023-12-11,36.24,36.76,36.14,36.55,129975.0,36.541,914
55,2023-12-12,36.7,36.88,36.13,36.17,158974.0,36.364,1145
56,2023-12-13,35.98,38.02,35.72,37.94,341325.0,37.264,2483
57,2023-12-14,38.58,40.06,38.58,39.36,234683.0,39.424,1819
58,2023-12-15,39.47,40.17,38.87,39.52,474566.0,39.54,1949
59,2023-12-18,39.75,39.83,39.26,39.32,298640.0,39.544,2109
60,2023-12-19,39.8,40.75,39.64,40.61,159142.0,40.472,1255
61,2023-12-20,40.4,41.12,39.64,39.73,179458.0,40.34,1310
62,2023-12-21,40.52,40.52,39.67,40.41,148630.0,40.165,1125
63,2023-12-22,40.57,41.4,40.55,41.17,161810.0,41.193,1264
64,2023-12-26,41.2,42.34,41.08,42.07,340151.0,41.994,2420
65,2023-12-27,41.92,42.63,41.92,42.35,371308.0,42.331,2770
66,2023-12-28,41.94,42.57,41.94,42.31,334358.0,42.33,2607
67,2023-12-29,42.05,42.42,41.56,41.57,321284.0,41.872,2315
68,2024-01-02,41.23,41.66,40.87,41.12,280673.0,41.289,1937
69,2024-01-03,40.56,40.79,39.4,39.45,288031.0,40.057,2199
70,2024-01-04,39.31,39.66,38.76,38.77,155262.0,39.028,1091
71,2024-01-05,38.39,39.24,38.05,38.16,347962.0,38.401,2303
72,2024-01-08,38.11,38.62,37.82,38.55,196033.0,38.43,1405
73,2024-01-09,37.81,38.07,37.28,37.84,248211.0,37.778,1899
74,2024-01-10,37.54,38.16,37.48,38.11,128237.0,37.923,958
75,2024-01-11,37.82,37.98,37.22,37.82,129484.0,37.662,987
76,2024-01-12,38.43,38.54,37.31,37.45,86627.0,37.611,649
77,2024-01-16,36.89,37.14,36.69,37.06,117477.0,36.889,866
78,2024-01-17,36.24,36.81,36.24,36.73,114041.0,36.615,959
79,2024-01-18,37.0,37.0,35.5,36.41,904709.0,35.779,1875
80,2024-01-19,36.62,36.71,35.81,36.7,196713.0,36.397,1361
81,2024-01-22,36.88,37.39,36.77,37.36,171872.0,37.178,1225
82,2024-01-23,37.98,38.0,37.23,37.39,170211.0,37.548,1239
83,2024-01-24,37.66,37.66,36.12,36.18,237768.0,36.45,1773
84,2024-01-25,36.95,37.19,36.22,36.85,329375.0,36.585,2070
85,2024-01-26,37.18,37.28,36.73,36.81,127951.0,36.909,932
86,2024-01-29,36.81,37.32,36.39,37.31,248336.0,37.004,1841
87,2024-01-30,36.98,37.29,36.6,36.62,213977.0,36.822,1565
88,2024-01-31,36.77,37.15,36.08,36.21,451667.0,36.573,2811
89,2024-02-01,36.58,36.89,35.99,36.89,182948.0,36.547,1365
