,date,open,high,low,close,volume,average,barCount
0,2023-10-06,66.35,69.99,66.26,68.6,386884.0,68.679,2574
1,2023-10-09,68.6,70.4,67.79,70.38,250330.0,69.452,1611
2,2023-10-10,70.39,71.23,69.79,70.56,232618.0,70.498,1694
3,2023-10-11,70.48,71.21,68.62,70.19,253712.0,69.697,1689
4,2023-10-12,70.18,70.36,66.15,66.51,385945.0,67.127,2470
5,2023-10-13,66.13,67.43,65.65,66.47,321014.0,66.441,2181
6,2023-10-16,66.35,67.06,64.09,66.91,619004.0,65.768,3029
7,2023-10-17,66.35,67.95,65.86,66.01,205783.0,66.571,1204
8,2023-10-18,65.79,65.96,64.65,65.05,287299.0,65.16,1674
9,2023-10-19,64.88,65.76,63.78,64.25,324762.0,64.395,1924
10,2023-10-20,64.5,64.87,63.8,64.25,379941.0,64.301,2429
11,2023-10-23,63.95,64.05,61.92,62.01,306715.0,62.567,2277
12,2023-10-24,63.24,64.6,62.61,63.72,409299.0,63.815,3237
13,2023-10-25,63.31,64.98,62.25,63.88,348970.0,63.922,2590
14,2023-10-26,63.84,65.68,63.71,64.05,332919.0,64.92,2859
15,2023-10-27,63.83,63.83,61.33,62.08,342723.0,62.116,2543
16,2023-10-30,62.55,63.1,59.7,60.03,401632.0,60.64,2502
17,2023-10-31,60.03,62.29,58.6,62.28,288345.0,60.52,1912
18,2023-11-01,62.09,64.86,61.48,64.62,342855.0,63.225,2672
19,2023-11-02,65.2,66.24,64.37,64.4,339338.0,65.221,2259
20,2023-11-03,66.39,67.49,64.69,65.14,676807.0,65.773,4993
21,2023-11-06,62.1,68.65,61.08,62.42,867175.0,65.044,5798
22,2023-11-07,61.76,65.26,61.76,63.12,523321.0,63.498,3305
23,2023-11-08,62.99,63.7,61.17,61.56,297562.0,61.958,2315
24,2023-11-09,61.22,62.3,59.65,60.06,616111.0,60.359,3645
25,2023-11-10,59.62,59.84,56.56,57.42,715321.0,57.728,4520
26,2023-11-13,57.21,59.54,55.02,59.31,366502.0,57.92,2565
27,2023-11-14,61.01,63.27,60.08,62.66,336976.0,62.3,2512
28,2023-11-15,62.65,64.84,60.08,60.21,329291.0,61.768,2201
29,2023-11-16,60.02,60.49,58.52,59.71,312933.0,59.496,1887
30,2023-11-17,60.11,60.12,56.66,59.88,443120.0,58.735,2877
31,2023-11-20,60.0,60.36,59.02,60.04,303997.0,59.74,1745
32,2023-11-21,59.19,60.25,58.61,59.18,200729.0,59.29,1553
33,2023-11-22,59.4,60.69,59.09,60.1,191772.0,59.794,1327
34,2023-11-24,60.35,62.83,60.28,62.55,193277.0,61.992,1290
35,2023-11-27,62.61,66.3,61.13,66.26,516589.0,64.865,3955
36,2023-11-28,66.24,67.2,64.67,65.77,404350.0,65.656,2905
37,2023-11-29,66.15,67.73,65.87,66.85,302685.0,66.926,2171
38,2023-11-30,67.15,68.1,66.21,67.45,250035.0,67.085,1820
39,2023-12-01,67.48,68.39,66.76,68.0,233989.0,67.867,1754
40,2023-12-04,68.0,68.28,66.71,67.43,256408.0,67.437,1928
41,2023-12-05,67.35,69.31,67.15,68.59,224488.0,68.55,1554
42,2023-12-06,68.99,71.25,67.92,69.35,346751.0,69.872,2429
43,2023-12-07,69.93,72.65,67.88,70.23,424963.0,70.336,2549
44,2023-12-08,70.97,72.78,69.4,70.18,408095.0,70.766,2563
45,2023-12-11,70.0,70.17,67.84,69.65,219259.0,69.222,1519
46,2023-12-12,70.0,70.78,69.0,70.16,190961.0,70.023,1348
47,2023-12-13,71.74,74.52,70.45,74.44,449655.0,72.298,2940
48,2023-12-14,75.94,76.05,71.49,73.27,433040.0,73.178,3289
49,2023-12-15,73.64,74.39,71.8,72.99,275146.0,73.094,1546
50,2023-12-18,72.44,74.0,71.03,73.2,159268.0,73.388,1195
51,2023-12-19,73.88,75.0,72.57,73.85,188620.0,74.063,1277
52,2023-12-20,73.51,73.51,70.22,70.55,276428.0,71.674,2093
53,2023-12-21,71.08,73.14,70.97,72.48,224608.0,72.321,1666
54,2023-12-22,74.28,78.4,73.24,76.81,781972.0,76.749,5245
55,2023-12-26,77.75,79.47,77.51,79.37,287563.0,78.627,1860
56,2023-12-27,79.53,83.8,79.14,83.61,775220.0,82.009,4537
57,2023-12-28,83.53,84.24,79.15,79.62,288314.0,81.53,1983
58,2023-12-29,79.53,80.05,78.4,79.59,275349.0,79.232,2040
59,2024-01-02,78.6,80.95,76.0,77.06,423777.0,77.739,2539
60,2024-01-03,76.8,77.82,75.36,76.09,240403.0,76.435,1512
61,2024-01-04,78.07,85.76,77.54,81.99,1060115.0,82.528,5909
62,2024-01-05,81.07,82.67,79.62,82.31,365341.0,81.337,2607
63,2024-01-08,83.74,88.99,82.99,88.94,626068.0,86.461,3501
64,2024-01-09,88.14,90.7,87.33,90.43,364577.0,89.355,2493
65,2024-01-10,90.4,92.19,88.1,89.2,449347.0,89.57,3251
66,2024-01-11,88.01,88.7,85.87,86.35,369080.0,87.052,2612
67,2024-01-12,87.58,88.0,84.72,85.21,288039.0,85.687,2222
68,2024-01-16,84.93,85.84,83.66,84.95,277904.0,84.82,2049
69,2024-01-17,84.45,86.67,83.72,85.48,307664.0,85.291,2157
70,2024-01-18,85.25,85.48,83.83,84.5,156763.0,84.575,1120
71,2024-01-19,84.82,85.1,81.58,84.95,515776.0,83.886,3493
72,2024-01-22,85.8,91.49,85.65,90.92,538631.0,89.674,3535
73,2024-01-23,91.48,91.87,87.69,89.52,277195.0,89.468,2029
74,2024-01-24,90.56,94.96,89.02,91.78,894065.0,92.453,4740
75,2024-01-25,93.41,94.25,89.6,90.59,281144.0,91.358,1937
76,2024-01-26,91.26,91.26,89.31,89.84,287439.0,89.962,1857
77,2024-01-29,90.39,92.67,89.15,92.42,305977.0,91.931,2030
78,2024-01-30,92.0,92.21,90.42,91.91,176428.0,91.443,1304
79,2024-01-31,91.63,92.54,89.93,90.03,163330.0,91.399,1210
80,2024-02-01,90.39,94.01,90.0,93.45,283711.0,92.846,1592
81,2024-02-02,93.0,93.08,91.08,92.82,238384.0,92.604,1336
82,2024-02-05,92.21,92.51,90.19,91.5,208854.0,91.386,1459
83,2024-02-06,94.25,95.01,92.5,94.81,451373.0,94.31,2948
84,2024-02-07,94.48,94.53,93.0,94.02,231075.0,93.93,1539
85,2024-02-08,94.19,96.53,93.34,95.68,304978.0,95.0,2083
86,2024-02-09,96.09,97.68,95.71,96.89,316747.0,96.966,2244
87,2024-02-12,97.23,98.4,96.94,97.64,241816.0,97.805,1567
88,2024-02-13,95.0,95.74,91.65,92.26,512865.0,94.002,3267
89,2024-02-14,93.87,94.15,92.18,93.47,42244.0,93.206,284
