,date,open,high,low,close,volume,average,barCount
0,2023-09-25,20.65,20.96,20.51,20.93,196289.0,20.802,1293
1,2023-09-26,20.75,20.79,20.4,20.43,298105.0,20.595,1867
2,2023-09-27,20.4,20.59,19.11,19.13,595699.0,19.606,2977
3,2023-09-28,19.1,19.19,18.28,18.69,642386.0,18.571,3426
4,2023-09-29,18.9,19.42,18.87,19.1,540966.0,19.046,3285
5,2023-10-02,19.1,19.1,17.66,17.92,798486.0,18.053,4662
6,2023-10-03,17.75,17.75,16.92,17.15,863646.0,17.22,4683
7,2023-10-04,17.28,17.69,16.91,17.1,836051.0,17.146,4119
8,2023-10-05,17.06,17.09,16.47,16.8,3031258.0,16.591,7853
9,2023-10-06,16.71,17.8,16.69,17.65,1237642.0,17.488,8316
10,2023-10-09,17.54,17.77,17.13,17.42,825170.0,17.438,2710
11,2023-10-10,17.48,18.49,17.46,18.44,1316778.0,18.231,6139
12,2023-10-11,18.6,18.87,18.5,18.73,880939.0,18.727,5503
13,2023-10-12,18.63,18.66,17.97,18.15,375970.0,18.193,2258
14,2023-10-13,18.19,18.36,17.67,17.74,332463.0,17.893,2305
15,2023-10-16,17.85,17.97,17.49,17.92,319366.0,17.811,1985
16,2023-10-17,17.67,17.91,17.56,17.7,378142.0,17.725,2199
17,2023-10-18,17.6,17.7,17.08,17.25,467831.0,17.305,2535
18,2023-10-19,17.12,17.31,17.02,17.12,336224.0,17.155,2056
19,2023-10-20,17.0,17.15,16.69,16.69,691217.0,16.908,2997
20,2023-10-23,16.55,16.97,16.35,16.77,586737.0,16.791,2945
21,2023-10-24,16.95,17.39,16.94,17.2,551503.0,17.229,3226
22,2023-10-25,17.14,17.58,16.94,17.56,853579.0,17.308,3109
23,2023-10-26,17.34,18.13,17.34,18.05,585926.0,17.909,3302
24,2023-10-27,18.04,18.09,17.71,17.76,427440.0,17.878,2848
25,2023-10-30,17.96,18.28,17.9,18.18,382796.0,18.04,2125
26,2023-10-31,18.25,18.28,17.95,18.11,524447.0,18.112,2404
27,2023-11-01,18.16,18.64,18.08,18.6,314848.0,18.442,1884
28,2023-11-02,18.85,19.21,18.83,19.02,520250.0,19.029,2527
29,2023-11-03,19.47,19.7,19.18,19.39,459378.0,19.39,3155
30,2023-11-06,19.4,19.49,19.07,19.2,344045.0,19.227,2124
31,2023-11-07,19.15,19.23,18.92,19.21,395414.0,19.081,2222
32,2023-11-08,19.06,19.06,17.97,18.14,633479.0,18.337,4083
33,2023-11-09,18.17,18.17,17.65,17.99,622682.0,17.858,2919
34,2023-11-10,17.98,18.32,17.44,17.76,617707.0,17.632,2820
35,2023-11-13,17.72,18.12,17.67,17.89,484490.0,17.905,3102
36,2023-11-14,18.44,19.11,18.44,19.04,479834.0,18.875,2852
37,2023-11-15,19.04,19.37,18.86,18.93,341505.0,19.041,2227
38,2023-11-16,18.98,19.04,18.61,18.87,254495.0,18.856,1770
39,2023-11-17,18.97,18.98,18.61,18.91,449686.0,18.802,2274
40,2023-11-20,18.97,18.97,18.6,18.9,337814.0,18.799,1701
41,2023-11-21,18.84,19.04,18.61,18.98,353991.0,18.882,1673
42,2023-11-22,19.09,19.18,18.91,19.01,260252.0,19.002,1440
43,2023-11-24,19.02,19.22,18.88,18.95,121632.0,19.039,803
44,2023-11-27,19.04,19.21,18.91,19.0,457821.0,19.04,2305
45,2023-11-28,19.03,19.61,18.91,19.53,511413.0,19.425,2797
46,2023-11-29,19.19,19.35,18.98,19.05,614384.0,19.13,3353
47,2023-11-30,19.1,19.12,18.81,19.02,359721.0,18.98,2013
48,2023-12-01,18.94,19.7,18.86,19.68,382365.0,19.401,2125
49,2023-12-04,19.5,19.99,19.49,19.71,340850.0,19.756,2073
50,2023-12-05,19.61,19.72,19.33,19.55,343318.0,19.491,1924
51,2023-12-06,19.74,20.19,19.74,20.04,445093.0,20.011,2667
52,2023-12-07,20.0,20.04,19.76,19.81,244606.0,19.888,1372
53,2023-12-08,19.85,20.04,19.68,19.97,267823.0,19.875,1657
54,2023-12-11,19.94,20.17,19.8,19.96,439625.0,19.957,1653
55,2023-12-12,19.92,19.92,19.46,19.69,334349.0,19.607,1862
56,2023-12-13,19.66,20.84,19.53,20.75,348052.0,20.262,2044
57,2023-12-14,21.07,21.69,21.0,21.24,810744.0,21.302,4302
58,2023-12-15,21.3,21.45,21.08,21.24,898289.0,21.261,5008
59,2023-12-18,21.41,21.53,21.01,21.2,442342.0,21.191,2299
60,2023-12-19,21.29,21.6,21.26,21.58,308414.0,21.483,1548
61,2023-12-20,21.58,21.58,20.87,20.99,566493.0,21.315,1704
62,2023-12-21,21.22,21.65,21.17,21.53,217349.0,21.452,1327
63,2023-12-22,21.52,21.85,21.52,21.6,176081.0,21.681,1056
64,2023-12-26,21.57,21.82,21.46,21.71,180634.0,21.691,889
65,2023-12-27,21.77,21.85,21.55,21.7,211553.0,21.684,1154
66,2023-12-28,21.61,21.8,21.51,21.69,305609.0,21.634,1621
67,2023-12-29,21.65,21.68,21.33,21.5,202149.0,21.489,1168
68,2024-01-02,21.34,21.69,21.17,21.28,330946.0,21.405,2125
69,2024-01-03,21.33,21.33,20.79,20.98,584568.0,21.029,1900
70,2024-01-04,21.0,21.06,20.78,20.96,291390.0,20.931,1902
71,2024-01-05,20.83,21.23,20.73,20.96,267566.0,20.974,1474
72,2024-01-08,20.96,21.33,20.86,21.14,262651.0,21.128,1547
73,2024-01-09,20.92,21.48,20.82,21.11,917187.0,21.175,5583
74,2024-01-10,21.09,21.09,20.67,20.81,328060.0,20.822,1669
75,2024-01-11,20.73,20.73,20.03,20.3,369059.0,20.243,2285
76,2024-01-12,20.48,20.61,20.19,20.3,279524.0,20.284,1856
77,2024-01-16,20.21,20.24,19.88,19.98,471959.0,20.038,1812
78,2024-01-17,19.74,19.78,19.08,19.29,763990.0,19.27,4611
79,2024-01-18,19.41,19.58,19.15,19.44,481477.0,19.353,2354
80,2024-01-19,19.46,19.55,19.2,19.35,429166.0,19.297,2532
81,2024-01-22,19.35,20.07,19.35,19.5,437148.0,19.652,2736
82,2024-01-23,19.69,19.91,19.4,19.47,305339.0,19.508,1867
83,2024-01-24,19.69,19.88,18.94,19.1,651505.0,19.128,2534
84,2024-01-25,19.34,19.37,19.06,19.25,417600.0,19.233,2606
85,2024-01-26,19.29,19.49,19.11,19.14,263748.0,19.231,1660
86,2024-01-29,19.15,19.4,18.95,19.37,342750.0,19.192,1745
87,2024-01-30,19.31,19.57,19.11,19.44,214735.0,19.351,1205
88,2024-01-31,19.57,19.69,19.12,19.18,316125.0,19.465,1525
89,2024-02-01,19.28,19.71,19.16,19.69,208839.0,19.494,1189
