,date,open,high,low,close,volume,average,barCount
0,2023-09-25,30.09,30.63,29.92,30.4,1188818.0,30.414,7197
1,2023-09-26,30.03,30.28,29.55,29.6,879855.0,29.764,5754
2,2023-09-27,30.06,30.19,29.09,29.2,1391980.0,29.408,7889
3,2023-09-28,29.2,30.12,28.82,29.88,1219047.0,29.666,7447
4,2023-09-29,30.18,30.36,29.54,29.74,826891.0,29.764,5410
5,2023-10-02,29.49,29.87,29.15,29.39,1381609.0,29.523,7635
6,2023-10-03,29.09,29.2,27.91,28.21,1732240.0,28.233,10748
7,2023-10-04,28.33,28.93,28.19,28.67,1079246.0,28.61,7156
8,2023-10-05,28.59,28.77,28.09,28.12,1058993.0,28.331,5565
9,2023-10-06,27.71,28.49,27.45,28.18,2006968.0,28.103,11105
10,2023-10-09,27.72,27.88,26.89,27.8,1957738.0,27.426,11168
11,2023-10-10,27.97,28.8,27.92,28.3,1102126.0,28.494,7026
12,2023-10-11,28.28,28.91,28.28,28.75,909143.0,28.63,5514
13,2023-10-12,28.58,28.87,26.81,27.23,1040765.0,27.415,6487
14,2023-10-13,27.32,27.73,26.76,27.13,818576.0,27.11,5238
15,2023-10-16,27.53,28.14,27.11,28.07,760623.0,27.898,4721
16,2023-10-17,27.65,28.22,27.38,27.55,995801.0,27.723,6151
17,2023-10-18,26.99,27.17,26.32,26.6,1451711.0,26.553,7900
18,2023-10-19,26.5,26.71,25.82,25.97,1040658.0,26.161,4923
19,2023-10-20,25.99,26.12,25.36,25.71,1128998.0,25.729,6693
20,2023-10-23,25.62,26.62,25.55,26.17,776863.0,26.258,4993
21,2023-10-24,26.47,26.62,25.81,26.0,616869.0,26.057,3836
22,2023-10-25,25.65,25.66,25.04,25.18,1066556.0,25.294,6970
23,2023-10-26,25.41,25.83,25.13,25.42,954266.0,25.535,5809
24,2023-10-27,25.57,25.76,25.03,25.21,620106.0,25.358,3980
25,2023-10-30,25.42,25.86,25.16,25.7,805933.0,25.589,5212
26,2023-10-31,26.27,26.58,25.94,26.2,1585233.0,26.271,9556
27,2023-11-01,26.14,26.7,25.73,26.7,959544.0,26.471,6029
28,2023-11-02,27.23,27.61,27.12,27.55,1067335.0,27.436,6718
29,2023-11-03,28.11,28.92,28.11,28.49,1219985.0,28.668,7985
30,2023-11-06,28.35,28.48,27.6,27.85,853687.0,27.838,5242
31,2023-11-07,27.82,28.53,27.75,28.29,447143.0,28.304,3039
32,2023-11-08,28.25,28.7,28.17,28.45,389780.0,28.37,2665
33,2023-11-09,28.57,28.59,27.8,27.96,706692.0,28.134,4203
34,2023-11-10,28.25,28.63,27.97,28.63,382938.0,28.436,2602
35,2023-11-13,28.3,28.65,28.21,28.61,499907.0,28.453,3355
36,2023-11-14,29.76,31.12,29.76,30.94,1119648.0,30.845,7105
37,2023-11-15,31.0,32.06,30.85,30.87,1143409.0,31.445,7076
38,2023-11-16,30.84,31.07,30.36,30.54,822934.0,30.556,5852
39,2023-11-17,30.84,31.25,30.67,31.12,810405.0,30.975,4219
40,2023-11-20,31.05,31.5,30.84,31.23,585224.0,31.313,3685
41,2023-11-21,30.88,31.5,30.76,31.14,780828.0,31.202,4674
42,2023-11-22,31.42,31.63,31.17,31.34,713074.0,31.34,5081
43,2023-11-24,31.24,31.61,31.16,31.46,362515.0,31.478,2213
44,2023-11-27,31.33,31.91,31.22,31.78,1979101.0,31.717,9448
45,2023-11-28,31.58,31.67,31.17,31.54,1590415.0,31.508,8430
46,2023-11-29,31.5,34.18,31.5,33.43,4280466.0,33.578,24890
47,2023-11-30,33.43,34.55,33.13,34.49,1694042.0,34.16,10936
48,2023-12-01,34.34,35.39,34.19,35.27,1559936.0,35.054,9144
49,2023-12-04,34.89,35.29,34.7,34.91,1205211.0,34.941,8034
50,2023-12-05,34.81,34.95,34.23,34.55,2251231.0,34.575,14312
51,2023-12-06,34.88,35.29,34.63,34.67,1265314.0,34.975,7726
52,2023-12-07,34.64,34.91,34.46,34.9,988366.0,34.714,6593
53,2023-12-08,34.21,35.24,34.02,34.69,1105879.0,34.8,7152
54,2023-12-11,34.68,35.01,34.51,34.73,846553.0,34.82,5516
55,2023-12-12,34.86,35.47,34.64,35.3,1141216.0,35.162,6800
56,2023-12-13,35.15,36.4,34.96,36.22,1026349.0,35.727,6072
57,2023-12-14,37.0,37.97,36.94,37.86,2004825.0,37.647,12962
58,2023-12-15,37.96,38.71,37.76,38.15,1764035.0,38.403,9046
59,2023-12-18,38.33,38.41,37.26,37.69,925056.0,37.651,6445
60,2023-12-19,38.12,38.6,37.98,38.5,469197.0,38.43,3004
61,2023-12-20,38.37,39.04,37.83,37.86,913259.0,38.506,5953
62,2023-12-21,38.41,38.57,37.82,38.34,779882.0,38.118,5313
63,2023-12-22,38.49,38.66,38.2,38.38,562907.0,38.403,3822
64,2023-12-26,38.58,38.86,38.39,38.59,371666.0,38.743,2262
65,2023-12-27,38.73,38.98,38.56,38.65,561108.0,38.75,3047
66,2023-12-28,38.59,38.87,38.44,38.65,316390.0,38.667,2353
67,2023-12-29,38.49,38.8,38.24,38.25,397622.0,38.431,3074
68,2024-01-02,37.55,38.09,36.93,37.15,1095145.0,37.259,7862
69,2024-01-03,36.46,36.46,35.63,35.84,1549000.0,36.027,7323
70,2024-01-04,35.44,36.21,35.38,35.67,863340.0,35.866,5623
71,2024-01-05,35.42,36.28,35.42,36.12,504922.0,36.025,3527
72,2024-01-08,36.32,37.09,36.27,37.08,482704.0,36.854,3412
73,2024-01-09,36.75,37.06,36.45,37.01,358051.0,36.896,2288
74,2024-01-10,37.13,37.5,36.85,37.37,699693.0,37.267,4537
75,2024-01-11,37.15,37.55,36.78,37.49,671776.0,37.298,3890
76,2024-01-12,37.75,37.93,36.73,37.26,378616.0,37.208,2308
77,2024-01-16,36.85,37.23,36.6,37.23,447071.0,36.925,2499
78,2024-01-17,36.6,36.97,36.29,36.78,802438.0,36.591,5714
79,2024-01-18,37.2,37.37,36.4,37.13,463300.0,36.919,3147
80,2024-01-19,37.12,37.58,36.67,37.43,579435.0,37.138,3879
81,2024-01-22,37.94,38.46,37.94,38.33,490676.0,38.227,2690
82,2024-01-23,38.31,38.31,37.24,37.59,617496.0,37.606,3920
83,2024-01-24,38.25,38.25,37.06,37.24,798023.0,37.491,4947
84,2024-01-25,37.79,38.02,37.58,37.85,926397.0,37.816,4403
85,2024-01-26,37.92,38.35,37.62,37.74,681092.0,37.88,4468
86,2024-01-29,38.19,39.0,37.86,38.99,1095506.0,38.406,4415
87,2024-01-30,39.0,39.49,38.83,39.25,1015167.0,39.189,6398
88,2024-01-31,39.06,39.56,38.46,38.56,1070326.0,39.051,7471
89,2024-02-01,39.1,40.14,38.57,39.99,1137356.0,39.704,7662
