,date,open,high,low,close,volume,average,barCount
0,2023-09-25,47.8,48.95,47.8,48.54,264703.0,48.527,1744
1,2023-09-26,47.91,49.02,47.75,47.9,297631.0,48.084,1968
2,2023-09-27,48.39,48.6,46.95,47.9,365431.0,48.032,2704
3,2023-09-28,47.97,50.18,47.81,49.57,318864.0,49.242,2444
4,2023-09-29,50.17,50.62,49.91,50.19,446742.0,50.257,3680
5,2023-10-02,49.95,49.95,49.05,49.77,332281.0,49.351,2424
6,2023-10-03,49.53,49.86,48.87,48.88,306795.0,49.26,2301
7,2023-10-04,48.73,49.54,47.96,49.46,249563.0,48.924,1856
8,2023-10-05,49.21,49.63,48.5,49.5,281119.0,49.187,2058
9,2023-10-06,48.89,49.89,48.89,49.6,260959.0,49.603,1925
10,2023-10-09,49.35,50.91,49.1,50.28,195901.0,50.205,1442
11,2023-10-10,49.84,51.82,49.84,51.41,295211.0,51.393,2059
12,2023-10-11,51.41,51.85,51.16,51.46,396774.0,51.539,2441
13,2023-10-12,51.6,51.7,50.11,50.52,454971.0,51.081,3068
14,2023-10-13,50.53,50.85,49.76,50.03,282992.0,50.162,2140
15,2023-10-16,50.22,50.74,49.53,49.82,264912.0,50.131,2082
16,2023-10-17,49.47,53.15,49.47,52.09,296457.0,52.111,2142
17,2023-10-18,51.22,51.86,49.65,50.68,268120.0,50.933,1997
18,2023-10-19,50.69,50.93,49.93,50.06,172609.0,50.289,1360
19,2023-10-20,50.05,50.53,49.51,49.61,213783.0,50.095,1678
20,2023-10-23,49.36,50.01,48.97,49.04,119487.0,49.509,933
21,2023-10-24,49.24,50.52,47.82,50.49,232805.0,50.086,1986
22,2023-10-25,49.85,49.85,47.47,47.54,236463.0,48.414,1961
23,2023-10-26,47.6,48.94,47.41,47.84,181902.0,48.14,1504
24,2023-10-27,47.81,48.21,46.3,46.37,178326.0,46.912,1273
25,2023-10-30,46.78,46.78,44.0,44.02,358767.0,44.572,2755
26,2023-10-31,44.35,45.83,44.35,45.45,232542.0,45.381,1822
27,2023-11-01,45.24,45.33,44.16,45.33,358458.0,44.811,2493
28,2023-11-02,46.19,47.61,45.89,47.48,189282.0,47.033,1546
29,2023-11-03,48.51,50.72,47.7,49.77,229082.0,50.059,1489
30,2023-11-06,49.74,49.74,48.25,48.71,266424.0,48.66,2099
31,2023-11-07,48.64,49.67,48.26,49.16,200695.0,49.227,1477
32,2023-11-08,49.2,49.43,48.45,48.74,155935.0,48.786,1210
33,2023-11-09,48.96,49.18,46.88,47.04,271255.0,47.948,2129
34,2023-11-10,46.93,47.85,45.28,47.53,284751.0,47.243,2202
35,2023-11-13,47.06,48.25,46.23,47.81,294443.0,47.745,2249
36,2023-11-14,53.42,55.86,52.88,54.45,1205511.0,54.322,8135
37,2023-11-15,54.57,55.74,54.11,54.13,561260.0,54.721,3792
38,2023-11-16,54.08,54.73,53.28,54.57,385991.0,54.115,2907
39,2023-11-17,54.67,55.19,54.4,55.16,326764.0,54.884,2202
40,2023-11-20,55.34,56.36,54.96,56.01,264530.0,55.766,1520
41,2023-11-21,55.81,57.12,55.46,57.01,283799.0,56.712,2183
42,2023-11-22,57.49,58.65,56.94,57.35,249620.0,57.532,1666
43,2023-11-24,57.01,58.16,56.86,57.66,130192.0,57.772,1049
44,2023-11-27,57.26,57.5,56.66,57.15,104949.0,57.191,784
45,2023-11-28,57.01,57.43,56.42,56.82,125308.0,56.815,999
46,2023-11-29,57.26,58.19,56.34,56.38,156912.0,57.089,1305
47,2023-11-30,56.16,56.8,55.36,56.37,122434.0,56.16,905
48,2023-12-01,56.2,57.99,55.47,57.96,251559.0,57.229,1547
49,2023-12-04,57.54,58.71,57.54,58.32,238251.0,58.196,1447
50,2023-12-05,57.95,58.0,56.07,56.95,154376.0,56.894,1090
51,2023-12-06,56.8,58.74,56.8,57.65,131122.0,57.822,995
52,2023-12-07,57.46,58.45,57.29,58.24,129195.0,58.102,1064
53,2023-12-08,58.14,58.7,57.32,57.6,148244.0,57.764,1233
54,2023-12-11,57.5,59.22,57.12,59.19,224182.0,58.51,1620
55,2023-12-12,59.16,59.16,58.31,58.6,92965.0,58.622,808
56,2023-12-13,58.55,60.65,56.95,60.46,186526.0,59.347,1630
57,2023-12-14,61.43,62.95,61.36,62.28,291582.0,62.258,2347
58,2023-12-15,62.45,62.97,61.8,62.0,219585.0,62.169,1499
59,2023-12-18,62.36,62.81,61.8,61.83,219021.0,62.243,1404
60,2023-12-19,62.14,64.33,61.91,63.82,450099.0,63.58,2418
61,2023-12-20,63.99,64.93,62.43,62.54,327938.0,63.84,2547
62,2023-12-21,63.19,64.68,63.12,64.35,256007.0,64.206,1806
63,2023-12-22,64.91,65.1,63.8,64.49,119974.0,64.484,852
64,2023-12-26,64.71,65.98,64.41,65.76,95907.0,65.58,696
65,2023-12-27,66.01,66.41,65.67,66.3,94665.0,66.179,732
66,2023-12-28,66.22,66.98,65.89,66.26,98975.0,66.361,819
67,2023-12-29,65.98,66.49,65.03,65.14,117973.0,65.536,903
68,2024-01-02,64.51,65.59,63.94,64.86,138331.0,64.896,1014
69,2024-01-03,64.22,64.22,61.36,61.95,186489.0,62.012,1492
70,2024-01-04,61.95,62.98,61.07,62.76,125223.0,62.546,1023
71,2024-01-05,62.12,64.62,61.35,64.3,210535.0,64.007,1513
72,2024-01-08,64.37,65.39,64.11,64.6,108327.0,64.767,789
73,2024-01-09,63.91,65.99,63.91,64.71,125748.0,64.836,942
74,2024-01-10,64.55,64.86,63.4,64.66,104088.0,64.267,817
75,2024-01-11,64.06,64.31,63.04,63.96,171159.0,63.511,1227
76,2024-01-12,65.06,65.98,64.57,65.14,95993.0,65.076,782
77,2024-01-16,64.31,66.0,63.95,65.7,158666.0,65.223,1268
78,2024-01-17,64.52,65.48,63.87,64.56,182234.0,64.447,1543
79,2024-01-18,64.73,66.39,64.27,66.09,135232.0,65.634,1195
80,2024-01-19,66.21,67.46,65.55,67.41,138103.0,66.695,1156
81,2024-01-22,68.11,69.16,67.26,67.26,247588.0,68.041,1560
82,2024-01-23,67.69,68.54,66.07,66.55,82337.0,66.586,691
83,2024-01-24,67.07,68.11,64.87,65.14,169381.0,65.439,1176
84,2024-01-25,65.83,66.16,65.14,65.36,143109.0,65.553,862
85,2024-01-26,66.05,66.65,65.41,65.5,117770.0,65.816,928
86,2024-01-29,65.38,67.55,64.99,67.51,107379.0,66.748,847
87,2024-01-30,67.04,67.86,66.69,67.43,94960.0,67.353,738
88,2024-01-31,67.13,67.53,65.0,65.2,284564.0,66.656,1917
89,2024-02-01,65.63,66.86,65.15,66.13,257821.0,66.047,2069
