,date,open,high,low,close,volume,average,barCount
0,2023-10-06,109.49,111.77,109.36,110.64,1022122.0,111.013,7852
1,2023-10-09,109.97,111.31,109.12,111.28,633858.0,110.385,4116
2,2023-10-10,111.31,113.83,111.02,113.29,1078712.0,113.021,6856
3,2023-10-11,113.41,113.6,112.05,113.38,690406.0,113.043,4708
4,2023-10-12,113.11,113.4,108.33,108.94,2580131.0,110.209,12995
5,2023-10-13,108.02,110.61,106.82,110.51,1791643.0,109.539,10061
6,2023-10-16,111.04,112.79,109.64,111.5,891693.0,111.558,6518
7,2023-10-17,110.1,112.91,109.21,112.4,998757.0,111.702,6641
8,2023-10-18,111.33,111.33,108.53,108.61,1091059.0,109.382,7314
9,2023-10-19,109.25,111.38,108.86,109.51,1275739.0,109.926,7414
10,2023-10-20,109.54,110.59,109.18,109.23,1277193.0,109.826,8634
11,2023-10-23,108.1,109.91,107.4,109.34,1402785.0,109.175,10588
12,2023-10-24,107.5,108.06,105.36,105.64,2110251.0,106.412,12062
13,2023-10-25,102.9,104.17,100.08,103.4,1579982.0,102.58,11637
14,2023-10-26,103.47,104.91,103.24,104.31,773490.0,104.199,5910
15,2023-10-27,104.54,104.78,102.4,102.77,1191143.0,103.127,6800
16,2023-10-30,102.71,102.78,96.8,101.17,2335277.0,99.55,15289
17,2023-10-31,103.0,104.2,101.94,103.37,1235512.0,103.021,9075
18,2023-11-01,102.5,103.21,100.26,102.86,1383223.0,101.884,9526
19,2023-11-02,103.97,104.64,102.7,104.47,774746.0,104.014,6036
20,2023-11-03,106.5,109.59,106.12,109.02,1499407.0,108.444,12081
21,2023-11-06,108.81,109.52,107.17,107.53,816068.0,108.098,5762
22,2023-11-07,106.84,110.81,106.54,110.54,1287605.0,110.044,9618
23,2023-11-08,110.89,111.57,108.46,109.39,745578.0,109.632,5922
24,2023-11-09,110.12,110.12,107.54,107.74,807327.0,108.288,5648
25,2023-11-10,107.72,108.48,104.09,108.47,1047676.0,106.925,7412
26,2023-11-13,108.13,108.27,106.96,107.46,610351.0,107.517,4290
27,2023-11-14,109.55,112.29,109.46,111.61,971158.0,111.481,7275
28,2023-11-15,111.85,114.52,111.33,113.6,1099636.0,113.945,8401
29,2023-11-16,113.94,114.5,113.56,114.19,974846.0,114.051,6772
30,2023-11-17,113.98,114.47,112.06,113.15,1609551.0,113.061,10816
31,2023-11-20,113.25,114.5,112.39,113.98,1674594.0,113.668,10978
32,2023-11-21,121.46,124.68,121.23,123.92,4021789.0,123.597,27349
33,2023-11-22,123.87,125.4,123.8,123.99,1446150.0,124.519,11172
34,2023-11-24,123.92,126.77,123.48,126.62,712842.0,125.665,5677
35,2023-11-27,125.98,126.68,124.89,125.01,1278741.0,125.663,9207
36,2023-11-28,124.64,126.27,124.1,124.71,1046361.0,125.39,8218
37,2023-11-29,125.59,127.73,125.59,127.59,1262671.0,127.155,9928
38,2023-11-30,128.0,128.45,126.96,127.8,765410.0,127.597,6208
39,2023-12-01,127.34,129.01,126.51,128.79,896949.0,128.025,7022
40,2023-12-04,128.41,129.22,127.87,128.88,858695.0,128.548,6483
41,2023-12-05,127.81,128.63,125.77,127.88,990870.0,127.241,7451
42,2023-12-06,128.5,129.76,127.92,128.91,924855.0,129.064,7173
43,2023-12-07,129.2,130.49,127.81,128.68,943982.0,129.418,5668
44,2023-12-08,128.09,129.0,126.97,127.2,733952.0,127.603,5708
45,2023-12-11,127.62,129.63,127.22,128.97,790313.0,129.0,6015
46,2023-12-12,128.05,129.2,127.0,128.79,641437.0,128.422,5050
47,2023-12-13,129.09,134.04,128.77,133.74,892699.0,131.722,6572
48,2023-12-14,135.0,138.17,135.0,137.96,1581887.0,137.345,11602
49,2023-12-15,137.24,138.9,136.28,136.78,1740238.0,137.644,11370
50,2023-12-18,137.59,138.19,136.86,137.53,632050.0,137.652,4899
51,2023-12-19,138.51,139.89,137.32,139.79,676994.0,139.327,5044
52,2023-12-20,139.79,141.24,138.14,138.18,1097634.0,139.695,7059
53,2023-12-21,139.38,139.67,138.0,138.94,827314.0,138.9,6235
54,2023-12-22,139.61,140.36,138.79,139.57,720640.0,139.516,5599
55,2023-12-26,139.31,140.47,139.08,139.81,544075.0,139.644,4711
56,2023-12-27,139.78,140.16,139.08,139.82,603136.0,139.536,4424
57,2023-12-28,140.54,140.82,139.65,139.77,422141.0,140.159,2939
58,2023-12-29,139.07,139.7,138.36,139.03,406466.0,138.923,3180
59,2024-01-02,138.19,140.59,137.91,138.75,708832.0,139.043,5481
60,2024-01-03,138.0,138.0,131.06,131.16,924983.0,132.882,7319
61,2024-01-04,130.55,131.5,130.19,131.0,1326685.0,131.02,11021
62,2024-01-05,130.0,131.96,128.62,130.56,705416.0,130.881,4787
63,2024-01-08,130.14,133.57,129.81,133.38,620134.0,132.183,4672
64,2024-01-09,132.27,135.65,130.01,130.68,715715.0,132.165,5782
65,2024-01-10,130.58,131.16,128.36,131.09,598718.0,130.129,4862
66,2024-01-11,130.58,130.68,127.9,129.68,879056.0,129.263,5934
67,2024-01-12,130.31,131.61,129.64,130.54,689725.0,130.63,4890
68,2024-01-16,129.14,130.81,128.59,130.53,634540.0,130.234,4863
69,2024-01-17,129.98,130.61,126.74,128.12,632573.0,128.009,5150
70,2024-01-18,128.02,130.73,127.53,130.46,695210.0,129.69,5106
71,2024-01-19,130.17,131.99,129.2,131.22,760386.0,130.918,5026
72,2024-01-22,131.5,132.73,131.25,132.55,544658.0,132.281,4296
73,2024-01-23,133.64,133.94,130.32,131.64,385391.0,131.321,2991
74,2024-01-24,132.41,132.8,129.43,129.78,509593.0,130.153,3803
75,2024-01-25,131.11,131.43,129.43,129.88,575653.0,130.124,4211
76,2024-01-26,133.71,134.23,130.64,130.99,591428.0,131.632,4448
77,2024-01-29,131.75,132.9,131.28,132.83,694361.0,132.215,4455
78,2024-01-30,132.83,134.52,132.69,134.28,784197.0,133.663,4698
79,2024-01-31,134.61,134.62,129.99,130.1,397829.0,131.742,2988
80,2024-02-01,130.06,133.05,129.26,133.05,389673.0,131.682,3226
81,2024-02-02,131.84,133.92,130.31,132.97,509169.0,132.679,4136
82,2024-02-05,132.74,134.95,132.38,132.82,1293446.0,133.581,10628
83,2024-02-06,132.65,136.1,131.07,135.86,1008740.0,134.901,7717
84,2024-02-07,136.52,136.91,132.34,132.79,759884.0,134.054,5303
85,2024-02-08,132.42,134.82,132.13,134.07,720304.0,133.585,5026
86,2024-02-09,133.93,135.23,132.76,133.34,430809.0,133.358,3375
87,2024-02-12,133.28,133.28,130.38,132.31,705205.0,131.859,5021
88,2024-02-13,130.34,131.64,128.26,129.76,474252.0,129.664,3755
89,2024-02-14,131.0,131.5,130.2,131.06,121149.0,130.916,746
