,date,open,high,low,close,volume,average,barCount
0,2023-10-06,84.25,86.52,84.0,86.06,10296175.0,85.572,60211
1,2023-10-09,83.91,85.21,83.57,84.85,7859192.0,84.4,47405
2,2023-10-10,85.67,87.74,85.57,87.17,8627323.0,87.098,49222
3,2023-10-11,88.01,88.8,87.14,87.78,8044212.0,87.87,43706
4,2023-10-12,87.58,87.67,84.2,84.51,12211551.0,85.359,70567
5,2023-10-13,84.06,85.49,83.75,84.02,7876856.0,84.335,47124
6,2023-10-16,83.7,84.97,82.63,84.31,6842819.0,84.167,39592
7,2023-10-17,82.75,84.36,82.56,83.91,6199672.0,83.84,34668
8,2023-10-18,82.96,83.73,82.76,83.01,7347119.0,83.189,41339
9,2023-10-19,81.48,82.4,81.11,81.61,9451869.0,81.662,52850
10,2023-10-20,80.23,80.86,79.78,79.94,10803208.0,80.106,60161
11,2023-10-23,79.42,80.93,79.02,80.51,7556296.0,80.214,43503
12,2023-10-24,80.45,83.32,80.44,82.87,13054818.0,82.537,76510
13,2023-10-25,81.3,82.0,80.78,81.03,8390106.0,81.269,52531
14,2023-10-26,81.27,83.09,81.2,82.51,9447251.0,82.506,56732
15,2023-10-27,83.87,84.12,82.48,82.82,7893119.0,83.124,47768
16,2023-10-30,83.63,84.24,83.01,83.14,6614898.0,83.466,41331
17,2023-10-31,81.94,82.54,80.88,82.54,8184357.0,81.672,46809
18,2023-11-01,81.7,82.49,81.21,82.48,6840133.0,81.941,41761
19,2023-11-02,83.65,83.98,83.03,83.41,7369498.0,83.522,41978
20,2023-11-03,84.94,86.08,84.5,85.31,11541272.0,85.504,68767
21,2023-11-06,86.56,86.72,85.23,85.36,7304375.0,85.718,43245
22,2023-11-07,84.86,85.66,84.11,85.41,6588156.0,85.066,36019
23,2023-11-08,84.62,85.73,84.48,84.8,5405658.0,84.919,32497
24,2023-11-09,84.58,84.69,82.47,82.73,8377862.0,83.422,49917
25,2023-11-10,82.41,82.87,81.66,82.75,7627297.0,82.336,44080
