,date,open,high,low,close,volume,average,barCount
0,2023-09-25,40.21,41.04,40.21,40.7,11843.0,40.695,80
1,2023-09-26,40.48,41.03,39.03,39.09,20214.0,40.115,134
2,2023-09-27,39.38,39.45,38.43,38.49,38783.0,38.808,310
3,2023-09-28,38.49,39.25,38.49,38.51,26799.0,38.783,225
4,2023-09-29,38.75,39.26,38.75,39.07,18979.0,39.003,142
5,2023-10-02,39.05,39.51,39.0,39.44,14312.0,39.325,106
6,2023-10-03,39.4,40.57,39.35,40.52,17691.0,40.211,129
7,2023-10-04,40.55,40.67,39.8,40.0,17101.0,40.193,130
8,2023-10-05,40.1,40.66,39.66,40.55,19571.0,40.337,132
9,2023-10-06,40.34,41.02,40.01,40.81,10014.0,40.733,73
10,2023-10-09,40.61,40.8,40.0,40.7,6836.0,40.596,38
11,2023-10-10,40.53,41.16,39.87,39.93,15235.0,40.519,107
12,2023-10-11,39.94,40.34,39.69,40.2,18611.0,39.96,125
13,2023-10-12,40.3,40.47,39.43,39.64,10754.0,39.901,59
14,2023-10-13,39.49,40.19,39.49,39.83,18292.0,39.828,119
15,2023-10-16,39.88,40.48,39.48,40.27,7928.0,40.146,58
16,2023-10-17,40.01,40.84,40.01,40.32,14158.0,40.325,104
17,2023-10-18,40.28,40.31,38.83,38.88,15554.0,39.544,116
18,2023-10-19,38.88,39.35,38.3,38.43,21036.0,38.636,172
19,2023-10-20,38.48,38.71,38.18,38.18,17848.0,38.435,124
20,2023-10-23,38.31,38.61,37.31,37.33,14332.0,37.834,113
21,2023-10-24,37.42,38.66,37.42,38.65,17233.0,38.187,97
22,2023-10-25,38.6,38.6,37.9,38.25,25404.0,38.208,147
23,2023-10-26,38.17,38.8,37.78,37.99,9391.0,38.155,60
24,2023-10-27,37.74,38.13,37.48,37.69,12726.0,37.802,65
25,2023-10-30,37.86,38.59,37.8,38.37,18250.0,37.983,77
26,2023-10-31,38.2,38.8,37.47,37.91,24989.0,38.013,172
27,2023-11-01,37.77,38.71,37.39,38.54,24870.0,38.206,160
28,2023-11-02,38.73,40.42,38.73,39.65,24659.0,39.809,144
29,2023-11-03,37.44,40.31,37.44,39.32,13486.0,39.194,82
30,2023-11-06,39.04,39.55,39.04,39.41,6265.0,39.326,50
31,2023-11-07,37.57,38.76,37.52,38.47,15768.0,38.348,76
32,2023-11-08,38.48,38.48,37.1,37.41,39481.0,37.546,292
33,2023-11-09,37.76,37.8,37.0,37.2,16027.0,37.467,88
34,2023-11-10,37.19,37.28,36.78,36.99,30431.0,36.974,225
35,2023-11-13,36.99,37.46,36.94,37.0,10412.0,37.137,79
36,2023-11-14,37.95,38.65,37.87,38.64,15086.0,38.204,100
37,2023-11-15,39.52,40.1,38.65,39.24,56242.0,39.548,330
