,date,open,high,low,close,volume,average,barCount
0,2023-09-25,2.56,2.56,2.51,2.51,7251.0,2.535,45
1,2023-09-26,2.53,2.53,2.35,2.35,14248.0,2.495,74
2,2023-09-27,2.53,2.53,2.42,2.5,30462.0,2.452,92
3,2023-09-28,2.45,2.68,2.44,2.65,23898.0,2.516,91
4,2023-09-29,2.52,2.68,2.52,2.68,22095.0,2.562,106
5,2023-10-02,2.57,2.57,2.41,2.41,20809.0,2.504,96
6,2023-10-03,2.48,2.48,2.39,2.39,24470.0,2.45,143
7,2023-10-04,2.45,2.55,2.43,2.55,18857.0,2.467,107
8,2023-10-05,2.55,2.57,2.44,2.57,11359.0,2.465,57
9,2023-10-06,2.44,2.63,2.41,2.6,43183.0,2.487,168
10,2023-10-09,2.48,2.59,2.46,2.59,32913.0,2.483,115
11,2023-10-10,2.54,2.7,2.5,2.7,20500.0,2.548,69
12,2023-10-11,2.57,2.59,2.55,2.58,14718.0,2.562,80
13,2023-10-12,2.68,2.68,2.49,2.49,5319.0,2.557,33
14,2023-10-13,2.54,2.58,2.45,2.45,27329.0,2.538,90
15,2023-10-16,2.53,2.63,2.53,2.63,10057.0,2.552,34
16,2023-10-17,2.54,2.6,2.52,2.6,9625.0,2.561,38
17,2023-10-18,2.54,2.54,2.46,2.46,12535.0,2.515,63
18,2023-10-19,2.47,2.55,2.47,2.48,3607.0,2.53,32
19,2023-10-20,2.49,2.52,2.48,2.51,3801.0,2.506,16
20,2023-10-23,2.5,2.59,2.5,2.59,7797.0,2.522,33
21,2023-10-24,2.53,2.61,2.51,2.61,34537.0,2.543,75
22,2023-10-25,2.54,2.56,2.47,2.47,5850.0,2.532,37
23,2023-10-26,2.51,2.63,2.51,2.63,12966.0,2.552,60
24,2023-10-27,2.62,2.62,2.51,2.51,4172.0,2.557,24
25,2023-10-30,2.58,2.58,2.47,2.56,6641.0,2.505,36
26,2023-10-31,2.48,2.48,2.39,2.39,5459.0,2.466,30
27,2023-11-01,2.46,2.7,2.46,2.7,10058.0,2.544,53
28,2023-11-02,2.68,2.68,2.6,2.6,20181.0,2.647,41
29,2023-11-03,2.6,2.7,2.6,2.68,19491.0,2.679,51
30,2023-11-06,2.68,2.68,2.6,2.6,26884.0,2.663,44
31,2023-11-07,2.68,2.76,2.6,2.6,21973.0,2.739,81
32,2023-11-08,2.77,2.77,2.7,2.75,19127.0,2.716,70
33,2023-11-09,2.71,2.75,2.61,2.61,14015.0,2.723,91
34,2023-11-10,2.72,2.8,2.65,2.8,11511.0,2.693,56
35,2023-11-13,2.75,2.75,2.65,2.74,19605.0,2.687,84
36,2023-11-14,2.74,2.95,2.73,2.94,13436.0,2.788,69
37,2023-11-15,2.93,2.93,2.73,2.75,17763.0,2.834,45
38,2023-11-16,2.81,2.83,2.74,2.74,37733.0,2.806,129
