,date,open,high,low,close,volume,average,barCount
0,2023-09-25,18.62,18.73,18.35,18.58,26196.0,18.518,190
1,2023-09-26,18.6,18.75,17.92,18.15,52469.0,18.266,286
2,2023-09-27,18.42,18.49,17.94,18.11,75677.0,18.192,600
3,2023-09-28,18.26,18.74,17.83,18.31,30232.0,18.241,203
4,2023-09-29,18.4,18.4,17.99,18.08,16712.0,18.136,133
5,2023-10-02,17.74,17.85,16.97,17.36,17593.0,17.282,149
6,2023-10-03,17.22,17.22,16.19,16.63,53861.0,16.556,388
7,2023-10-04,16.54,17.07,16.5,16.96,33113.0,16.852,251
8,2023-10-05,16.72,17.0,16.54,16.93,31021.0,16.813,196
9,2023-10-06,16.75,17.42,16.55,17.4,20780.0,17.046,156
10,2023-10-09,17.16,17.81,17.12,17.71,29224.0,17.665,169
11,2023-10-10,17.61,18.04,17.27,17.9,10832.0,17.862,89
12,2023-10-11,17.9,18.13,17.31,17.44,8325.0,17.627,73
13,2023-10-12,17.15,17.25,16.83,17.1,16123.0,17.058,139
14,2023-10-13,17.08,17.21,16.33,16.39,42924.0,16.597,316
15,2023-10-16,16.4,16.99,16.15,16.9,45856.0,16.716,347
16,2023-10-17,16.65,17.2,16.59,17.2,22780.0,16.897,180
17,2023-10-18,16.91,17.05,16.61,16.63,8820.0,16.764,77
18,2023-10-19,16.53,16.83,16.45,16.58,12624.0,16.616,102
19,2023-10-20,16.75,16.75,16.25,16.31,17231.0,16.455,79
20,2023-10-23,16.25,16.63,15.9,16.05,30173.0,16.249,221
21,2023-10-24,16.31,16.31,15.42,15.72,28595.0,15.707,185
22,2023-10-25,15.6,15.6,15.05,15.09,23759.0,15.296,133
23,2023-10-26,15.26,15.26,14.44,14.5,19974.0,14.622,149
24,2023-10-27,14.52,14.52,14.0,14.16,37777.0,14.148,296
25,2023-10-30,14.3,14.91,14.12,14.84,83678.0,14.526,596
26,2023-10-31,14.57,14.74,14.07,14.22,48951.0,14.23,370
27,2023-11-01,14.1,14.9,14.1,14.59,46171.0,14.48,404
28,2023-11-02,14.92,15.19,14.69,14.89,28860.0,14.843,228
29,2023-11-03,15.27,17.04,15.18,16.69,31394.0,16.384,244
30,2023-11-06,16.5,16.57,16.0,16.07,21911.0,16.147,182
31,2023-11-07,15.88,15.9,15.63,15.89,10584.0,15.805,82
32,2023-11-08,15.98,16.29,15.86,16.29,16962.0,16.117,125
33,2023-11-09,16.51,16.72,15.72,15.88,20252.0,16.121,151
34,2023-11-10,16.05,16.05,15.4,15.5,31728.0,15.512,270
35,2023-11-13,15.5,15.56,15.23,15.37,49011.0,15.421,343
36,2023-11-14,15.94,16.94,15.83,16.92,45174.0,16.544,376
37,2023-11-15,16.99,17.17,16.54,16.68,14236.0,16.746,118
38,2023-11-16,16.67,16.67,16.36,16.52,12407.0,16.452,107
39,2023-11-17,16.58,16.73,16.09,16.21,27301.0,16.463,116
40,2023-11-20,16.12,16.45,15.93,16.23,12726.0,16.202,86
41,2023-11-21,16.34,16.66,16.11,16.35,23226.0,16.357,191
42,2023-11-22,16.58,16.58,16.22,16.47,12808.0,16.386,85
43,2023-11-24,16.61,16.67,16.47,16.67,1900.0,16.622,19
44,2023-11-27,16.64,16.64,16.32,16.53,5414.0,16.496,47
45,2023-11-28,16.61,16.9,16.5,16.73,21367.0,16.746,142
46,2023-11-29,17.57,17.57,16.92,17.4,20682.0,17.256,118
47,2023-11-30,17.39,18.72,17.39,18.2,40914.0,18.048,291
48,2023-12-01,18.36,19.68,18.28,19.57,50218.0,19.149,408
49,2023-12-04,19.54,19.84,19.29,19.45,12139.0,19.514,108
50,2023-12-05,19.48,19.57,19.11,19.26,13709.0,19.311,116
51,2023-12-06,19.54,20.07,19.51,19.61,11817.0,19.705,105
52,2023-12-07,19.57,19.64,19.31,19.56,14957.0,19.497,118
53,2023-12-08,19.59,19.8,19.36,19.51,13259.0,19.576,119
54,2023-12-11,19.56,19.79,19.5,19.69,56136.0,19.551,305
55,2023-12-12,19.79,19.89,19.56,19.8,12980.0,19.721,99
56,2023-12-13,19.69,21.03,19.6,20.93,31718.0,20.614,266
57,2023-12-14,21.4,22.46,21.32,22.46,27075.0,22.072,199
58,2023-12-15,23.05,23.05,22.11,22.53,80778.0,22.814,262
59,2023-12-18,22.64,22.77,21.93,22.32,14892.0,22.342,141
60,2023-12-19,22.47,22.57,22.03,22.17,30734.0,22.221,276
61,2023-12-20,22.24,22.3,21.55,21.85,34460.0,22.007,277
62,2023-12-21,22.06,22.65,22.06,22.61,11854.0,22.439,106
63,2023-12-22,22.6,23.41,22.58,23.16,26083.0,23.102,206
64,2023-12-26,23.14,24.0,23.14,23.72,13242.0,23.767,118
65,2023-12-27,23.92,24.12,23.36,23.7,14522.0,23.707,124
66,2023-12-28,23.4,23.92,23.32,23.48,15305.0,23.639,102
67,2023-12-29,23.58,23.58,23.01,23.28,13673.0,23.35,100
68,2024-01-02,23.0,23.08,22.3,22.81,21849.0,22.653,169
69,2024-01-03,22.78,22.86,22.01,22.04,20163.0,22.347,163
70,2024-01-04,22.36,22.36,21.68,21.81,18482.0,21.917,146
71,2024-01-05,21.52,22.14,21.52,21.96,30858.0,21.913,230
72,2024-01-08,21.78,22.09,21.64,21.92,20875.0,21.816,155
73,2024-01-09,21.52,22.0,21.38,21.7,10079.0,21.747,83
74,2024-01-10,21.52,21.73,21.34,21.68,5766.0,21.557,47
75,2024-01-11,21.46,21.64,21.08,21.44,15378.0,21.33,123
76,2024-01-12,21.92,21.92,21.07,21.34,9207.0,21.393,77
77,2024-01-16,21.28,21.65,21.28,21.51,10074.0,21.43,86
78,2024-01-17,21.08,21.62,21.08,21.49,8575.0,21.398,53
79,2024-01-18,21.47,22.04,21.37,21.98,8361.0,21.733,69
80,2024-01-19,22.25,22.61,21.72,22.51,14935.0,22.359,101
81,2024-01-22,22.43,23.01,22.43,23.01,6764.0,22.699,37
82,2024-01-23,23.3,23.3,22.42,22.82,16286.0,22.79,125
83,2024-01-24,23.21,23.21,22.61,22.69,5157.0,22.8,42
84,2024-01-25,23.2,23.2,22.73,22.97,12095.0,22.939,90
85,2024-01-26,23.24,23.25,22.76,23.13,3995.0,23.135,29
86,2024-01-29,23.01,23.89,22.71,23.69,33844.0,23.669,178
87,2024-01-30,23.5,23.71,23.36,23.67,4955.0,23.55,39
88,2024-01-31,23.76,23.9,22.92,22.97,20542.0,23.255,173
89,2024-02-01,23.33,23.92,22.91,23.92,7649.0,23.495,69
