,date,open,high,low,close,volume,average,barCount
0,2023-10-06,32.24,32.66,31.53,32.1,1509346.0,32.295,9253
1,2023-10-09,31.66,31.73,30.75,31.04,2997203.0,31.084,18381
2,2023-10-10,31.3,32.07,31.04,31.45,1552833.0,31.591,10551
3,2023-10-11,31.4,31.85,30.72,31.11,2002339.0,31.088,14286
4,2023-10-12,31.17,31.17,30.08,30.75,1777157.0,30.46,12101
5,2023-10-13,30.64,30.64,30.03,30.2,1412365.0,30.242,8429
6,2023-10-16,30.54,31.55,30.42,31.38,1888138.0,31.227,13099
7,2023-10-17,31.47,32.71,31.47,32.6,2045105.0,32.427,12043
8,2023-10-18,32.17,32.74,32.0,32.02,1271852.0,32.274,8640
9,2023-10-19,32.03,32.31,30.54,30.71,1953144.0,31.051,13094
10,2023-10-20,30.88,31.12,30.14,31.1,2338198.0,30.742,15737
11,2023-10-23,30.76,30.76,29.51,29.56,4104778.0,29.882,23624
12,2023-10-24,28.9,29.3,28.38,28.84,3512735.0,28.833,20240
13,2023-10-25,28.76,28.91,27.87,28.12,1903661.0,28.186,11445
14,2023-10-26,27.5,28.87,27.3,28.69,2393184.0,28.405,15504
15,2023-10-27,28.72,29.44,28.14,28.29,1914831.0,28.767,11739
16,2023-10-30,28.38,29.38,28.3,29.18,1660573.0,28.995,10485
17,2023-10-31,29.25,29.83,28.9,29.65,1679635.0,29.551,11278
18,2023-11-01,29.81,29.89,29.05,29.71,1632430.0,29.443,11194
19,2023-11-02,30.45,30.86,30.35,30.67,1850286.0,30.58,11498
20,2023-11-03,31.3,32.78,31.15,32.59,2889476.0,32.394,16486
21,2023-11-06,32.45,32.84,31.3,31.5,1884621.0,31.659,13407
22,2023-11-07,31.42,31.98,31.42,31.54,1129355.0,31.65,7678
23,2023-11-08,31.46,32.22,31.31,31.6,1697772.0,31.719,11926
24,2023-11-09,31.81,31.81,30.64,30.77,1364852.0,31.046,8931
25,2023-11-10,30.98,31.09,30.36,31.04,1891414.0,30.803,12182
26,2023-11-13,30.75,30.91,29.47,29.73,2512235.0,29.83,14859
27,2023-11-14,30.84,32.23,30.74,31.51,3371707.0,31.691,22032
28,2023-11-15,32.2,33.41,32.1,32.5,3945829.0,32.784,24973
29,2023-11-16,30.87,32.91,30.02,30.1,3420390.0,30.665,21811
30,2023-11-17,30.48,30.75,29.04,29.36,4261368.0,29.525,26159
31,2023-11-20,29.71,29.79,28.81,29.06,3919764.0,29.128,21268
32,2023-11-21,28.61,29.77,28.53,29.67,2827474.0,29.432,15266
33,2023-11-22,29.71,29.87,29.4,29.61,2213963.0,29.632,14177
34,2023-11-24,29.71,30.19,29.68,30.03,1052069.0,29.949,6984
35,2023-11-27,29.9,30.41,29.73,30.33,1827217.0,30.221,11833
36,2023-11-28,30.23,31.31,30.09,31.27,1583419.0,31.038,10732
37,2023-11-29,31.5,32.47,31.34,32.05,2540475.0,32.12,17182
38,2023-11-30,32.17,32.86,31.85,32.62,1766223.0,32.533,11068
39,2023-12-01,32.83,33.92,32.49,33.89,1967561.0,33.552,12279
40,2023-12-04,33.67,36.92,33.67,36.9,4955424.0,36.144,24731
41,2023-12-05,36.39,36.81,35.0,35.25,2344748.0,35.463,15102
42,2023-12-06,35.75,37.16,35.61,36.99,3757996.0,36.854,21949
43,2023-12-07,36.99,37.3,36.35,37.01,2245112.0,36.946,13878
44,2023-12-08,36.99,37.68,36.91,37.57,1929819.0,37.49,12830
45,2023-12-11,38.0,39.18,37.8,38.79,2575366.0,38.716,17000
46,2023-12-12,38.53,39.41,38.4,38.79,1463387.0,38.968,9338
47,2023-12-13,38.5,40.3,38.02,40.16,2610032.0,39.137,16180
48,2023-12-14,41.77,42.17,40.81,41.71,2406964.0,41.466,15472
49,2023-12-15,41.88,41.96,40.92,41.24,1564993.0,41.376,8945
50,2023-12-18,41.35,41.87,40.53,41.45,1918348.0,41.494,13627
51,2023-12-19,41.79,42.71,41.33,42.49,1478398.0,42.368,10350
52,2023-12-20,42.18,43.4,41.97,42.11,1876345.0,42.531,12799
53,2023-12-21,42.74,43.75,42.49,43.72,1694264.0,43.328,11338
54,2023-12-22,43.25,44.07,42.78,43.09,1952971.0,43.264,13196
55,2023-12-26,43.19,43.46,42.41,42.51,1955663.0,42.658,13568
56,2023-12-27,42.5,42.86,42.2,42.71,1504779.0,42.5,11348
57,2023-12-28,42.63,43.24,42.63,43.13,1131225.0,43.033,7873
58,2023-12-29,42.95,43.68,42.95,43.16,1203922.0,43.337,7806
59,2024-01-02,42.62,44.98,42.6,44.75,2945871.0,44.27,19946
