,date,open,high,low,close,volume,average,barCount
0,2023-10-06,37.16,37.55,36.54,37.32,2279583.0,37.179,14559
1,2023-10-09,37.12,37.74,37.12,37.67,1494086.0,37.494,9271
2,2023-10-10,37.69,38.26,37.57,38.02,1811237.0,37.958,12283
3,2023-10-11,38.13,38.43,37.98,38.4,1513014.0,38.164,9014
4,2023-10-12,38.33,38.46,37.56,37.87,1539476.0,37.902,9568
5,2023-10-13,38.07,38.26,37.75,37.84,1187863.0,38.004,7907
6,2023-10-16,37.99,38.72,37.75,38.58,1422393.0,38.408,7989
7,2023-10-17,38.49,38.72,38.22,38.39,1253883.0,38.405,7134
8,2023-10-18,38.13,38.17,37.4,37.4,1020689.0,37.688,6598
9,2023-10-19,37.4,37.96,37.36,37.54,1385642.0,37.626,9262
10,2023-10-20,37.52,37.65,36.93,36.93,1133433.0,37.231,6745
11,2023-10-23,36.77,37.71,36.62,37.37,1744454.0,37.337,9952
12,2023-10-24,37.54,37.76,37.34,37.54,1468352.0,37.547,8704
13,2023-10-25,37.41,37.6,37.09,37.12,1565888.0,37.316,10396
14,2023-10-26,36.91,37.26,36.85,37.13,1597588.0,37.081,9910
15,2023-10-27,37.22,37.22,36.59,36.65,1505276.0,36.794,9866
16,2023-10-30,36.91,37.42,36.84,37.28,1770898.0,37.163,8650
17,2023-10-31,37.26,37.46,37.1,37.13,1239075.0,37.261,7276
18,2023-11-01,37.32,37.99,37.1,37.86,1966669.0,37.61,11994
19,2023-11-02,38.4,39.15,37.76,39.06,1851855.0,38.803,11978
20,2023-11-03,39.5,40.03,39.18,39.88,1491871.0,39.731,9198
21,2023-11-06,39.8,39.97,39.48,39.57,942890.0,39.677,5467
22,2023-11-07,39.32,39.36,38.89,38.94,1157354.0,39.083,7707
23,2023-11-08,38.84,39.03,38.51,38.64,873069.0,38.69,5203
24,2023-11-09,38.8,39.03,38.55,38.65,934207.0,38.791,6417
25,2023-11-10,38.77,38.77,38.2,38.5,1035411.0,38.436,6267
26,2023-11-13,38.35,38.86,38.13,38.55,907057.0,38.613,4761
27,2023-11-14,39.0,39.67,39.0,39.49,1241314.0,39.448,7861
28,2023-11-15,39.62,39.76,39.46,39.5,958966.0,39.55,5906
29,2023-11-16,39.42,39.56,39.25,39.39,846029.0,39.365,4874
30,2023-11-17,39.59,39.7,39.32,39.5,852606.0,39.519,4756
31,2023-11-20,39.42,39.58,39.25,39.47,1058567.0,39.458,5926
32,2023-11-21,39.43,39.73,39.28,39.37,976459.0,39.44,4971
33,2023-11-22,39.41,39.44,39.22,39.28,1265154.0,39.305,6874
34,2023-11-24,39.52,39.7,39.36,39.68,492851.0,39.604,2683
35,2023-11-27,39.53,39.62,39.32,39.33,1627377.0,39.428,8868
36,2023-11-28,39.3,39.51,39.15,39.24,982466.0,39.301,5806
37,2023-11-29,39.28,39.39,39.01,39.1,933596.0,39.183,5202
38,2023-11-30,39.18,39.44,38.94,39.39,1219144.0,39.276,6645
39,2023-12-01,39.53,40.42,39.5,40.31,1557736.0,40.148,8766
40,2023-12-04,40.0,40.64,39.98,40.6,1313881.0,40.46,7139
41,2023-12-05,40.47,40.83,40.4,40.47,1235622.0,40.588,6831
42,2023-12-06,40.71,41.33,40.67,40.69,1192218.0,40.949,6794
43,2023-12-07,40.75,40.92,40.4,40.76,1228348.0,40.707,6595
44,2023-12-08,40.76,40.85,40.54,40.61,1091783.0,40.65,5614
45,2023-12-11,40.68,40.81,40.26,40.39,1407429.0,40.387,6108
46,2023-12-12,40.37,40.47,39.97,40.23,1181344.0,40.145,6060
47,2023-12-13,40.24,41.07,40.01,40.98,1601341.0,40.575,8480
48,2023-12-14,40.42,40.66,39.95,40.07,2071492.0,40.24,11047
49,2023-12-15,40.27,40.37,38.64,38.69,1875912.0,39.228,9736
50,2023-12-18,38.91,39.04,38.52,38.55,1895039.0,38.638,9470
51,2023-12-19,38.65,38.85,38.42,38.51,1775912.0,38.567,9467
52,2023-12-20,38.51,38.77,38.18,38.3,1807780.0,38.472,9393
53,2023-12-21,38.65,38.84,38.39,38.73,1782667.0,38.65,10172
54,2023-12-22,38.83,39.2,38.61,38.77,1420333.0,38.856,7104
55,2023-12-26,38.7,38.98,38.56,38.95,849846.0,38.85,3737
56,2023-12-27,38.8,39.14,38.8,38.97,1640285.0,38.961,8650
57,2023-12-28,38.94,39.27,38.94,39.15,1107641.0,39.123,5521
58,2023-12-29,39.05,39.42,38.91,39.38,1591288.0,39.325,7862
59,2024-01-02,39.21,40.42,39.18,40.38,1575726.0,40.159,8622
60,2024-01-03,40.59,40.81,40.44,40.63,1309938.0,40.628,7752
61,2024-01-04,40.74,40.85,40.33,40.65,1242556.0,40.647,7058
62,2024-01-05,40.64,41.06,40.44,40.79,1047110.0,40.789,6508
63,2024-01-08,40.75,41.0,40.7,40.91,1685694.0,40.873,9127
64,2024-01-09,40.8,40.8,40.31,40.58,1044498.0,40.494,6007
65,2024-01-10,40.64,40.93,40.5,40.9,986072.0,40.738,5561
66,2024-01-11,40.96,41.03,40.36,40.69,1785555.0,40.641,11093
67,2024-01-12,40.94,41.3,40.81,40.89,1212101.0,41.007,6668
68,2024-01-16,40.85,41.49,40.71,41.42,1667209.0,41.17,9158
69,2024-01-17,41.1,41.42,40.95,41.32,1776516.0,41.242,10800
70,2024-01-18,41.47,41.52,41.13,41.51,1732104.0,41.345,9631
71,2024-01-19,41.61,41.77,41.41,41.68,1403710.0,41.627,7776
72,2024-01-22,41.76,41.77,40.91,40.93,1850667.0,41.171,10234
73,2024-01-23,41.06,41.26,40.85,41.16,1382096.0,41.07,7935
74,2024-01-24,41.29,41.52,40.6,40.67,1429018.0,40.951,8231
75,2024-01-25,40.85,41.0,40.4,40.5,1168093.0,40.6,7046
76,2024-01-26,40.56,40.82,40.56,40.75,961265.0,40.698,5585
77,2024-01-29,40.75,41.15,40.51,41.12,1340646.0,40.896,7362
78,2024-01-30,41.0,41.11,40.67,40.77,1278441.0,40.841,7390
79,2024-01-31,40.81,40.99,40.22,40.35,1172312.0,40.581,7265
80,2024-02-01,40.5,40.92,40.38,40.88,1438348.0,40.744,8718
81,2024-02-02,40.5,40.5,38.94,39.55,2500356.0,39.471,14772
82,2024-02-05,39.3,39.33,38.83,39.01,1609139.0,39.031,8946
83,2024-02-06,38.99,39.67,38.86,39.63,1320970.0,39.376,8673
84,2024-02-07,39.67,39.73,39.22,39.39,1704252.0,39.377,9371
85,2024-02-08,38.82,38.82,37.41,37.95,3892091.0,37.848,26807
86,2024-02-09,37.95,38.14,37.28,37.53,3259212.0,37.592,20284
87,2024-02-12,37.5,38.21,37.43,38.0,1804454.0,37.858,11243
88,2024-02-13,37.8,37.88,36.81,37.09,1982867.0,37.195,12118
89,2024-02-14,37.25,37.51,37.24,37.45,455118.0,37.405,3169
