,date,open,high,low,close,volume,average,barCount
0,2023-10-06,71.47,73.16,71.47,72.73,151538.0,72.32,933
1,2023-10-09,72.08,73.67,72.06,73.16,81344.0,72.954,379
2,2023-10-10,73.66,74.8,73.48,73.5,54111.0,74.15,427
3,2023-10-11,73.45,75.45,64.15,69.66,1370977.0,69.764,8104
4,2023-10-12,70.65,71.22,69.74,71.07,132258.0,70.62,1027
5,2023-10-13,71.05,71.38,69.59,70.38,109418.0,70.225,890
6,2023-10-16,71.94,72.69,71.24,72.04,93383.0,72.303,668
7,2023-10-17,71.7,72.81,71.13,71.18,95078.0,71.947,639
8,2023-10-18,70.59,71.74,70.15,70.46,74218.0,70.825,535
9,2023-10-19,70.05,70.6,68.66,68.85,88069.0,69.388,588
10,2023-10-20,68.97,69.45,67.23,67.57,104786.0,68.186,687
11,2023-10-23,67.65,68.22,67.23,67.72,69037.0,67.699,542
12,2023-10-24,68.02,69.52,67.67,69.07,120665.0,68.708,910
13,2023-10-25,68.41,69.28,67.61,67.66,101891.0,68.521,751
14,2023-10-26,68.32,68.4,66.22,66.27,152184.0,66.986,1058
15,2023-10-27,66.29,66.29,64.97,65.71,103966.0,65.576,797
16,2023-10-30,66.43,66.97,66.06,66.71,64514.0,66.611,532
17,2023-10-31,66.71,66.99,66.21,66.86,42298.0,66.725,320
18,2023-11-01,66.53,67.03,65.97,66.7,66545.0,66.565,454
19,2023-11-02,66.9,68.02,66.73,67.92,83134.0,67.377,629
20,2023-11-03,70.32,71.74,69.0,70.91,100402.0,70.861,734
21,2023-11-06,70.58,71.61,69.91,70.64,137085.0,70.639,1023
22,2023-11-07,71.69,77.0,70.9,75.17,360445.0,74.71,2831
23,2023-11-08,74.27,74.58,72.74,73.1,102022.0,73.474,803
24,2023-11-09,74.0,74.49,72.68,73.19,102715.0,73.459,809
25,2023-11-10,73.24,74.6,73.24,74.13,61638.0,74.006,470
26,2023-11-13,73.98,74.91,73.1,73.62,76496.0,73.853,664
27,2023-11-14,75.7,77.44,75.43,77.31,102474.0,76.962,670
28,2023-11-15,77.25,78.27,76.23,76.49,115470.0,76.866,739
29,2023-11-16,76.26,76.37,75.41,75.73,69957.0,75.871,569
30,2023-11-17,76.39,78.15,76.39,77.45,145268.0,77.304,893
31,2023-11-20,77.39,78.35,76.96,78.04,80015.0,78.031,498
32,2023-11-21,77.84,78.26,76.93,77.11,76357.0,77.39,547
33,2023-11-22,77.48,78.18,77.15,77.78,69191.0,77.677,409
34,2023-11-24,77.07,78.82,77.07,78.58,78378.0,78.47,421
35,2023-11-27,77.99,79.07,77.99,78.75,94585.0,78.678,576
36,2023-11-28,78.49,78.75,77.84,78.27,70716.0,78.305,480
37,2023-11-29,79.06,79.31,78.32,78.4,81149.0,78.827,541
38,2023-11-30,78.53,79.09,78.13,78.9,68116.0,78.761,449
39,2023-12-01,79.1,82.57,78.82,82.33,226917.0,81.47,1232
40,2023-12-04,81.92,84.06,81.92,83.54,164459.0,83.485,1092
41,2023-12-05,83.22,83.89,82.86,83.23,100074.0,83.374,728
42,2023-12-06,83.47,84.98,83.05,83.24,131251.0,84.076,839
43,2023-12-07,84.19,85.42,83.31,83.86,141463.0,84.17,1007
44,2023-12-08,85.16,85.51,83.85,84.23,121475.0,84.572,926
45,2023-12-11,85.05,85.7,84.78,85.15,123487.0,85.204,783
46,2023-12-12,85.39,85.99,84.44,84.6,57677.0,84.942,395
47,2023-12-13,84.94,87.19,84.0,86.76,83368.0,85.863,649
48,2023-12-14,87.94,88.95,87.43,88.03,139817.0,87.973,981
49,2023-12-15,88.33,88.76,85.96,86.76,234075.0,87.629,1019
50,2023-12-18,87.83,88.06,85.91,86.0,164549.0,86.586,1015
51,2023-12-19,87.05,87.63,86.35,87.37,98884.0,87.035,747
52,2023-12-20,87.07,88.86,86.84,87.15,167193.0,87.857,1046
53,2023-12-21,88.6,89.21,88.01,88.12,123411.0,88.473,949
54,2023-12-22,88.91,89.73,87.88,87.98,156831.0,88.456,1194
55,2023-12-26,88.06,89.27,87.85,88.78,71330.0,88.76,518
56,2023-12-27,89.35,90.13,88.96,89.33,85467.0,89.313,534
57,2023-12-28,89.08,89.4,88.7,88.77,40379.0,88.992,335
58,2023-12-29,88.71,88.97,87.94,87.95,88091.0,88.27,654
59,2024-01-02,87.63,88.06,85.85,86.26,81301.0,86.394,639
60,2024-01-03,85.6,85.6,83.16,83.21,61101.0,83.92,519
61,2024-01-04,83.28,83.89,82.59,82.81,64947.0,83.082,450
62,2024-01-05,82.33,84.11,82.33,82.48,58779.0,82.953,469
63,2024-01-08,82.91,84.04,82.74,83.95,70344.0,83.576,542
64,2024-01-09,82.78,83.08,82.07,82.5,67397.0,82.495,495
65,2024-01-10,82.41,83.05,82.2,82.6,48768.0,82.561,400
66,2024-01-11,82.17,82.3,80.94,81.86,81968.0,81.623,706
67,2024-01-12,83.0,83.0,80.52,81.22,103223.0,81.173,908
68,2024-01-16,80.4,80.86,79.77,80.45,76502.0,80.34,554
69,2024-01-17,79.17,80.97,79.17,80.81,46829.0,80.484,351
70,2024-01-18,81.33,81.89,80.47,81.44,83082.0,81.157,493
71,2024-01-19,81.78,82.08,80.56,81.88,72596.0,81.55,393
72,2024-01-22,82.86,83.47,82.09,83.35,83237.0,82.807,653
73,2024-01-23,84.23,84.73,82.78,83.04,60014.0,83.571,378
74,2024-01-24,84.15,84.15,81.95,82.04,62630.0,82.739,427
75,2024-01-25,83.29,83.33,81.36,82.42,110591.0,82.21,537
76,2024-01-26,83.09,83.49,82.14,82.55,72843.0,82.737,528
77,2024-01-29,82.63,83.06,81.9,82.63,77749.0,82.573,548
78,2024-01-30,82.09,82.67,81.95,82.0,48289.0,82.221,398
79,2024-01-31,82.25,83.03,80.8,80.84,137456.0,81.76,1025
80,2024-02-01,81.07,82.97,80.86,82.4,82462.0,82.139,527
81,2024-02-02,81.2,81.3,79.32,80.46,100603.0,80.288,835
82,2024-02-05,79.72,80.14,79.03,79.4,50853.0,79.596,420
83,2024-02-06,79.14,80.52,79.14,80.31,162169.0,80.19,842
84,2024-02-07,80.34,80.45,79.22,79.34,46846.0,79.923,372
85,2024-02-08,79.64,81.49,79.21,81.47,76663.0,80.789,511
86,2024-02-09,81.64,82.73,81.45,82.55,92181.0,82.346,587
87,2024-02-12,82.62,83.15,82.49,82.84,71207.0,82.773,498
88,2024-02-13,80.07,81.43,79.19,79.53,149570.0,80.302,1218
89,2024-02-14,80.66,80.66,80.0,80.29,9617.0,80.358,72
