,date,open,high,low,close,volume,average,barCount
0,2023-10-06,6.45,6.57,6.305,6.32,920206.0,6.40402,5315
1,2023-10-09,6.31,6.34,6.11,6.15,935211.0,6.18606,5413
2,2023-10-10,6.1,6.42,6.06,6.4,1122347.0,6.29644,6340
3,2023-10-11,6.38,6.47,6.2,6.4,1125027.0,6.34707,6534
4,2023-10-12,6.32,6.35,5.97,5.98,1517685.0,6.09195,8173
5,2023-10-13,5.93,6.071,5.81,5.94,1389494.0,5.95579,7817
6,2023-10-16,5.93,5.98,5.72,5.94,2128237.0,5.87556,7684
7,2023-10-17,5.9,6.1775,5.83,5.86,3028022.0,5.96945,12379
8,2023-10-18,5.82,6.01,5.72,5.86,1478905.0,5.85627,7609
9,2023-10-19,5.8,5.85,5.545,5.72,1289320.0,5.69935,6481
10,2023-10-20,5.74,5.98,5.68,5.88,987310.0,5.8493,5255
11,2023-10-23,5.7,5.94,5.64,5.76,1275975.0,5.82375,6056
12,2023-10-24,5.83,5.885,5.645,5.7,1488535.0,5.71877,7761
13,2023-10-25,5.61,5.685,5.4,5.47,1374387.0,5.50578,7861
14,2023-10-26,5.51,5.58,5.38,5.46,1764568.0,5.46906,9960
15,2023-10-27,5.55,5.55,5.23,5.31,2195104.0,5.31241,8249
16,2023-10-30,5.35,5.49,5.33,5.49,2009010.0,5.41745,11756
17,2023-10-31,5.45,5.56,5.42,5.49,1537335.0,5.48981,7120
18,2023-11-01,5.49,5.74,5.4356,5.73,1870795.0,5.60404,9269
19,2023-11-02,5.92,5.93,5.21,5.64,3821860.0,5.58827,19196
20,2023-11-03,5.81,6.585,5.77,6.04,4460787.0,6.2527,21542
21,2023-11-06,6.18,6.27,5.92,5.93,2448526.0,6.01637,12715
22,2023-11-07,5.86,6.21,5.86,6.07,1654533.0,6.09388,8510
23,2023-11-08,6.05,6.05,5.42,5.47,2282216.0,5.59332,9201
24,2023-11-09,5.5,5.5,4.985,5.01,2527633.0,5.16088,11262
25,2023-11-10,5.05,5.0899,4.825,4.98,2958685.0,4.94367,12239
26,2023-11-13,4.97,5.16,4.88,5.15,1623575.0,5.05124,8710
27,2023-11-14,5.35,5.44,5.15,5.32,3000442.0,5.26279,16281
