,date,open,high,low,close,volume,average,barCount
0,2023-10-06,7.55,7.7,7.49,7.66,9596780.0,7.607,10425
1,2023-10-09,7.48,7.55,7.45,7.52,7767443.0,7.499,9830
2,2023-10-10,7.76,7.8,7.73,7.76,7946627.0,7.764,11144
3,2023-10-11,7.83,7.87,7.75,7.82,8067957.0,7.806,9715
4,2023-10-12,7.58,7.59,7.39,7.43,13098408.0,7.466,17178
5,2023-10-13,7.49,7.56,7.4,7.41,9669950.0,7.459,13566
6,2023-10-16,7.5,7.55,7.43,7.54,9729223.0,7.504,11525
7,2023-10-17,7.52,7.65,7.51,7.59,8997010.0,7.586,10522
8,2023-10-18,7.48,7.48,7.34,7.35,12565379.0,7.403,14363
9,2023-10-19,7.22,7.34,7.16,7.18,14415027.0,7.246,16630
10,2023-10-20,7.19,7.2,7.04,7.07,13332369.0,7.096,14717
11,2023-10-23,7.04,7.14,7.01,7.02,13803605.0,7.067,13267
12,2023-10-24,6.51,6.58,6.31,6.53,18646783.0,6.482,28724
13,2023-10-25,6.46,6.54,6.4,6.51,11968987.0,6.484,16101
14,2023-10-26,6.43,6.47,6.36,6.42,13516864.0,6.424,16729
15,2023-10-27,6.35,6.36,6.23,6.24,14966461.0,6.282,17401
16,2023-10-30,6.38,6.42,6.32,6.42,15719035.0,6.368,17145
17,2023-10-31,6.43,6.46,6.38,6.43,12658045.0,6.424,13524
18,2023-11-01,6.34,6.39,6.27,6.33,13078153.0,6.331,14397
19,2023-11-02,6.48,6.6,6.48,6.6,11860887.0,6.52,13637
20,2023-11-03,6.71,6.82,6.71,6.78,13647913.0,6.773,15341
21,2023-11-06,6.86,6.87,6.73,6.75,13339829.0,6.778,14280
22,2023-11-07,6.72,6.74,6.67,6.69,6107477.0,6.7,7762
23,2023-11-08,6.7,6.75,6.67,6.68,8699423.0,6.705,10498
24,2023-11-09,6.74,6.78,6.64,6.66,11674049.0,6.719,12480
25,2023-11-10,6.63,6.73,6.58,6.71,12872479.0,6.65,13468
26,2023-11-13,6.7,6.75,6.68,6.71,8114297.0,6.716,9335
27,2023-11-14,6.84,6.96,6.83,6.91,11285540.0,6.908,12104
28,2023-11-15,7.02,7.05,6.98,6.99,12540742.0,7.017,13462
29,2023-11-16,6.93,6.96,6.91,6.94,13045310.0,6.936,12702
30,2023-11-17,7.11,7.22,7.08,7.2,10486115.0,7.151,11963
31,2023-11-20,7.13,7.18,7.12,7.18,9424055.0,7.155,10156
32,2023-11-21,7.12,7.18,7.09,7.13,8170991.0,7.141,11436
33,2023-11-22,7.06,7.08,7.03,7.07,13104371.0,7.054,14403
34,2023-11-24,7.16,7.24,7.14,7.22,4918793.0,7.205,5824
35,2023-11-27,7.19,7.2,7.1,7.14,15269276.0,7.146,15523
36,2023-11-28,7.15,7.18,7.11,7.16,8039475.0,7.155,8390
37,2023-11-29,7.15,7.28,7.14,7.22,16700391.0,7.211,17124
38,2023-11-30,7.22,7.26,7.16,7.22,17748416.0,7.227,18489
39,2023-12-01,7.22,7.42,7.2,7.4,17642226.0,7.334,19035
40,2023-12-04,7.28,7.36,7.06,7.08,34534620.0,7.231,40339
41,2023-12-05,7.11,7.13,7.02,7.04,19278210.0,7.082,26250
42,2023-12-06,7.1,7.2,7.06,7.07,18366570.0,7.131,20538
