,date,open,high,low,close,volume,average,barCount
0,2023-10-06,8.16,8.28,7.99,8.11,2141935.0,8.089,9143
1,2023-10-09,8.0,8.02,7.23,7.65,5557671.0,7.534,21248
2,2023-10-10,7.74,7.88,7.58,7.78,2013005.0,7.783,7148
3,2023-10-11,7.75,7.78,7.26,7.39,3294235.0,7.418,12805
4,2023-10-12,7.39,7.45,7.26,7.29,1447782.0,7.349,6200
5,2023-10-13,7.3,7.3,7.08,7.14,1745256.0,7.174,7306
6,2023-10-16,7.13,7.96,7.09,7.39,2963452.0,7.463,12564
7,2023-10-17,7.34,7.78,7.34,7.77,2109665.0,7.647,7649
8,2023-10-18,7.7,7.85,7.61,7.76,1429873.0,7.719,6361
9,2023-10-19,7.66,7.76,7.3,7.34,1809867.0,7.47,7324
10,2023-10-20,7.33,7.4,7.25,7.32,1179287.0,7.331,5076
11,2023-10-23,7.25,7.29,7.01,7.04,1447146.0,7.161,6381
12,2023-10-24,7.06,7.25,7.04,7.15,1443831.0,7.161,6999
13,2023-10-25,7.13,7.13,6.87,6.91,1390586.0,6.982,5683
14,2023-10-26,6.86,6.93,6.68,6.73,1651981.0,6.773,7684
15,2023-10-27,6.69,6.7,6.53,6.57,1671407.0,6.592,6708
16,2023-10-30,6.65,6.73,6.54,6.69,1729303.0,6.658,7583
17,2023-10-31,6.72,6.83,6.55,6.82,1690022.0,6.716,8649
18,2023-11-01,6.78,7.45,6.68,7.08,8318073.0,7.133,36935
19,2023-11-02,7.35,7.46,6.82,7.34,5435721.0,7.271,18859
20,2023-11-03,7.42,7.7,7.42,7.57,3348098.0,7.602,14182
21,2023-11-06,7.61,7.65,7.4,7.45,1361568.0,7.502,6656
22,2023-11-07,7.37,7.43,7.23,7.25,1296946.0,7.291,5654
23,2023-11-08,7.25,7.3,7.15,7.17,1261000.0,7.212,5222
24,2023-11-09,7.19,7.2,6.82,6.84,2266160.0,6.918,8869
25,2023-11-10,6.86,6.87,6.7,6.81,1358890.0,6.789,5628
26,2023-11-13,6.71,6.79,6.53,6.53,1369748.0,6.648,5975
27,2023-11-14,6.75,6.89,6.65,6.79,2204950.0,6.777,7298
28,2023-11-15,6.81,7.11,6.81,6.94,1011418.0,6.993,4088
29,2023-11-16,6.92,6.92,6.56,6.56,1329994.0,6.645,5053
30,2023-11-17,6.6,6.92,6.6,6.9,1986616.0,6.838,6144
31,2023-11-20,6.9,7.07,6.86,7.04,1506832.0,7.011,5498
32,2023-11-21,7.03,7.24,6.91,6.91,1530074.0,7.096,6845
33,2023-11-22,6.92,7.0,6.79,6.87,1025651.0,6.86,3791
34,2023-11-24,6.89,6.99,6.89,6.93,384860.0,6.942,1792
35,2023-11-27,6.88,6.92,6.68,6.89,1308648.0,6.856,5465
36,2023-11-28,6.84,6.92,6.8,6.86,759985.0,6.869,3147
37,2023-11-29,6.97,7.14,6.9,7.05,958739.0,7.054,5084
