,date,open,high,low,close,volume,average,barCount
0,2023-09-25,19.58,19.84,19.43,19.77,52130.0,19.739,418
1,2023-09-26,19.59,20.02,19.53,19.54,129667.0,19.724,718
2,2023-09-27,19.63,19.97,19.61,19.7,86647.0,19.779,690
3,2023-09-28,19.67,20.11,19.67,19.9,72658.0,19.946,564
4,2023-09-29,20.05,20.25,19.95,20.05,81380.0,20.064,551
5,2023-10-02,20.03,20.33,19.93,20.11,92962.0,20.045,713
6,2023-10-03,19.97,20.03,19.79,19.91,81580.0,19.924,627
7,2023-10-04,19.9,20.16,19.69,20.02,78237.0,20.012,588
8,2023-10-05,19.97,20.36,19.97,20.32,47951.0,20.237,367
9,2023-10-06,20.0,20.58,19.87,20.37,63605.0,20.329,483
10,2023-10-09,20.18,20.59,20.18,20.45,33166.0,20.462,240
11,2023-10-10,20.57,20.87,20.57,20.81,75968.0,20.787,526
12,2023-10-11,20.83,21.08,20.73,20.91,69349.0,20.87,428
13,2023-10-12,20.87,20.87,20.39,20.51,88033.0,20.558,497
14,2023-10-13,20.68,20.75,20.14,20.17,52460.0,20.267,371
15,2023-10-16,20.4,20.76,20.39,20.48,39394.0,20.493,299
16,2023-10-17,20.35,21.3,20.35,20.95,65269.0,20.988,457
17,2023-10-18,20.74,20.89,20.29,20.37,44855.0,20.469,330
18,2023-10-19,20.28,20.61,19.99,20.04,69253.0,20.193,513
19,2023-10-20,20.3,20.3,18.46,18.68,241000.0,18.919,1434
20,2023-10-23,18.51,19.3,18.51,18.99,112616.0,19.061,704
21,2023-10-24,19.05,19.08,18.33,18.48,155797.0,18.523,876
22,2023-10-25,18.36,18.98,18.31,18.76,107485.0,18.639,737
23,2023-10-26,18.87,19.72,18.87,19.57,76626.0,19.538,566
24,2023-10-27,19.52,19.58,19.07,19.34,118962.0,19.374,787
25,2023-10-30,19.52,19.74,19.4,19.6,59134.0,19.592,386
26,2023-10-31,19.71,19.71,19.5,19.61,28361.0,19.584,224
27,2023-11-01,19.55,19.9,19.38,19.89,44069.0,19.705,341
28,2023-11-02,20.15,20.8,20.15,20.69,61787.0,20.653,347
29,2023-11-03,21.35,21.56,21.04,21.24,113985.0,21.22,776
30,2023-11-06,21.2,21.21,20.91,20.98,71078.0,21.045,547
31,2023-11-07,20.9,20.9,20.54,20.58,61029.0,20.671,406
32,2023-11-08,20.65,20.65,20.15,20.36,84090.0,20.315,531
33,2023-11-09,20.44,20.61,20.07,20.22,168558.0,20.257,872
34,2023-11-10,20.35,20.52,20.16,20.32,44766.0,20.37,343
35,2023-11-13,20.16,20.45,20.02,20.33,47232.0,20.335,332
36,2023-11-14,21.18,22.01,21.18,21.72,168959.0,21.75,920
37,2023-11-15,21.65,21.9,21.44,21.56,94483.0,21.671,717
38,2023-11-16,21.59,21.59,21.1,21.17,53623.0,21.218,414
39,2023-11-17,21.44,21.74,21.37,21.52,77876.0,21.517,419
40,2023-11-20,21.48,21.56,21.34,21.41,33752.0,21.449,251
41,2023-11-21,21.3,21.37,20.85,20.89,108247.0,21.022,514
42,2023-11-22,21.19,21.2,20.84,21.05,59617.0,21.022,433
43,2023-11-24,21.19,21.28,20.87,21.12,22080.0,21.076,161
44,2023-11-27,21.04,21.11,20.87,21.05,39666.0,21.024,312
45,2023-11-28,21.09,21.09,20.77,20.96,53902.0,20.913,371
46,2023-11-29,21.18,21.37,21.0,21.07,53723.0,21.144,407
47,2023-11-30,21.18,21.21,20.88,20.93,91292.0,21.013,508
48,2023-12-01,20.85,22.05,20.77,21.98,69162.0,21.764,500
49,2023-12-04,21.76,22.44,21.72,22.32,76580.0,22.24,517
50,2023-12-05,22.27,22.3,22.06,22.11,38458.0,22.165,262
51,2023-12-06,22.36,22.9,22.29,22.32,72602.0,22.548,551
52,2023-12-07,22.46,22.8,22.24,22.79,80393.0,22.628,507
53,2023-12-08,22.84,23.16,22.67,23.08,80468.0,23.036,555
54,2023-12-11,23.17,23.33,22.85,22.98,83776.0,22.998,626
55,2023-12-12,22.98,23.01,22.75,22.77,63409.0,22.88,456
56,2023-12-13,22.94,24.73,22.68,24.68,155585.0,23.949,1122
57,2023-12-14,25.34,25.79,24.9,25.16,150558.0,25.153,1198
58,2023-12-15,25.25,25.25,24.69,24.85,230704.0,25.052,962
59,2023-12-18,24.87,25.29,24.64,24.77,79668.0,24.898,566
60,2023-12-19,24.85,25.31,24.64,25.07,70257.0,25.137,523
61,2023-12-20,25.15,25.76,24.69,24.71,74221.0,25.23,561
62,2023-12-21,24.9,25.07,24.64,24.94,39183.0,24.834,326
63,2023-12-22,25.16,25.36,24.95,25.03,34668.0,25.107,282
64,2023-12-26,25.24,25.67,25.01,25.48,49202.0,25.497,358
65,2023-12-27,25.58,25.7,25.31,25.45,101795.0,25.57,378
66,2023-12-28,25.31,25.54,25.16,25.27,33629.0,25.309,258
67,2023-12-29,25.17,25.22,24.81,24.83,29119.0,24.972,216
68,2024-01-02,24.48,25.25,24.44,24.82,77052.0,24.925,576
69,2024-01-03,24.7,24.74,23.94,24.1,65281.0,24.327,515
70,2024-01-04,24.24,24.61,24.2,24.25,88716.0,24.401,457
71,2024-01-05,23.99,24.55,23.99,24.29,60899.0,24.343,484
72,2024-01-08,24.28,24.39,24.09,24.29,47141.0,24.281,303
73,2024-01-09,23.84,23.97,23.56,23.85,52205.0,23.823,421
74,2024-01-10,24.27,24.58,23.95,24.57,83786.0,24.32,606
75,2024-01-11,24.29,24.31,23.51,23.91,69003.0,23.794,547
76,2024-01-12,24.21,24.39,23.59,23.86,59646.0,23.88,442
