,date,open,high,low,close,volume,average,barCount
0,2023-09-25,6.73,6.79,6.69,6.73,850496.0,6.749,2286
1,2023-09-26,6.68,6.75,6.66,6.67,944587.0,6.695,2363
2,2023-09-27,6.69,6.81,6.69,6.76,888418.0,6.761,2868
3,2023-09-28,6.75,6.91,6.69,6.91,1010222.0,6.824,2682
4,2023-09-29,6.97,7.15,6.95,6.96,1325616.0,7.03,4212
5,2023-10-02,6.96,7.02,6.91,6.95,956267.0,6.957,2676
6,2023-10-03,6.88,6.95,6.73,6.76,924591.0,6.817,2469
7,2023-10-04,6.77,6.9,6.75,6.86,847443.0,6.803,2355
8,2023-10-05,6.8,6.86,6.76,6.81,643475.0,6.811,1877
9,2023-10-06,6.74,7.0,6.71,6.97,1082958.0,6.893,2575
10,2023-10-09,6.93,7.01,6.86,6.99,716029.0,6.934,2291
11,2023-10-10,6.95,7.15,6.95,7.06,1869687.0,7.098,7115
12,2023-10-11,7.12,7.18,7.02,7.05,993850.0,7.103,2327
13,2023-10-12,7.02,7.07,6.93,6.99,713240.0,7.008,2187
14,2023-10-13,6.93,6.97,6.79,6.83,906049.0,6.871,2296
15,2023-10-16,6.84,6.97,6.84,6.95,755206.0,6.937,1786
16,2023-10-17,6.85,6.99,6.84,6.95,1858185.0,6.937,3213
17,2023-10-18,6.88,6.91,6.77,6.79,654139.0,6.827,1740
18,2023-10-19,6.77,6.81,6.69,6.69,933848.0,6.76,2355
19,2023-10-20,6.67,6.71,6.61,6.61,595198.0,6.644,1260
20,2023-10-23,6.58,6.65,6.49,6.59,1289863.0,6.603,3073
21,2023-10-24,6.56,6.73,6.53,6.67,835264.0,6.652,2302
22,2023-10-25,6.58,6.58,6.32,6.34,798292.0,6.408,1741
23,2023-10-26,6.32,6.39,6.27,6.29,1190042.0,6.315,3249
24,2023-10-27,6.29,6.32,6.23,6.23,1057392.0,6.274,3701
25,2023-10-30,6.24,6.28,6.21,6.26,1619088.0,6.245,4936
26,2023-10-31,6.25,6.36,6.24,6.32,1368217.0,6.319,3617
27,2023-11-01,6.33,6.44,6.27,6.42,897050.0,6.36,1962
28,2023-11-02,6.48,6.59,6.46,6.57,996183.0,6.548,2897
29,2023-11-03,6.59,6.65,6.56,6.63,1201367.0,6.612,3738
30,2023-11-06,6.62,6.67,6.53,6.58,729815.0,6.588,2243
31,2023-11-07,6.53,6.76,6.53,6.73,1498818.0,6.688,3988
32,2023-11-08,6.74,6.78,6.7,6.76,914162.0,6.741,2633
33,2023-11-09,6.74,6.84,6.68,6.69,741705.0,6.755,1762
34,2023-11-10,6.7,6.81,6.67,6.79,860388.0,6.757,2446
35,2023-11-13,6.77,6.83,6.72,6.82,715096.0,6.781,1732
36,2023-11-14,6.85,7.07,6.84,7.04,1339625.0,7.02,3568
37,2023-11-15,7.07,7.17,7.06,7.1,1146216.0,7.125,3714
38,2023-11-16,7.07,7.13,7.01,7.04,844440.0,7.05,2238
39,2023-11-17,7.01,7.17,7.01,7.15,749222.0,7.119,1925
40,2023-11-20,7.14,7.27,7.14,7.24,1106755.0,7.224,2728
41,2023-11-21,7.18,7.23,7.16,7.2,964666.0,7.198,2564
42,2023-11-22,7.2,7.3,7.2,7.24,542519.0,7.276,1649
43,2023-11-24,7.19,7.26,7.18,7.24,361598.0,7.221,1173
44,2023-11-27,7.24,7.27,7.19,7.25,1133960.0,7.239,2640
45,2023-11-28,7.2,7.21,7.08,7.13,1366655.0,7.134,3624
46,2023-11-29,7.14,7.28,7.14,7.22,1039902.0,7.214,2665
47,2023-11-30,7.24,7.29,7.18,7.23,923885.0,7.209,2492
48,2023-12-01,7.16,7.44,7.16,7.41,1024032.0,7.348,2842
49,2023-12-04,7.37,7.43,7.32,7.38,989704.0,7.368,3015
50,2023-12-05,7.31,7.36,7.26,7.29,1011596.0,7.306,2706
51,2023-12-06,7.29,7.34,7.25,7.26,1116240.0,7.309,3664
52,2023-12-07,7.26,7.34,7.24,7.32,1049369.0,7.296,3160
53,2023-12-08,7.27,7.37,7.27,7.35,930621.0,7.338,2729
54,2023-12-11,7.29,7.39,7.29,7.36,1032616.0,7.355,2971
55,2023-12-12,7.32,7.42,7.3,7.38,1058121.0,7.375,3080
56,2023-12-13,7.38,7.53,7.34,7.51,1794037.0,7.421,4179
57,2023-12-14,7.52,7.66,7.52,7.6,1882207.0,7.612,4889
58,2023-12-15,7.56,7.6,7.37,7.45,1420620.0,7.492,3197
59,2023-12-18,7.44,7.56,7.43,7.53,1831808.0,7.503,4409
60,2023-12-19,7.53,7.66,7.53,7.65,1799456.0,7.627,4357
