,date,open,high,low,close,volume,average,barCount
0,2023-10-06,103.69,112.95,103.69,112.12,1568461.0,110.883,11045
1,2023-10-09,110.3,113.34,109.18,112.55,916960.0,111.921,6254
2,2023-10-10,112.69,117.06,112.65,114.09,791941.0,115.467,4851
3,2023-10-11,115.22,116.65,113.42,114.61,503496.0,114.538,3600
4,2023-10-12,116.77,118.69,113.8,115.71,1053338.0,116.177,7315
5,2023-10-13,114.49,116.31,109.7,110.73,776830.0,111.716,5645
6,2023-10-16,110.77,113.57,107.6,112.17,594024.0,111.238,4185
7,2023-10-17,110.01,113.01,109.81,110.11,1251000.0,110.971,7516
8,2023-10-18,108.38,109.35,103.59,103.64,1176700.0,105.075,7233
9,2023-10-19,105.29,107.08,102.43,102.5,1372335.0,103.747,7005
10,2023-10-20,102.29,103.98,99.41,101.0,1114992.0,101.859,5894
11,2023-10-23,99.4,103.83,98.65,101.94,997503.0,101.582,5335
12,2023-10-24,103.67,105.81,101.2,101.46,729782.0,102.873,4684
13,2023-10-25,100.1,101.0,91.83,92.35,2198822.0,94.407,12964
14,2023-10-26,92.4,93.48,88.09,90.19,1853455.0,89.946,9357
15,2023-10-27,91.23,91.75,89.09,89.52,880100.0,89.871,5855
16,2023-10-30,90.84,91.48,86.29,89.71,1437054.0,88.776,8619
17,2023-10-31,90.55,93.07,89.07,91.29,1777422.0,91.548,10723
18,2023-11-01,90.22,90.52,86.53,88.26,1799321.0,88.042,13151
19,2023-11-02,90.72,93.16,88.73,89.47,3057750.0,89.854,20685
20,2023-11-03,64.05,67.49,58.15,66.93,16066931.0,63.59,79079
21,2023-11-06,67.11,71.2,61.27,61.44,6200705.0,64.3,34043
22,2023-11-07,62.67,63.7,61.75,63.2,2839565.0,62.841,17218
23,2023-11-08,63.08,63.73,62.06,62.19,1494187.0,62.749,9977
24,2023-11-09,54.32,59.14,51.94,56.02,16027353.0,55.791,72724
25,2023-11-10,56.19,56.49,53.38,56.48,3926743.0,54.855,19922
26,2023-11-13,56.4,57.48,55.52,57.0,1934150.0,56.797,11406
27,2023-11-14,58.15,59.35,57.24,57.79,3448259.0,58.066,17883
28,2023-11-15,58.1,61.42,57.55,59.64,2440875.0,59.999,13241
29,2023-11-16,60.2,61.7,58.5,60.87,2794107.0,59.928,15888
30,2023-11-17,61.6,63.78,61.0,63.72,2717268.0,63.087,18483
31,2023-11-20,63.51,65.89,63.03,64.6,2182176.0,64.933,13842
32,2023-11-21,63.88,65.09,62.56,62.85,1570936.0,63.313,9927
33,2023-11-22,63.41,64.59,62.51,63.62,1156616.0,63.684,5953
34,2023-11-24,63.53,64.75,63.01,63.85,603083.0,63.824,3739
35,2023-11-27,63.23,65.44,63.17,64.15,1082213.0,64.604,7846
36,2023-11-28,63.56,66.14,63.52,65.58,1110898.0,65.379,8235
37,2023-11-29,66.5,68.85,66.07,67.94,1586015.0,67.775,10454
38,2023-11-30,68.14,68.48,64.62,65.47,2043702.0,65.496,13398
39,2023-12-01,65.74,68.11,64.02,68.11,1691425.0,66.553,9322
40,2023-12-04,67.56,70.11,67.33,68.52,1480133.0,68.731,9203
41,2023-12-05,71.5,71.75,68.3,69.22,2661671.0,69.589,14016
42,2023-12-06,69.75,71.79,68.37,68.56,2231320.0,69.979,13776
43,2023-12-07,68.74,70.17,67.53,69.37,1304760.0,69.318,7874
44,2023-12-08,68.73,71.49,68.5,70.98,1063319.0,70.849,7689
45,2023-12-11,70.51,71.56,68.85,70.61,1185332.0,70.16,7845
46,2023-12-12,70.4,70.67,69.12,70.38,899547.0,69.958,5690
47,2023-12-13,70.37,74.87,69.69,74.71,1585258.0,72.874,10401
48,2023-12-14,76.5,80.69,75.55,77.28,1996087.0,77.605,12546
49,2023-12-15,77.5,77.72,75.46,75.96,1756288.0,76.298,10893
50,2023-12-18,75.22,77.68,75.1,77.32,1322396.0,76.755,8167
51,2023-12-19,77.95,83.68,77.95,83.56,2488015.0,82.089,15425
52,2023-12-20,83.22,87.05,80.97,80.99,2048413.0,84.167,12979
53,2023-12-21,82.95,83.95,81.5,82.97,1216481.0,82.587,8096
54,2023-12-22,83.87,85.0,82.4,83.57,1008999.0,83.727,6611
55,2023-12-26,83.79,84.24,82.38,83.58,483858.0,83.325,3062
56,2023-12-27,84.14,84.55,82.91,84.23,461249.0,83.912,3299
57,2023-12-28,84.01,84.3,83.01,83.33,707979.0,83.515,5209
58,2023-12-29,82.7,83.75,81.28,81.59,943774.0,82.411,7182
59,2024-01-02,80.05,80.78,76.2,77.23,1540573.0,77.567,9560
60,2024-01-03,75.2,75.8,73.68,74.47,1050563.0,74.66,6561
61,2024-01-04,73.93,75.09,71.88,74.08,873435.0,74.095,6222
62,2024-01-05,73.84,76.23,73.31,75.0,871944.0,74.853,6024
63,2024-01-08,75.51,78.69,75.51,78.05,702239.0,77.682,4753
64,2024-01-09,77.41,79.35,76.55,76.79,1023242.0,77.549,6499
65,2024-01-10,76.83,77.59,74.15,76.39,1019284.0,76.361,6675
66,2024-01-11,76.79,76.79,73.77,75.42,1105185.0,75.362,7463
67,2024-01-12,75.75,76.69,74.59,75.0,877392.0,75.271,5805
68,2024-01-16,74.1,75.47,73.28,73.88,1191761.0,73.957,8554
69,2024-01-17,72.55,73.94,70.74,73.85,955721.0,72.638,6789
70,2024-01-18,74.89,75.05,72.1,72.61,1133655.0,72.618,8001
71,2024-01-19,73.25,73.26,70.36,72.5,1009711.0,71.917,7127
72,2024-01-22,73.45,76.58,73.3,75.12,1209195.0,75.051,7874
73,2024-01-23,74.8,77.1,73.31,74.93,999666.0,75.324,6482
74,2024-01-24,76.46,76.53,73.15,73.17,772081.0,74.301,4604
75,2024-01-25,74.12,74.79,73.56,73.97,465211.0,74.089,2966
76,2024-01-26,73.97,75.57,73.73,74.38,694346.0,74.51,5377
77,2024-01-29,75.0,79.96,74.78,79.92,984029.0,78.248,6431
78,2024-01-30,79.5,79.87,77.91,78.21,575911.0,78.613,4043
79,2024-01-31,78.38,80.79,77.78,78.05,1179959.0,78.84,8123
80,2024-02-01,79.0,79.46,76.19,78.21,1000111.0,78.024,6842
81,2024-02-02,77.92,80.19,76.39,79.58,924409.0,78.609,6895
82,2024-02-05,79.02,79.35,74.75,75.97,2217057.0,75.962,14507
83,2024-02-06,76.68,77.31,73.88,76.7,2114887.0,75.837,15464
84,2024-02-07,77.48,77.98,73.4,74.93,2206930.0,74.63,15885
85,2024-02-08,75.22,77.28,73.94,75.75,3652795.0,76.241,26352
86,2024-02-09,70.65,72.28,63.56,65.46,12457393.0,66.77,57752
87,2024-02-12,65.67,66.79,64.5,65.98,5587995.0,65.767,31520
88,2024-02-13,63.53,65.41,62.49,62.77,2526097.0,63.641,15645
89,2024-02-14,63.7,66.06,62.8,65.46,729416.0,64.847,3910
