,date,open,high,low,close,volume,average,barCount
0,2023-09-25,22.05,22.32,21.2,21.38,145817.0,21.663,806
1,2023-09-26,21.19,21.78,20.64,20.75,174511.0,21.208,813
2,2023-09-27,20.94,21.2,20.61,20.74,126661.0,20.883,561
3,2023-09-28,20.75,21.16,20.68,20.82,63851.0,20.872,322
4,2023-09-29,21.07,21.07,19.68,19.73,174612.0,20.214,736
5,2023-10-02,19.76,20.02,19.01,19.31,223834.0,19.406,1281
6,2023-10-03,19.17,19.5,18.26,18.38,343770.0,18.652,1582
7,2023-10-04,18.34,18.83,17.96,18.69,115451.0,18.41,588
8,2023-10-05,18.69,19.18,18.27,18.9,144809.0,18.75,769
9,2023-10-06,18.66,19.33,18.26,18.97,83943.0,18.942,453
10,2023-10-09,18.82,19.26,18.3,18.41,122963.0,18.591,583
11,2023-10-10,18.57,18.94,18.04,18.2,169139.0,18.363,1020
12,2023-10-11,18.31,18.86,18.12,18.36,168031.0,18.385,928
13,2023-10-12,18.3,18.77,17.68,18.21,153293.0,18.235,740
14,2023-10-13,18.26,18.66,18.01,18.07,59623.0,18.287,335
15,2023-10-16,18.13,19.21,18.05,18.99,148095.0,18.761,675
16,2023-10-17,18.79,19.65,18.78,19.53,106148.0,19.288,542
17,2023-10-18,19.39,19.62,18.8,19.13,180690.0,19.171,869
18,2023-10-19,19.07,19.2,18.55,18.76,214871.0,18.836,1054
19,2023-10-20,18.73,19.01,18.05,18.65,300887.0,18.488,1505
20,2023-10-23,18.2,19.4,17.3,18.7,440791.0,18.556,2148
21,2023-10-24,18.83,19.13,17.81,18.0,369681.0,18.164,2074
22,2023-10-25,18.02,19.65,18.02,19.01,234829.0,18.927,1083
23,2023-10-26,18.88,19.75,18.8,19.54,142123.0,19.303,757
24,2023-10-27,19.72,19.77,19.3,19.43,148639.0,19.481,765
25,2023-10-30,19.39,19.88,17.74,18.04,286177.0,18.343,1211
26,2023-10-31,18.14,18.63,17.9,18.32,192847.0,18.324,1122
27,2023-11-01,18.36,19.87,18.16,19.46,225618.0,19.127,988
28,2023-11-02,19.85,20.53,19.38,20.26,343935.0,20.095,1606
29,2023-11-03,20.57,20.89,20.15,20.45,228239.0,20.476,1141
30,2023-11-06,20.35,20.35,19.62,19.71,68802.0,19.864,476
31,2023-11-07,19.73,20.38,19.55,19.77,113143.0,19.925,637
32,2023-11-08,19.73,20.0,18.95,19.17,166458.0,19.268,711
33,2023-11-09,19.61,19.96,19.0,19.14,139330.0,19.44,607
34,2023-11-10,19.25,19.78,19.1,19.53,114906.0,19.449,614
35,2023-11-13,19.49,20.2,19.2,19.38,116101.0,19.689,655
36,2023-11-14,19.88,19.89,19.34,19.71,107539.0,19.584,554
37,2023-11-15,19.89,20.05,19.35,19.64,140986.0,19.705,621
38,2023-11-16,19.85,19.85,18.91,19.29,138890.0,19.31,660
39,2023-11-17,19.25,20.61,19.02,20.24,251740.0,20.23,1436
40,2023-11-20,23.84,26.03,22.99,24.32,1237494.0,24.7,6039
41,2023-11-21,23.92,24.49,23.15,24.35,449183.0,23.869,2240
42,2023-11-22,24.43,24.43,22.13,22.72,417989.0,23.062,1770
43,2023-11-24,23.17,27.24,22.77,25.92,821525.0,25.866,3980
44,2023-11-27,27.05,30.33,26.47,28.3,1442170.0,28.535,6049
45,2023-11-28,28.08,28.66,26.61,28.01,666269.0,27.801,3297
46,2023-11-29,27.9,29.89,27.02,28.72,596559.0,28.998,3064
47,2023-11-30,28.88,29.1,27.62,28.42,305400.0,28.364,1482
48,2023-12-01,28.37,28.85,26.72,27.71,391481.0,27.613,1848
49,2023-12-04,27.52,27.52,26.27,27.0,272399.0,26.874,1302
50,2023-12-05,26.98,27.95,26.61,27.03,397137.0,27.238,2139
51,2023-12-06,27.16,27.2,25.65,26.31,418100.0,26.484,2071
52,2023-12-07,26.6,27.35,26.03,26.39,196598.0,26.567,819
53,2023-12-08,26.76,27.25,26.17,27.19,214930.0,26.827,874
54,2023-12-11,27.08,27.97,26.39,27.5,207790.0,27.338,854
55,2023-12-12,27.99,28.22,26.14,27.1,361104.0,27.074,1743
56,2023-12-13,27.51,28.59,26.24,28.2,373456.0,27.617,1741
57,2023-12-14,28.45,29.29,27.25,27.39,353715.0,28.137,1817
58,2023-12-15,27.1,28.03,26.67,26.8,279351.0,27.344,1671
59,2023-12-18,27.22,28.21,27.21,27.83,230511.0,27.751,1159
60,2023-12-19,27.95,28.18,26.75,27.65,287802.0,27.433,1205
61,2023-12-20,27.99,30.15,27.36,29.19,492671.0,29.136,2477
62,2023-12-21,29.89,31.68,28.02,29.33,789637.0,29.866,3402
63,2023-12-22,29.34,30.68,28.73,29.81,295557.0,29.978,1238
64,2023-12-26,29.97,30.32,29.25,29.73,199615.0,29.735,950
65,2023-12-27,29.82,30.34,28.47,29.3,394536.0,29.429,2018
66,2023-12-28,29.27,29.48,28.48,28.7,201829.0,28.886,827
67,2023-12-29,28.63,29.65,28.04,28.7,160792.0,28.894,838
68,2024-01-02,28.2,28.52,27.55,28.05,204051.0,28.096,781
69,2024-01-03,28.21,29.0,27.41,27.56,254661.0,27.964,1230
70,2024-01-04,27.94,28.11,26.67,26.74,250648.0,27.404,1130
71,2024-01-05,25.71,26.6,25.71,26.13,199660.0,26.14,1061
72,2024-01-08,26.0,26.46,25.6,26.34,125467.0,26.018,671
73,2024-01-09,26.34,26.34,24.62,24.85,393677.0,25.207,2108
74,2024-01-10,24.85,25.48,24.41,25.41,140850.0,25.075,745
75,2024-01-11,25.62,26.0,24.97,25.44,156558.0,25.408,817
76,2024-01-12,25.61,26.8,25.51,26.08,239224.0,26.307,1011
77,2024-01-16,26.41,26.5,25.11,25.67,227146.0,25.773,961
78,2024-01-17,25.39,27.62,25.13,27.43,343595.0,27.016,1697
79,2024-01-18,27.38,28.08,26.74,27.92,216237.0,27.436,1234
80,2024-01-19,27.94,28.75,27.4,28.61,330817.0,28.175,1470
81,2024-01-22,28.62,30.52,28.62,30.22,861675.0,29.822,3958
82,2024-01-23,30.01,30.62,29.52,30.06,269873.0,29.986,1460
83,2024-01-24,30.54,31.56,30.39,30.98,385494.0,30.935,2046
84,2024-01-25,31.12,33.43,31.12,32.94,562122.0,32.615,2593
85,2024-01-26,33.04,33.76,32.35,33.62,349637.0,33.132,1729
86,2024-01-29,33.0,33.0,30.68,32.72,530053.0,31.801,2494
87,2024-01-30,32.79,33.6,32.02,33.12,243553.0,33.074,1161
88,2024-01-31,33.18,34.51,32.66,33.12,258065.0,33.519,1119
89,2024-02-01,33.54,34.47,33.12,34.14,269437.0,33.817,1288
