,date,open,high,low,close,volume,average,barCount
0,2023-10-06,13.62,14.57,13.62,14.13,1343230.0,14.228,8276
1,2023-10-09,13.99,14.43,13.85,14.32,995260.0,14.233,5855
2,2023-10-10,14.28,14.81,14.28,14.59,752846.0,14.628,4584
3,2023-10-11,14.59,14.76,14.42,14.75,1253822.0,14.649,7229
4,2023-10-12,14.76,14.76,14.03,14.21,1062841.0,14.27,6958
5,2023-10-13,14.24,14.31,13.83,13.97,985533.0,14.029,6785
6,2023-10-16,14.02,14.1,13.72,14.06,804667.0,13.985,5737
7,2023-10-17,13.87,14.4,13.83,14.32,934671.0,14.198,6641
8,2023-10-18,14.05,14.14,13.59,13.59,799277.0,13.78,5121
9,2023-10-19,13.65,13.93,13.37,13.54,1304420.0,13.643,7658
10,2023-10-20,13.51,13.6,13.2,13.41,1215868.0,13.419,7478
11,2023-10-23,13.17,13.63,13.11,13.53,1046098.0,13.502,6464
12,2023-10-24,13.63,14.25,13.62,14.03,1357879.0,14.039,7650
13,2023-10-25,13.89,13.89,13.3,13.3,1393897.0,13.458,8553
14,2023-10-26,13.27,13.76,12.85,13.52,1900130.0,13.443,11296
15,2023-10-27,13.63,13.99,13.14,13.35,3355447.0,13.537,17990
16,2023-10-30,13.47,13.66,13.11,13.3,1321605.0,13.357,9342
17,2023-10-31,13.26,13.51,13.1,13.44,1687078.0,13.338,8763
18,2023-11-01,13.04,13.12,12.38,12.9,3136417.0,12.663,14142
19,2023-11-02,13.28,13.68,13.11,13.44,1649555.0,13.404,8843
20,2023-11-03,13.83,14.1,13.49,13.67,2206648.0,13.804,12586
21,2023-11-06,12.62,13.22,12.29,13.07,5297716.0,12.858,24956
22,2023-11-07,13.12,13.83,12.97,13.42,2878401.0,13.451,15271
23,2023-11-08,12.86,14.53,12.42,13.81,6849595.0,13.724,33512
24,2023-11-09,13.82,14.39,13.54,13.57,2616493.0,13.891,17301
25,2023-11-10,13.52,14.59,13.32,14.25,2640345.0,14.266,15253
26,2023-11-13,14.15,14.24,13.66,13.91,1441147.0,14.048,8905
27,2023-11-14,14.49,15.05,14.3,14.92,2266832.0,14.707,12656
28,2023-11-15,15.09,15.34,14.72,14.94,2365818.0,15.095,11655
29,2023-11-16,14.81,14.85,14.23,14.48,1482346.0,14.502,8816
30,2023-11-17,14.52,14.83,14.31,14.71,1661680.0,14.613,8322
31,2023-11-20,14.65,14.84,14.4,14.54,1864704.0,14.538,9742
32,2023-11-21,14.37,14.44,13.92,13.94,1861614.0,14.047,9484
33,2023-11-22,14.1,14.47,14.1,14.18,1678914.0,14.257,8790
34,2023-11-24,14.12,14.24,13.96,14.08,575275.0,14.066,3760
35,2023-11-27,13.94,14.23,13.77,13.79,1138463.0,13.939,6504
36,2023-11-28,13.73,14.79,13.61,14.57,2075341.0,14.245,8523
37,2023-11-29,14.73,15.05,14.3,14.39,1170570.0,14.53,7462
38,2023-11-30,14.48,14.51,13.82,13.86,1263821.0,14.026,7068
39,2023-12-01,13.87,14.34,13.75,14.31,1152224.0,14.134,6967
40,2023-12-04,14.42,14.76,14.2,14.37,1309231.0,14.384,7247
41,2023-12-05,14.24,14.33,13.73,13.93,1318387.0,14.028,7201
42,2023-12-06,14.01,14.34,13.91,13.92,1812272.0,14.091,7751
43,2023-12-07,14.3,14.37,13.96,14.14,1353110.0,14.142,7097
44,2023-12-08,14.06,14.28,13.9,14.04,728030.0,14.08,4334
45,2023-12-11,13.95,14.63,13.91,14.59,2012373.0,14.394,9915
46,2023-12-12,14.66,14.67,14.02,14.36,1816382.0,14.374,9781
47,2023-12-13,14.34,15.13,14.25,15.11,1757570.0,14.719,9774
48,2023-12-14,15.45,15.9,14.92,15.15,2200241.0,15.338,12453
49,2023-12-15,15.3,15.38,14.84,15.16,1657094.0,15.133,8780
50,2023-12-18,15.09,15.26,14.76,15.14,1255605.0,15.057,7715
51,2023-12-19,15.22,15.46,15.15,15.25,1248891.0,15.292,7555
52,2023-12-20,15.27,15.42,14.85,14.95,1100511.0,15.127,7040
53,2023-12-21,15.17,15.24,14.63,14.92,2001585.0,14.827,11310
54,2023-12-22,14.88,15.21,14.73,15.0,1322269.0,15.009,7959
55,2023-12-26,14.95,14.98,14.66,14.74,1419677.0,14.791,8306
56,2023-12-27,14.82,14.93,14.56,14.88,1194932.0,14.785,7580
57,2023-12-28,14.84,15.33,14.71,15.28,1278874.0,15.138,8088
58,2023-12-29,15.23,15.33,14.72,14.74,1310027.0,14.876,7116
59,2024-01-02,14.5,14.81,14.4,14.5,1632141.0,14.578,9768
60,2024-01-03,14.25,14.45,13.85,13.98,1894455.0,14.033,11804
61,2024-01-04,13.89,14.48,13.76,14.16,1705106.0,14.228,10041
62,2024-01-05,14.0,14.73,13.98,14.01,1651796.0,14.232,8880
63,2024-01-08,14.04,14.23,13.96,14.1,984414.0,14.115,5495
64,2024-01-09,14.58,15.05,14.22,14.41,2911607.0,14.601,15864
65,2024-01-10,14.36,14.43,13.95,14.2,1456046.0,14.199,8049
66,2024-01-11,14.14,14.31,13.67,14.17,1860035.0,14.043,10691
67,2024-01-12,14.29,14.5,13.87,13.87,1349731.0,14.033,8801
68,2024-01-16,13.83,14.14,13.68,14.13,1375147.0,14.008,9724
69,2024-01-17,13.85,13.99,13.53,13.54,1790881.0,13.694,10935
70,2024-01-18,13.67,14.02,13.29,14.0,2422720.0,13.751,14021
71,2024-01-19,14.14,14.14,13.71,13.77,964710.0,13.837,6165
72,2024-01-22,13.85,14.25,13.79,13.97,1172412.0,14.004,6883
73,2024-01-23,14.25,14.43,13.98,14.1,929681.0,14.137,5395
74,2024-01-24,14.41,14.44,13.97,14.08,946399.0,14.096,5435
75,2024-01-25,14.1,14.51,13.79,14.37,3236046.0,14.203,17616
76,2024-01-26,14.42,14.65,14.15,14.2,1077042.0,14.275,7529
77,2024-01-29,14.26,14.48,14.02,14.35,1216491.0,14.26,7379
78,2024-01-30,14.18,14.29,13.82,13.84,1851142.0,13.975,11400
79,2024-01-31,13.53,14.3,13.35,13.72,1776711.0,13.838,10040
80,2024-02-01,13.76,13.96,13.41,13.94,1485937.0,13.738,8700
81,2024-02-02,13.82,14.0,13.68,13.71,1069380.0,13.808,7146
82,2024-02-05,13.6,13.67,13.14,13.2,1407372.0,13.341,8861
83,2024-02-06,13.15,13.83,13.15,13.78,1520583.0,13.653,8895
84,2024-02-07,13.81,13.86,13.4,13.41,1416861.0,13.522,8342
85,2024-02-08,13.42,13.46,12.96,12.96,1417654.0,13.173,8270
86,2024-02-09,13.0,13.38,12.86,13.28,1519085.0,13.234,8976
87,2024-02-12,13.31,13.91,13.24,13.77,1554994.0,13.771,9314
88,2024-02-13,13.33,13.47,12.88,12.98,1788689.0,13.092,11068
89,2024-02-14,13.27,13.5,13.17,13.33,401689.0,13.321,1805
