,date,open,high,low,close,volume,average,barCount
0,2023-09-25,14.79,14.85,14.6,14.65,685957.0,14.695,3548
1,2023-09-26,14.51,14.53,14.08,14.28,1012154.0,14.258,5615
2,2023-09-27,14.35,14.56,14.29,14.37,949115.0,14.419,5203
3,2023-09-28,14.08,14.3,14.07,14.13,575103.0,14.16,3531
4,2023-09-29,14.31,14.42,14.15,14.3,672951.0,14.274,4155
5,2023-10-02,14.18,14.38,14.18,14.33,1232956.0,14.273,5585
6,2023-10-03,14.22,14.26,13.89,14.05,648795.0,14.023,3441
7,2023-10-04,14.08,14.29,13.93,14.26,713892.0,14.137,4303
8,2023-10-05,14.26,14.35,14.07,14.22,458228.0,14.214,2939
9,2023-10-06,14.11,14.3,14.0,14.26,398038.0,14.196,2151
10,2023-10-09,14.14,14.68,14.14,14.6,430030.0,14.564,2714
11,2023-10-10,14.58,14.72,14.5,14.52,533826.0,14.587,3135
12,2023-10-11,14.66,14.94,14.66,14.91,531732.0,14.848,3063
13,2023-10-12,14.8,14.96,14.66,14.69,618628.0,14.763,3240
14,2023-10-13,14.79,14.81,14.4,14.46,469336.0,14.504,2580
15,2023-10-16,14.6,14.66,14.36,14.61,919860.0,14.571,4008
16,2023-10-17,14.53,14.94,14.53,14.92,972060.0,14.832,5025
17,2023-10-18,15.06,15.1,14.69,14.7,946134.0,14.886,5026
18,2023-10-19,14.54,14.6,14.15,14.16,652159.0,14.353,3709
19,2023-10-20,14.25,14.4,14.05,14.05,570728.0,14.213,2826
20,2023-10-23,13.94,14.18,13.84,14.03,525319.0,14.076,2998
21,2023-10-24,14.09,14.26,14.0,14.1,1095792.0,14.108,5740
22,2023-10-25,14.0,14.03,13.74,13.78,636860.0,13.843,3486
23,2023-10-26,13.85,14.02,13.8,13.92,832432.0,13.895,4653
24,2023-10-27,13.93,13.93,13.68,13.78,675028.0,13.78,3466
25,2023-10-30,13.91,14.09,13.73,13.97,824246.0,13.927,4952
26,2023-10-31,14.04,14.15,13.91,14.15,969261.0,14.093,5171
27,2023-11-01,14.12,14.23,13.96,14.09,1588600.0,14.07,7209
