,date,open,high,low,close,volume,average,barCount
0,2023-09-25,48.42,49.08,48.14,48.47,154676.0,48.466,1086
1,2023-09-26,47.78,49.23,47.4,47.44,185546.0,48.09,1420
2,2023-09-27,47.78,48.13,46.81,47.41,228462.0,47.445,1662
3,2023-09-28,47.22,49.53,47.22,48.68,302346.0,48.893,1907
4,2023-09-29,49.25,50.61,48.75,49.69,347466.0,49.811,2217
5,2023-10-02,49.51,49.88,48.42,48.63,236143.0,48.846,1677
6,2023-10-03,48.26,48.31,46.7,46.94,198935.0,47.161,1427
7,2023-10-04,46.82,47.5,45.92,47.26,171012.0,46.828,1296
8,2023-10-05,47.14,48.56,46.88,48.17,187545.0,47.692,1445
9,2023-10-06,47.26,48.69,46.44,48.15,244155.0,47.844,1613
10,2023-10-09,47.49,48.86,47.43,48.6,194399.0,48.368,1263
11,2023-10-10,49.24,50.69,48.75,49.86,197938.0,50.01,1348
12,2023-10-11,50.29,51.23,49.42,50.26,163482.0,50.298,1218
13,2023-10-12,50.56,50.56,49.24,49.58,143428.0,49.779,1027
14,2023-10-13,49.97,50.06,48.2,48.48,185494.0,48.816,1383
15,2023-10-16,49.05,50.76,49.05,50.08,293558.0,50.162,1977
16,2023-10-17,49.5,51.75,49.5,51.07,292764.0,51.106,1985
17,2023-10-18,50.38,50.51,48.73,48.98,228231.0,49.513,1704
18,2023-10-19,49.14,49.64,47.81,48.01,244071.0,48.65,1799
19,2023-10-20,47.7,47.7,45.55,45.69,445012.0,46.138,3069
20,2023-10-23,48.0,49.67,46.98,47.78,628973.0,48.14,4523
21,2023-10-24,48.62,48.72,47.27,48.13,274412.0,48.029,2217
22,2023-10-25,47.79,47.79,46.31,47.15,208514.0,47.044,1538
23,2023-10-26,47.75,48.97,47.15,48.81,191966.0,48.275,1362
24,2023-10-27,48.91,48.91,47.34,48.55,223872.0,48.27,1599
25,2023-10-30,49.32,49.93,49.08,49.36,223141.0,49.502,1313
26,2023-10-31,49.44,49.81,48.83,49.39,114210.0,49.446,900
27,2023-11-01,49.78,50.6,48.84,50.54,195381.0,50.052,1442
28,2023-11-02,51.5,53.59,51.07,53.16,322019.0,52.671,2072
29,2023-11-03,54.82,56.77,54.01,55.78,472874.0,56.096,3253
30,2023-11-06,55.52,56.49,54.17,54.57,270619.0,54.873,1750
31,2023-11-07,54.43,54.5,53.3,53.32,129468.0,53.731,766
32,2023-11-08,53.17,53.22,52.27,52.76,112833.0,52.782,882
33,2023-11-09,52.6,53.19,51.79,52.46,274218.0,52.51,2101
34,2023-11-10,52.86,53.08,51.24,52.06,121847.0,51.983,1006
35,2023-11-13,51.75,53.06,51.18,52.66,212787.0,52.492,1442
36,2023-11-14,54.98,58.27,54.76,56.76,365490.0,57.085,2614
37,2023-11-15,56.8,58.43,56.8,57.15,196698.0,57.7,1469
38,2023-11-16,56.97,56.97,55.52,56.16,105183.0,55.941,721
39,2023-11-17,56.87,57.17,55.99,56.81,136076.0,56.842,880
40,2023-11-20,57.03,57.26,56.0,56.81,130875.0,56.805,861
41,2023-11-21,56.21,56.58,55.26,55.31,76965.0,55.757,589
42,2023-11-22,56.27,56.49,55.11,55.6,118199.0,55.699,915
43,2023-11-24,55.7,56.34,55.56,55.93,44709.0,55.963,347
44,2023-11-27,55.53,56.22,55.01,56.21,125589.0,55.849,886
45,2023-11-28,55.99,56.64,55.18,56.64,129177.0,56.174,928
46,2023-11-29,56.5,59.5,56.5,57.8,341344.0,58.642,2250
47,2023-11-30,58.0,58.74,57.09,58.07,158513.0,58.11,1176
48,2023-12-01,57.83,62.66,57.31,62.6,332482.0,61.366,2366
49,2023-12-04,61.98,64.17,61.98,63.75,196988.0,63.407,1342
50,2023-12-05,63.3,63.5,62.28,62.76,165367.0,62.996,1246
