,date,open,high,low,close,volume,average,barCount
0,2023-10-06,77.39,79.02,76.86,78.13,98293.0,77.636,496
1,2023-10-09,77.85,78.82,77.49,78.31,26587.0,78.422,239
2,2023-10-10,78.54,79.38,78.54,78.8,43261.0,78.913,366
3,2023-10-11,78.82,79.5,77.57,78.12,71531.0,78.379,594
4,2023-10-12,78.04,78.04,76.0,76.55,69825.0,76.569,548
5,2023-10-13,77.08,77.51,74.86,74.92,68618.0,75.601,511
6,2023-10-16,75.61,76.93,75.61,76.63,78990.0,76.498,633
7,2023-10-17,76.24,78.5,76.2,77.93,262374.0,77.341,1595
8,2023-10-18,77.43,77.48,75.91,76.05,61887.0,76.687,546
9,2023-10-19,76.19,77.53,75.5,75.73,60387.0,76.361,498
10,2023-10-20,75.96,76.28,72.8,72.9,203620.0,73.478,1333
11,2023-10-23,72.9,73.75,72.43,72.64,69358.0,73.144,619
12,2023-10-24,72.89,73.75,71.08,71.5,179870.0,71.749,1382
13,2023-10-25,69.0,69.05,62.44,63.93,429831.0,64.051,2841
14,2023-10-26,63.01,65.05,62.41,64.64,315536.0,63.877,2209
15,2023-10-27,64.55,65.49,63.14,64.71,254727.0,64.322,1675
16,2023-10-30,65.44,66.55,64.85,66.09,175675.0,65.813,1252
17,2023-10-31,66.2,67.15,65.17,65.52,178289.0,66.005,1252
18,2023-11-01,65.52,66.28,64.77,65.84,156491.0,65.648,1114
19,2023-11-02,66.21,68.75,66.21,68.64,254565.0,67.919,1776
20,2023-11-03,69.61,71.01,69.34,69.65,199958.0,70.169,1249
21,2023-11-06,69.73,70.37,68.68,70.07,174970.0,69.818,1223
22,2023-11-07,69.42,70.19,69.17,69.91,111412.0,69.808,675
23,2023-11-08,70.27,70.37,69.64,70.05,127985.0,70.064,813
24,2023-11-09,70.62,70.68,68.71,69.21,93545.0,69.86,590
25,2023-11-10,69.42,70.62,69.01,70.2,86265.0,70.075,548
26,2023-11-13,69.72,69.94,68.82,68.92,48141.0,69.204,391
27,2023-11-14,70.4,72.74,70.39,72.3,148340.0,72.066,1050
28,2023-11-15,72.02,74.35,71.5,73.86,94688.0,73.743,648
29,2023-11-16,73.69,73.69,72.07,72.6,53305.0,72.528,422
30,2023-11-17,73.3,74.01,72.9,73.81,45056.0,73.747,333
31,2023-11-20,73.73,73.97,72.3,72.53,57699.0,72.616,505
32,2023-11-21,72.15,72.15,70.58,70.66,61537.0,70.994,521
33,2023-11-22,71.33,71.6,70.97,71.5,35338.0,71.337,318
34,2023-11-24,71.41,72.43,70.75,71.39,14605.0,71.574,116
35,2023-11-27,71.01,71.36,70.35,70.91,65972.0,70.982,553
36,2023-11-28,70.62,71.22,69.76,71.1,40295.0,70.671,277
37,2023-11-29,71.46,72.98,71.46,72.22,61522.0,72.51,548
38,2023-11-30,72.5,72.65,71.29,71.77,53056.0,72.035,401
39,2023-12-01,71.04,75.93,71.04,75.43,78072.0,74.316,454
40,2023-12-04,74.4,77.08,74.4,76.81,59372.0,76.525,548
41,2023-12-05,76.14,76.98,75.64,76.02,85901.0,76.242,607
42,2023-12-06,76.84,78.74,76.61,76.62,63546.0,77.606,395
43,2023-12-07,76.78,78.42,76.76,78.17,84388.0,77.963,573
44,2023-12-08,78.33,79.27,78.29,78.87,73226.0,78.795,432
45,2023-12-11,78.58,79.68,78.39,79.2,59691.0,79.245,321
46,2023-12-12,78.88,79.2,78.33,78.4,68152.0,78.797,452
47,2023-12-13,78.81,83.33,78.53,83.2,70928.0,80.951,521
48,2023-12-14,85.38,87.52,83.88,85.85,106150.0,85.537,727
49,2023-12-15,85.92,86.17,84.27,84.88,51966.0,85.09,376
50,2023-12-18,85.64,85.64,84.46,84.72,69663.0,84.916,582
51,2023-12-19,84.9,86.38,84.9,86.03,57588.0,86.077,452
52,2023-12-20,86.14,86.77,83.91,83.91,45398.0,85.401,401
53,2023-12-21,84.49,84.68,83.68,84.37,35935.0,84.194,289
54,2023-12-22,84.83,85.76,84.83,85.51,49683.0,85.268,436
55,2023-12-26,85.55,86.38,85.44,86.0,32908.0,86.137,291
56,2023-12-27,86.0,87.0,85.64,86.28,47624.0,86.4,382
57,2023-12-28,86.0,86.46,85.86,86.35,24860.0,86.19,204
58,2023-12-29,85.95,86.31,85.18,85.65,43228.0,85.619,361
59,2024-01-02,84.85,86.65,84.76,85.99,35077.0,85.751,280
60,2024-01-03,85.12,85.7,83.72,83.73,49857.0,84.6,420
61,2024-01-04,83.14,85.22,83.14,84.56,40057.0,84.738,349
62,2024-01-05,83.82,86.61,83.82,85.23,52371.0,85.342,408
63,2024-01-08,84.68,85.2,84.45,85.16,49357.0,84.9,425
64,2024-01-09,84.05,84.96,83.14,83.36,27579.0,83.57,247
65,2024-01-10,82.83,83.6,82.11,83.55,40650.0,83.061,373
66,2024-01-11,82.82,83.47,81.5,82.53,39578.0,82.292,331
67,2024-01-12,82.86,83.52,81.31,81.79,38805.0,82.043,308
68,2024-01-16,80.96,81.19,80.09,80.29,20898.0,80.653,175
69,2024-01-17,79.03,80.52,78.88,79.78,30060.0,79.638,264
70,2024-01-18,80.15,81.06,79.74,81.05,26791.0,80.603,224
71,2024-01-19,81.34,82.62,80.92,82.59,29663.0,81.936,247
72,2024-01-22,82.68,84.45,82.23,84.43,28585.0,83.536,217
73,2024-01-23,84.56,85.0,83.0,83.31,76134.0,83.387,600
74,2024-01-24,77.86,86.84,77.86,83.25,92123.0,84.1,736
75,2024-01-25,84.3,86.1,83.6,85.76,85232.0,85.337,540
76,2024-01-26,86.35,86.47,85.01,85.49,34852.0,85.573,286
77,2024-01-29,85.65,86.91,84.83,86.81,106538.0,85.903,537
78,2024-01-30,86.13,88.27,86.13,88.15,102828.0,87.795,829
79,2024-01-31,86.92,86.95,83.58,83.84,145417.0,85.436,1067
80,2024-02-01,83.86,84.41,79.75,83.06,118839.0,81.955,844
81,2024-02-02,81.82,83.94,81.55,83.34,70344.0,83.264,507
82,2024-02-05,82.27,83.07,81.29,82.66,72710.0,82.451,477
83,2024-02-06,82.4,83.33,80.97,81.21,74339.0,81.942,522
84,2024-02-07,81.33,82.24,79.58,81.11,114765.0,81.349,521
85,2024-02-08,80.66,81.74,80.48,81.52,72561.0,81.261,374
