,date,open,high,low,close,volume,average,barCount
0,2023-10-06,25.08,25.7,25.05,25.33,834363.0,25.386,4708
1,2023-10-09,25.09,25.3,24.94,25.28,488479.0,25.168,3148
2,2023-10-10,25.27,25.71,25.27,25.62,791928.0,25.588,4479
3,2023-10-11,25.58,25.87,25.44,25.7,1119842.0,25.644,5730
4,2023-10-12,25.76,25.85,25.17,25.32,890202.0,25.439,5196
5,2023-10-13,25.23,25.39,24.8,24.9,606208.0,24.96,3986
6,2023-10-16,25.12,25.68,25.01,25.53,903610.0,25.49,6383
7,2023-10-17,25.37,25.78,25.13,25.4,654144.0,25.497,4294
8,2023-10-18,25.26,25.39,25.13,25.16,462012.0,25.219,2671
9,2023-10-19,25.28,25.43,24.52,24.65,1113097.0,24.893,6425
10,2023-10-20,24.74,24.74,24.02,24.05,2484734.0,24.215,10785
11,2023-10-23,24.0,24.27,23.72,23.99,1222060.0,24.024,5951
12,2023-10-24,24.18,24.3,23.97,24.11,1571661.0,24.115,6075
13,2023-10-25,23.98,24.09,23.56,23.74,1200462.0,23.71,6365
14,2023-10-26,23.88,24.25,23.78,24.2,1114276.0,24.072,6554
15,2023-10-27,24.3,24.3,23.89,24.07,654106.0,24.051,4145
16,2023-10-30,24.21,24.47,23.84,24.42,982283.0,24.235,6012
17,2023-10-31,24.5,25.24,24.3,24.86,983709.0,24.917,6484
18,2023-11-01,24.78,24.95,24.26,24.62,1179853.0,24.631,6490
19,2023-11-02,25.01,25.13,24.8,25.12,557412.0,25.016,3987
20,2023-11-03,25.31,25.41,24.99,25.2,961314.0,25.237,6177
21,2023-11-06,25.19,25.24,24.69,24.9,869789.0,24.872,5669
22,2023-11-07,25.04,25.58,24.99,25.34,620709.0,25.401,4034
23,2023-11-08,25.32,25.5,25.26,25.48,451012.0,25.385,2841
24,2023-11-09,25.59,25.7,25.19,25.3,636967.0,25.417,3860
25,2023-11-10,25.28,25.72,25.15,25.57,596203.0,25.503,3910
26,2023-11-13,25.54,25.59,25.32,25.5,484186.0,25.491,2792
27,2023-11-14,25.94,26.33,25.72,26.28,984054.0,26.081,6344
28,2023-11-15,26.22,26.32,25.91,26.0,775221.0,26.097,5244
29,2023-11-16,25.92,26.0,25.7,25.82,595058.0,25.808,4042
30,2023-11-17,25.86,25.99,25.67,25.82,600489.0,25.809,3594
31,2023-11-20,25.84,26.29,25.82,26.13,572921.0,26.102,3824
32,2023-11-21,25.95,26.13,25.77,25.99,565762.0,25.917,3881
33,2023-11-22,26.18,26.25,25.85,25.92,494907.0,25.986,3527
34,2023-11-24,25.88,26.0,25.75,25.97,281684.0,25.909,2155
35,2023-11-27,25.83,26.0,25.75,25.93,839508.0,25.9,5452
36,2023-11-28,25.86,25.86,25.49,25.73,810705.0,25.674,4794
37,2023-11-29,26.02,26.42,25.91,25.99,610423.0,26.054,4178
38,2023-11-30,26.14,26.25,25.63,26.17,838864.0,25.951,5024
39,2023-12-01,26.17,26.65,25.92,26.57,1065802.0,26.476,6729
40,2023-12-04,26.49,26.67,26.23,26.5,1101486.0,26.406,6747
41,2023-12-05,26.46,26.9,26.35,26.69,1659667.0,26.656,9978
42,2023-12-06,24.03,24.59,23.29,23.97,6625651.0,24.068,30165
43,2023-12-07,23.96,24.46,23.78,24.21,2471631.0,24.131,13539
44,2023-12-08,24.22,24.77,23.98,23.99,1971771.0,24.264,13233
45,2023-12-11,23.96,24.41,23.81,24.35,1249945.0,24.184,6995
46,2023-12-12,24.39,24.75,24.23,24.52,1102927.0,24.451,6050
47,2023-12-13,24.44,24.92,24.15,24.84,1237068.0,24.583,7304
48,2023-12-14,24.99,25.21,24.31,24.63,1119443.0,24.77,6650
49,2023-12-15,24.68,25.83,24.68,25.71,2390866.0,25.331,13284
50,2023-12-18,25.71,26.16,25.61,25.95,1501906.0,25.919,8294
51,2023-12-19,26.0,26.35,25.95,26.19,980296.0,26.155,6039
52,2023-12-20,26.1,26.49,25.93,25.94,1085978.0,26.225,6802
53,2023-12-21,26.02,26.15,25.65,25.92,816868.0,25.803,5232
54,2023-12-22,25.95,26.19,25.77,25.84,645422.0,25.943,4368
55,2023-12-26,25.77,25.93,25.66,25.88,492144.0,25.808,3136
56,2023-12-27,25.85,25.88,25.57,25.63,575526.0,25.688,3701
57,2023-12-28,25.6,25.98,25.47,25.86,549504.0,25.792,3293
58,2023-12-29,25.79,25.97,25.57,25.61,564302.0,25.705,3783
59,2024-01-02,25.43,26.0,25.29,25.81,1486857.0,25.735,7531
60,2024-01-03,25.61,25.67,24.88,24.89,809814.0,25.182,5208
61,2024-01-04,24.9,25.03,24.34,24.39,768725.0,24.588,5451
62,2024-01-05,24.3,24.74,24.28,24.67,658455.0,24.598,4443
63,2024-01-08,24.82,25.22,24.63,25.13,1031143.0,25.009,6422
64,2024-01-09,25.06,25.15,24.81,25.06,1444245.0,25.03,7236
65,2024-01-10,25.05,25.12,24.72,25.01,1078409.0,24.934,6602
66,2024-01-11,25.16,25.66,24.83,25.6,1851322.0,25.304,10040
67,2024-01-12,25.64,25.91,25.28,25.31,837616.0,25.473,5217
68,2024-01-16,25.26,25.41,25.09,25.38,757666.0,25.256,4779
69,2024-01-17,25.19,25.44,25.04,25.39,584409.0,25.246,3976
70,2024-01-18,25.5,25.82,25.43,25.79,460840.0,25.713,3334
71,2024-01-19,25.9,26.26,25.75,26.23,609994.0,26.065,3715
72,2024-01-22,26.69,26.98,26.53,26.61,938969.0,26.711,6060
73,2024-01-23,26.82,26.9,26.51,26.65,537776.0,26.662,3657
74,2024-01-24,26.82,26.92,26.56,26.6,447216.0,26.743,2927
75,2024-01-25,26.74,26.87,26.27,26.34,512127.0,26.47,3396
76,2024-01-26,26.3,26.56,26.22,26.24,361865.0,26.359,2600
77,2024-01-29,26.24,26.68,26.17,26.65,458390.0,26.496,3013
78,2024-01-30,26.57,26.88,26.57,26.66,399630.0,26.744,2593
79,2024-01-31,26.51,26.51,25.96,25.98,711121.0,26.216,4886
80,2024-02-01,26.15,26.3,25.99,26.26,519574.0,26.171,3507
81,2024-02-02,26.19,26.64,26.11,26.43,591577.0,26.438,4174
82,2024-02-05,26.34,26.41,25.9,26.19,504368.0,26.174,3722
83,2024-02-06,26.33,26.72,26.25,26.66,647084.0,26.575,4392
84,2024-02-07,26.73,27.31,26.69,27.06,914467.0,27.118,5587
85,2024-02-08,27.08,27.4,26.88,27.05,665841.0,27.154,4111
86,2024-02-09,27.25,27.64,27.16,27.36,637625.0,27.448,4377
87,2024-02-12,27.36,27.68,27.08,27.11,858035.0,27.381,4162
88,2024-02-13,26.43,27.2,26.2,26.33,1132799.0,26.664,8463
89,2024-02-14,26.57,26.73,26.37,26.51,143716.0,26.529,1106
