,date,open,high,low,close,volume,average,barCount
0,2023-09-25,9.36,9.41,9.27,9.34,51213.0,9.344,341
1,2023-09-26,9.29,9.54,9.14,9.26,67156.0,9.291,363
2,2023-09-27,9.35,9.41,9.22,9.28,81714.0,9.3,313
3,2023-09-28,9.31,9.35,9.1,9.22,108083.0,9.216,593
4,2023-09-29,9.28,9.36,9.16,9.2,108050.0,9.245,577
5,2023-10-02,9.22,9.25,8.94,9.01,143602.0,9.059,639
6,2023-10-03,9.02,9.45,8.84,8.89,114048.0,8.957,543
7,2023-10-04,9.0,9.03,8.54,8.62,206151.0,8.776,586
8,2023-10-05,8.6,8.61,8.36,8.53,730440.0,8.503,2494
9,2023-10-06,8.42,8.83,8.42,8.76,537342.0,8.65,1996
10,2023-10-09,8.76,9.01,8.71,9.01,573253.0,8.81,1561
11,2023-10-10,9.08,9.13,8.76,8.81,247548.0,8.881,1218
12,2023-10-11,8.75,9.02,8.67,8.72,614839.0,8.868,2074
13,2023-10-12,8.78,8.78,8.39,8.47,244320.0,8.477,1256
14,2023-10-13,8.55,8.57,8.34,8.45,193778.0,8.419,880
15,2023-10-16,8.42,8.56,8.25,8.29,301587.0,8.43,1067
16,2023-10-17,8.26,8.54,8.25,8.44,128221.0,8.404,636
17,2023-10-18,8.4,8.4,8.03,8.24,267764.0,8.128,1313
18,2023-10-19,8.16,8.22,7.95,7.95,236845.0,8.094,1053
19,2023-10-20,7.95,7.95,7.55,7.58,205447.0,7.745,930
20,2023-10-23,7.61,7.61,7.33,7.34,314956.0,7.423,1543
21,2023-10-24,7.39,7.39,7.0,7.2,807827.0,7.118,1849
22,2023-10-25,7.11,7.34,7.02,7.21,259416.0,7.197,923
23,2023-10-26,7.19,7.47,7.17,7.4,157221.0,7.369,796
24,2023-10-27,7.37,7.38,6.99,7.12,236353.0,7.109,1154
25,2023-10-30,7.11,7.35,7.08,7.21,140359.0,7.195,473
26,2023-10-31,7.27,7.35,7.17,7.28,118396.0,7.267,598
27,2023-11-01,7.25,7.47,7.18,7.36,224192.0,7.315,924
28,2023-11-02,7.41,7.83,7.41,7.83,273930.0,7.682,1149
29,2023-11-03,8.04,8.43,8.04,8.3,206167.0,8.3,1003
30,2023-11-06,8.32,8.32,7.98,8.08,129261.0,8.08,800
31,2023-11-07,8.1,8.27,8.03,8.11,353933.0,8.109,1574
32,2023-11-08,8.17,8.52,8.04,8.1,297059.0,8.206,1169
33,2023-11-09,8.17,8.3,7.75,7.76,247090.0,7.914,1129
34,2023-11-10,7.8,7.9,7.63,7.74,642369.0,7.734,2687
35,2023-11-13,7.67,7.82,7.54,7.59,231495.0,7.632,1481
36,2023-11-14,7.79,7.95,7.63,7.75,1302620.0,7.777,4606
37,2023-11-15,7.7,7.87,7.34,7.38,1153269.0,7.566,4513
38,2023-11-16,7.44,7.58,7.21,7.4,338417.0,7.314,1578
39,2023-11-17,7.38,7.57,7.25,7.41,705605.0,7.354,2338
40,2023-11-20,7.48,7.65,7.31,7.63,541077.0,7.521,1963
41,2023-11-21,7.58,7.85,7.53,7.81,310719.0,7.748,1276
42,2023-11-22,7.88,7.93,7.69,7.79,197640.0,7.799,903
43,2023-11-24,7.79,7.92,7.75,7.84,76033.0,7.833,395
44,2023-11-27,7.85,7.89,7.72,7.83,297718.0,7.822,1222
45,2023-11-28,7.91,8.04,7.74,7.79,257481.0,7.796,891
46,2023-11-29,7.79,7.93,7.74,7.81,217913.0,7.825,1033
47,2023-11-30,7.69,7.72,7.43,7.49,237007.0,7.526,1553
48,2023-12-01,7.5,7.78,7.42,7.72,184475.0,7.647,930
49,2023-12-04,7.64,7.83,7.63,7.68,212972.0,7.681,969
50,2023-12-05,7.62,7.65,7.38,7.4,175989.0,7.493,800
51,2023-12-06,7.41,7.5,7.31,7.42,223223.0,7.414,1014
52,2023-12-07,7.44,7.61,7.36,7.49,201507.0,7.5,1050
53,2023-12-08,7.5,7.62,7.5,7.61,192153.0,7.587,925
54,2023-12-11,7.58,7.64,7.08,7.11,341105.0,7.308,1574
55,2023-12-12,7.1,7.14,6.87,7.13,424238.0,7.014,1976
56,2023-12-13,7.12,7.57,6.93,7.5,617476.0,7.315,2575
57,2023-12-14,7.75,8.37,7.73,8.26,1487198.0,8.192,4549
58,2023-12-15,8.3,8.73,8.27,8.67,967510.0,8.554,4223
59,2023-12-18,8.7,8.8,8.56,8.8,454596.0,8.726,2211
60,2023-12-19,8.81,9.19,8.81,9.17,333478.0,9.109,1719
61,2023-12-20,9.18,9.26,9.0,9.06,280185.0,9.111,1169
62,2023-12-21,9.09,9.32,9.01,9.32,246203.0,9.219,1211
63,2023-12-22,9.35,9.6,9.27,9.55,181916.0,9.511,919
64,2023-12-26,9.57,9.83,9.36,9.78,195137.0,9.733,816
65,2023-12-27,9.85,9.89,9.68,9.89,154963.0,9.807,760
66,2023-12-28,9.88,10.02,9.61,9.99,185516.0,9.945,699
67,2023-12-29,9.92,10.01,9.72,9.78,496725.0,9.861,2177
68,2024-01-02,9.72,9.77,9.39,9.45,233110.0,9.602,1215
69,2024-01-03,9.2,9.25,8.95,9.11,376703.0,9.115,1642
70,2024-01-04,9.18,9.66,9.18,9.53,187649.0,9.496,884
71,2024-01-05,9.53,9.79,9.46,9.73,110928.0,9.688,698
72,2024-01-08,9.7,9.8,9.63,9.69,111194.0,9.697,609
