,date,open,high,low,close,volume,average,barCount
0,2023-09-25,21.28,21.45,21.21,21.37,1340591.0,21.353,7430
1,2023-09-26,21.15,21.28,20.8,20.91,1595937.0,20.972,9594
2,2023-09-27,21.0,21.25,20.73,20.83,2280391.0,20.963,12507
3,2023-09-28,20.96,21.21,20.83,20.89,2285738.0,20.961,13680
4,2023-09-29,21.19,21.24,20.59,20.78,2464313.0,20.85,13802
5,2023-10-02,20.43,20.63,19.96,20.15,1201938.0,20.221,7126
6,2023-10-03,20.04,20.04,19.46,19.74,1855750.0,19.67,8911
7,2023-10-04,19.79,20.09,19.55,20.07,1330253.0,19.9,7566
8,2023-10-05,20.02,20.2,19.81,20.19,2082479.0,20.054,10679
9,2023-10-06,20.05,20.24,19.76,19.89,2500453.0,19.994,12929
10,2023-10-09,19.77,20.31,19.76,20.18,1558289.0,20.153,8357
11,2023-10-10,20.2,20.54,20.06,20.42,1802272.0,20.408,8584
12,2023-10-11,20.56,20.89,20.49,20.88,1154726.0,20.767,6746
13,2023-10-12,20.8,20.8,20.4,20.49,1308513.0,20.534,7325
14,2023-10-13,20.6,20.66,20.0,20.2,2507720.0,20.142,13060
15,2023-10-16,20.42,20.66,20.24,20.47,1749150.0,20.498,9527
16,2023-10-17,20.31,21.19,20.27,20.93,4272130.0,20.98,18714
17,2023-10-18,20.88,20.9,20.44,20.55,1135674.0,20.565,6930
18,2023-10-19,20.41,20.74,20.2,20.28,1878208.0,20.456,10431
19,2023-10-20,20.35,20.47,20.07,20.08,1533073.0,20.212,9134
20,2023-10-23,19.9,20.08,19.7,19.71,1759732.0,19.888,11669
21,2023-10-24,19.89,20.06,19.75,19.96,1483794.0,19.92,10358
22,2023-10-25,19.81,19.96,19.55,19.59,1229760.0,19.648,7259
23,2023-10-26,19.66,20.44,19.63,20.3,1972374.0,20.235,11781
24,2023-10-27,20.42,20.42,19.78,19.89,1456377.0,19.988,9586
25,2023-10-30,20.04,20.26,19.87,20.16,1613225.0,20.063,9906
26,2023-10-31,20.36,20.93,20.02,20.79,2313942.0,20.672,12361
27,2023-11-01,20.8,21.21,20.76,21.09,2298370.0,21.009,13872
28,2023-11-02,21.48,21.59,21.31,21.37,1509742.0,21.425,8533
29,2023-11-03,21.82,22.07,21.71,21.74,1862271.0,21.857,9821
30,2023-11-06,21.67,21.68,21.16,21.37,1501240.0,21.338,9329
31,2023-11-07,21.3,21.37,21.02,21.08,1243439.0,21.09,7294
32,2023-11-08,21.14,21.38,21.04,21.35,1347417.0,21.253,8636
33,2023-11-09,21.41,21.44,20.76,20.85,800572.0,20.976,5574
34,2023-11-10,20.98,21.09,20.77,21.05,1136552.0,20.931,5432
35,2023-11-13,20.94,20.98,20.69,20.77,507194.0,20.825,3326
36,2023-11-14,21.47,22.4,21.45,22.07,1744112.0,22.048,9779
37,2023-11-15,21.96,22.17,21.8,21.93,892075.0,21.947,5896
38,2023-11-16,21.92,22.01,21.42,21.44,2169571.0,21.544,10379
39,2023-11-17,21.71,21.79,21.46,21.66,1325166.0,21.609,9088
40,2023-11-20,21.62,21.62,21.39,21.6,1880658.0,21.508,7956
41,2023-11-21,21.45,21.48,21.17,21.26,1395502.0,21.298,6656
42,2023-11-22,21.48,21.57,21.32,21.4,554025.0,21.406,3636
43,2023-11-24,21.32,21.47,21.18,21.38,582590.0,21.388,3896
44,2023-11-27,21.31,21.65,21.22,21.43,1100836.0,21.513,6454
45,2023-11-28,21.33,21.52,21.16,21.45,971303.0,21.419,5804
46,2023-11-29,21.65,21.77,21.3,21.32,1455014.0,21.44,8810
47,2023-11-30,21.36,21.56,21.28,21.52,1492984.0,21.436,8525
48,2023-12-01,21.46,22.11,21.36,21.95,2054110.0,21.878,9694
49,2023-12-04,21.9,22.64,21.88,22.6,1612209.0,22.379,9559
50,2023-12-05,22.51,22.56,22.31,22.55,1738607.0,22.462,11535
51,2023-12-06,22.58,22.85,22.4,22.52,3269747.0,22.619,17823
52,2023-12-07,22.53,22.75,22.4,22.6,1664901.0,22.567,9378
53,2023-12-08,22.56,22.72,22.2,22.71,1888785.0,22.516,10770
54,2023-12-11,22.64,22.86,22.58,22.85,1555231.0,22.759,7572
55,2023-12-12,22.88,22.9,22.63,22.64,1262674.0,22.738,6613
56,2023-12-13,22.65,23.79,22.62,23.66,1259147.0,23.261,8611
57,2023-12-14,24.0,24.47,23.94,24.14,2712744.0,24.251,15058
58,2023-12-15,24.23,24.29,23.37,23.55,2595817.0,23.652,13918
