,date,open,high,low,close,volume,average,barCount
0,2023-09-25,30.95,31.15,30.88,31.14,96793.0,31.037,374
1,2023-09-26,31.05,31.05,30.55,30.61,89172.0,30.767,396
2,2023-09-27,30.7,30.93,30.52,30.75,85498.0,30.693,401
3,2023-09-28,30.75,31.16,30.6,31.03,73170.0,30.923,317
4,2023-09-29,31.45,31.5,31.14,31.41,105689.0,31.357,449
5,2023-10-02,31.4,31.81,31.39,31.78,88100.0,31.629,354
6,2023-10-03,31.77,31.84,31.01,31.12,89196.0,31.352,438
7,2023-10-04,31.18,31.61,31.15,31.61,84133.0,31.406,386
8,2023-10-05,31.71,31.71,31.29,31.63,49282.0,31.524,220
9,2023-10-06,31.38,32.45,31.38,32.42,86412.0,32.16,420
10,2023-10-09,32.13,32.53,31.98,32.46,68272.0,32.318,272
11,2023-10-10,32.49,32.85,32.39,32.64,46276.0,32.653,209
12,2023-10-11,32.64,32.79,32.43,32.79,58872.0,32.612,259
13,2023-10-12,32.74,33.11,32.39,32.67,96416.0,32.775,459
14,2023-10-13,32.39,32.63,31.69,31.71,79965.0,32.082,356
15,2023-10-16,31.63,32.1,31.63,31.95,86084.0,31.85,337
16,2023-10-17,31.85,32.02,31.54,31.65,91087.0,31.786,352
17,2023-10-18,31.77,31.77,31.12,31.17,102888.0,31.331,363
18,2023-10-19,31.28,31.53,31.0,31.08,112190.0,31.288,521
19,2023-10-20,31.15,31.22,30.5,30.51,65201.0,30.725,274
20,2023-10-23,30.41,30.89,30.16,30.6,94143.0,30.649,404
21,2023-10-24,30.74,31.06,30.61,30.84,75408.0,30.842,312
22,2023-10-25,31.02,31.06,30.12,30.19,97481.0,30.455,425
23,2023-10-26,29.94,30.32,29.62,29.72,103159.0,29.836,424
24,2023-10-27,29.98,30.16,29.73,29.84,81203.0,29.927,415
25,2023-10-30,29.87,30.39,29.85,30.37,93606.0,30.136,433
26,2023-10-31,30.45,30.87,30.34,30.61,84991.0,30.638,391
27,2023-11-01,30.89,31.58,30.72,31.57,81682.0,31.18,236
28,2023-11-02,31.92,32.79,31.77,32.62,89970.0,32.426,391
29,2023-11-03,32.53,33.22,32.46,33.11,70386.0,33.007,254
30,2023-11-06,33.4,33.4,32.84,33.17,90916.0,33.166,324
31,2023-11-07,33.08,33.41,32.85,33.33,71066.0,33.278,268
32,2023-11-08,33.38,33.56,33.18,33.51,88468.0,33.378,303
33,2023-11-09,33.42,33.57,32.91,32.91,77377.0,33.234,381
34,2023-11-10,33.1,33.29,32.97,33.1,64865.0,33.136,354
35,2023-11-13,33.0,33.4,32.89,33.18,46816.0,33.221,181
36,2023-11-14,33.3,33.69,33.22,33.42,112818.0,33.464,410
37,2023-11-15,33.57,33.67,33.41,33.43,60836.0,33.558,260
38,2023-11-16,33.45,33.8,33.45,33.65,76193.0,33.641,291
39,2023-11-17,33.61,33.89,33.6,33.87,54172.0,33.76,269
40,2023-11-20,33.86,34.28,33.8,34.15,98943.0,34.092,482
41,2023-11-21,34.11,34.12,33.91,34.04,48991.0,34.031,246
42,2023-11-22,34.15,34.43,33.6,33.6,121174.0,33.996,629
43,2023-11-24,33.69,33.8,33.6,33.77,33868.0,33.726,131
44,2023-11-27,33.78,33.93,33.66,33.84,77544.0,33.826,356
45,2023-11-28,33.79,34.17,33.79,34.0,76952.0,33.988,371
46,2023-11-29,34.2,34.41,34.13,34.41,58524.0,34.315,278
47,2023-11-30,34.49,34.49,33.91,34.01,91131.0,34.098,352
48,2023-12-01,34.01,34.15,33.85,34.08,72999.0,34.018,257
49,2023-12-04,33.79,33.97,33.62,33.75,58074.0,33.774,224
50,2023-12-05,33.52,33.94,33.52,33.94,71616.0,33.756,301
51,2023-12-06,34.02,34.13,33.66,33.66,69356.0,33.961,245
52,2023-12-07,33.73,34.12,33.66,34.05,59767.0,33.978,269
53,2023-12-08,34.04,34.15,33.93,34.14,65869.0,34.053,230
54,2023-12-11,34.08,34.53,34.05,34.38,99546.0,34.349,383
55,2023-12-12,34.52,34.62,34.3,34.48,145155.0,34.46,498
56,2023-12-13,34.5,34.65,34.2,34.42,137005.0,34.407,690
57,2023-12-14,34.38,34.38,34.07,34.35,147553.0,34.239,470
58,2023-12-15,34.33,34.33,33.85,33.92,92580.0,34.062,316
59,2023-12-18,33.9,34.25,33.83,34.05,121695.0,34.091,490
60,2023-12-19,34.2,34.4,33.98,34.25,88977.0,34.275,395
61,2023-12-20,34.3,34.52,33.9,33.93,137369.0,34.306,502
62,2023-12-21,34.22,34.25,33.97,34.22,69905.0,34.097,297
63,2023-12-22,34.35,34.5,34.21,34.27,108184.0,34.377,368
64,2023-12-26,34.45,34.48,34.23,34.23,107707.0,34.338,413
65,2023-12-27,34.4,34.46,34.11,34.13,60431.0,34.237,277
66,2023-12-28,34.19,34.38,34.05,34.05,68692.0,34.213,319
67,2023-12-29,34.0,34.15,33.64,33.66,115859.0,33.854,504
68,2024-01-02,33.52,33.52,33.0,33.22,119212.0,33.176,514
69,2024-01-03,33.0,33.18,32.91,32.92,102012.0,33.045,399
70,2024-01-04,32.82,33.17,32.82,33.02,73332.0,33.024,263
71,2024-01-05,33.15,33.37,33.07,33.17,63114.0,33.19,303
72,2024-01-08,33.39,34.0,33.33,33.99,106377.0,33.77,449
73,2024-01-09,33.87,34.05,33.64,34.01,103289.0,33.979,364
74,2024-01-10,34.05,34.39,34.05,34.33,97491.0,34.246,455
75,2024-01-11,34.21,34.3,33.8,34.15,65421.0,34.034,245
76,2024-01-12,34.38,34.4,34.12,34.37,75492.0,34.28,382
77,2024-01-16,34.18,34.45,34.12,34.37,103685.0,34.308,355
78,2024-01-17,34.3,34.32,34.09,34.2,75219.0,34.195,279
79,2024-01-18,34.3,34.49,34.2,34.29,74232.0,34.36,360
80,2024-01-19,34.49,34.62,34.33,34.58,120214.0,34.495,492
81,2024-01-22,34.72,34.75,34.55,34.57,115007.0,34.648,388
82,2024-01-23,34.6,34.68,34.5,34.65,58342.0,34.6,202
