,date,open,high,low,close,volume,average,barCount
0,2023-10-06,52.35,53.03,51.66,52.8,3610071.0,52.391,24318
1,2023-10-09,52.31,52.55,51.97,52.54,985625.0,52.292,6771
2,2023-10-10,53.4,53.82,53.28,53.64,924753.0,53.583,6605
3,2023-10-11,54.58,54.75,54.29,54.55,1591226.0,54.495,11210
4,2023-10-12,54.62,54.66,53.41,53.62,2460572.0,53.859,16526
5,2023-10-13,53.68,53.81,53.35,53.71,1488483.0,53.604,10015
6,2023-10-16,53.87,54.45,53.57,54.33,1150578.0,54.12,8460
7,2023-10-17,53.95,54.27,53.72,54.02,2696266.0,53.973,20398
8,2023-10-18,53.63,53.77,53.13,53.26,1289757.0,53.386,9370
9,2023-10-19,53.28,53.81,53.02,53.28,1409766.0,53.376,10547
10,2023-10-20,53.07,53.17,52.53,52.57,1106547.0,52.814,7703
11,2023-10-23,52.56,53.07,52.36,52.68,1075241.0,52.841,7572
12,2023-10-24,53.02,53.43,52.98,53.42,1926614.0,53.209,13782
13,2023-10-25,53.73,54.17,53.36,53.74,2118518.0,53.877,16174
14,2023-10-26,53.67,53.89,53.25,53.38,1273337.0,53.48,9585
15,2023-10-27,53.62,53.66,52.74,52.83,1816670.0,53.113,14051
16,2023-10-30,54.12,54.21,53.75,54.03,1645280.0,54.006,11202
17,2023-10-31,55.75,56.98,55.73,56.87,2650894.0,56.583,17902
18,2023-11-01,56.43,56.81,56.01,56.8,3012719.0,56.447,24439
19,2023-11-02,57.83,58.2,57.51,58.13,1626677.0,57.938,11624
20,2023-11-03,58.87,59.3,58.76,58.91,2683497.0,59.071,20255
21,2023-11-06,58.9,59.06,58.69,58.88,1350065.0,58.849,10189
22,2023-11-07,58.68,59.3,58.54,59.06,1084351.0,59.041,7332
23,2023-11-08,59.59,59.69,59.21,59.32,1665978.0,59.422,12246
24,2023-11-09,60.02,60.25,59.76,59.85,2216038.0,60.025,15692
25,2023-11-10,59.46,59.72,58.3,59.61,2162300.0,59.002,15005
26,2023-11-13,59.4,60.03,59.18,59.71,1316949.0,59.733,8951
27,2023-11-14,60.79,61.31,60.55,61.23,1954987.0,60.949,14079
28,2023-11-15,61.29,61.55,60.93,61.19,1259992.0,61.195,8349
29,2023-11-16,61.04,61.45,61.0,61.11,706468.0,61.161,5022
30,2023-11-17,61.44,61.53,60.97,61.33,1446844.0,61.21,10230
31,2023-11-20,61.53,62.02,61.45,61.83,1015633.0,61.762,6338
32,2023-11-21,62.04,62.19,61.91,62.03,764799.0,62.025,4800
33,2023-11-22,62.5,62.71,62.25,62.7,826499.0,62.498,5787
34,2023-11-24,62.81,63.23,62.79,63.11,605271.0,63.055,4051
35,2023-11-27,62.82,62.87,62.4,62.6,814180.0,62.624,5354
36,2023-11-28,62.61,62.91,62.49,62.79,716871.0,62.728,4893
37,2023-11-29,62.94,62.99,62.51,62.61,847288.0,62.686,5172
38,2023-11-30,62.77,62.94,62.4,62.93,881854.0,62.707,5994
39,2023-12-01,62.94,63.52,62.83,63.39,807144.0,63.215,5501
40,2023-12-04,62.89,63.43,62.86,63.15,782816.0,63.122,5187
41,2023-12-05,63.0,63.41,62.86,63.17,1148945.0,63.118,7516
42,2023-12-06,63.32,63.39,62.48,62.5,994948.0,62.799,6078
43,2023-12-07,62.64,62.9,62.56,62.88,702603.0,62.758,4878
44,2023-12-08,62.98,63.29,62.92,63.02,602468.0,63.066,4356
45,2023-12-11,62.8,63.11,62.78,63.06,570826.0,63.003,3927
46,2023-12-12,63.32,63.4,63.12,63.3,834909.0,63.26,6057
47,2023-12-13,62.21,63.4,61.83,63.29,1693881.0,62.478,11197
48,2023-12-14,62.64,63.49,62.52,62.79,1726275.0,62.936,12160
49,2023-12-15,62.68,62.83,62.44,62.51,1100683.0,62.621,7779
50,2023-12-18,62.41,62.95,62.17,62.85,886844.0,62.614,6226
51,2023-12-19,63.28,63.86,63.13,63.86,1209476.0,63.52,7681
